# version=2017
 permID|provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes
 101955|1999 RQ36  | J99R36Q| CCD|704 |    |1999-09-11T09:44:59.136Z| 24.47875  |-27.07431  |     |      |  USNOA1|15.1 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|704 |    |1999-09-11T10:06:56.736Z| 24.50075  |-27.06656  |     |      |  USNOA1|15.1 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|704 |    |1999-09-11T10:29:31.488Z| 24.52337  |-27.05839  |     |      |  USNOA1|15.3 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|704 |    |1999-09-11T10:51:03.168Z| 24.54512  |-27.05031  |     |      |  USNOA1|15.4 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|704 |    |1999-09-11T11:12:12.384Z| 24.56679  |-27.04233  |     |      |  USNOA1|15.2 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|595 |    |1999-09-12T00:24:36.576Z| 25.61696  |-26.75611  |     |      |     UNK|14.1 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|595 |    |1999-09-12T00:28:37.632Z| 25.62154  |-26.75464  |     |      |     UNK|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|108 |    |1999-09-12T00:30:22.176Z| 25.62592  |-26.75283  |     |      |     GSC|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|046 |    |1999-09-12T00:31:01.056Z| 25.6235   |-26.75486  |     |      | USNOSA2|15   |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|046 |    |1999-09-12T00:32:10.176Z| 25.62471  |-26.75433  |     |      | USNOSA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|108 |    |1999-09-12T00:32:10.176Z| 25.62933  |-26.75247  |     |      |     GSC|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|595 |    |1999-09-12T00:32:40.416Z| 25.62612  |-26.75317  |     |      |     UNK|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|046 |    |1999-09-12T00:33:29.664Z| 25.62621  |-26.75375  |     |      | USNOSA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|046 |    |1999-09-12T00:35:21.120Z| 25.62842  |-26.75308  |     |      | USNOSA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|108 |    |1999-09-12T00:36:19.872Z| 25.63271  |-26.7515   |     |      |     GSC|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|046 |    |1999-09-12T00:36:31.104Z| 25.62983  |-26.75281  |     |      | USNOSA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|595 |    |1999-09-12T00:36:50.976Z| 25.63083  |-26.75153  |     |      |     UNK|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|046 |    |1999-09-12T00:37:39.360Z| 25.63104  |-26.75228  |     |      | USNOSA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|108 |    |1999-09-12T00:45:57.888Z| 25.64375  |-26.74753  |     |      |     GSC|14.8 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|620 |    |1999-09-12T01:59:03.552Z| 25.73354  |-26.71731  |     |      |     GSC|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|620 |    |1999-09-12T02:07:49.728Z| 25.74321  |-26.71372  |     |      |     GSC|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|620 |    |1999-09-12T02:13:25.824Z| 25.7495   |-26.71167  |     |      |     GSC|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|620 |    |1999-09-12T02:19:48.576Z| 25.75692  |-26.70917  |     |      |     GSC|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|670 |    |1999-09-12T09:24:40.896Z| 26.35592  |-26.52978  |     |      |  GSC1.1|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|670 |    |1999-09-12T09:49:28.704Z| 26.38554  |-26.51969  |     |      |  GSC1.1|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|670 |    |1999-09-12T10:16:27.840Z| 26.41712  |-26.50822  |     |      |  GSC1.1|14.7 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|670 |    |1999-09-12T10:40:33.312Z| 26.44529  |-26.49764  |     |      |  GSC1.1|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|106 |    |1999-09-12T23:33:58.752Z| 27.61563  |-26.14244  |     |      |  USNOA2|15.3 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|952 |    |1999-09-12T23:39:38.304Z| 27.63462  |-26.13406  |     |      |     UNK|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|952 |    |1999-09-12T23:41:08.160Z| 27.63679  |-26.13333  |     |      |     UNK|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|952 |    |1999-09-12T23:43:29.856Z| 27.63996  |-26.13239  |     |      |     UNK|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|952 |    |1999-09-12T23:45:10.080Z| 27.64217  |-26.13158  |     |      |     UNK|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|952 |    |1999-09-12T23:51:25.920Z| 27.65079  |-26.12892  |     |      |     UNK|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|952 |    |1999-09-12T23:54:37.728Z| 27.65504  |-26.12753  |     |      |     UNK|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|106 |    |1999-09-13T00:02:27.744Z| 27.65413  |-26.12925  |     |      |  USNOA2|15.3 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|046 |    |1999-09-13T00:04:43.392Z| 27.65517  |-26.12942  |     |      | USNOSA2|14.8 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|046 |    |1999-09-13T00:05:56.832Z| 27.65679  |-26.12883  |     |      | USNOSA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|046 |    |1999-09-13T00:06:59.040Z| 27.65821  |-26.12836  |     |      | USNOSA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|046 |    |1999-09-13T00:08:01.248Z| 27.65958  |-26.12789  |     |      | USNOSA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|046 |    |1999-09-13T00:09:00.000Z| 27.66092  |-26.12742  |     |      | USNOSA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|118 |    |1999-09-13T00:43:51.744Z| 27.70579  |-26.11083  |     |      |  USNOA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|118 |    |1999-09-13T00:49:33.024Z| 27.71333  |-26.108    |     |      |  USNOA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|118 |    |1999-09-13T00:53:29.760Z| 27.71858  |-26.10611  |     |      |  USNOA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|704 |    |1999-09-13T08:21:24.480Z| 28.44312  |-25.86614  |     |      |  USNOA1|15.1 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|704 |    |1999-09-13T08:37:39.936Z| 28.46546  |-25.85769  |     |      |  USNOA1|15.4 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|704 |    |1999-09-13T08:53:30.336Z| 28.48733  |-25.8495   |     |      |  USNOA1|15.5 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|848 |    |1999-09-13T09:01:41.088Z| 28.51212  |-25.84858  |     |      |     UNK|15.3 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|848 |    |1999-09-13T09:02:57.984Z| 28.51421  |-25.84772  |     |      |     UNK|15.1 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|848 |    |1999-09-13T09:04:15.744Z| 28.51592  |-25.84711  |     |      |     UNK|14.6 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|848 |    |1999-09-13T09:05:35.232Z| 28.51796  |-25.84639  |     |      |     UNK|14.6 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|848 |    |1999-09-13T09:06:52.992Z| 28.51983  |-25.84592  |     |      |     UNK|14.3 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|426 |    |1999-09-13T13:54:06.336Z| 29.02554  |-25.61028  |     |      | USNOSA2|13.8 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|426 |    |1999-09-13T13:57:11.232Z| 29.03013  |-25.60875  |     |      | USNOSA2|13.8 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|426 |    |1999-09-13T13:59:57.120Z| 29.03442  |-25.60742  |     |      | USNOSA2|13.6 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|428 |    |1999-09-13T14:26:24.288Z| 29.05979  |-25.6015   |     |      |     GSC|15.5 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|428 |    |1999-09-13T14:28:38.208Z| 29.06296  |-25.60033  |     |      |     GSC|15.6 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|428 |    |1999-09-13T14:30:49.536Z| 29.06612  |-25.59919  |     |      |     GSC|15.6 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|428 |    |1999-09-13T14:33:25.920Z| 29.06983  |-25.59783  |     |      |     GSC|15.6 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|046 |    |1999-09-14T00:12:08.352Z| 30.07362  |-25.31639  |     |      | USNOSA2|14.4 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|046 |    |1999-09-14T00:13:52.896Z| 30.0765   |-25.31531  |     |      | USNOSA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|046 |    |1999-09-14T00:15:31.392Z| 30.07908  |-25.31439  |     |      | USNOSA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|046 |    |1999-09-14T00:17:04.704Z| 30.08158  |-25.31342  |     |      | USNOSA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|629 |    |1999-09-14T00:41:16.224Z| 30.11604  |-25.29761  |     |      |     GSC|15.4 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|629 |    |1999-09-14T00:48:24.768Z| 30.12658  |-25.29319  |     |      |     GSC|15.5 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|629 |    |1999-09-14T00:51:48.672Z| 30.13233  |-25.29092  |     |      |     GSC|16.2 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|629 |    |1999-09-14T00:55:21.216Z| 30.13762  |-25.28886  |     |      |     GSC|16   |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|629 |    |1999-09-14T00:56:45.888Z| 30.14008  |-25.28797  |     |      |     GSC|16.4 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|629 |    |1999-09-14T00:59:12.768Z| 30.14417  |-25.28675  |     |      |     GSC|15.5 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|629 |    |1999-09-14T01:01:37.920Z| 30.14787  |-25.28489  |     |      |     GSC|15.8 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|629 |    |1999-09-14T01:04:08.256Z| 30.15188  |-25.28325  |     |      |     GSC|16.1 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|629 |    |1999-09-14T01:05:56.256Z| 30.15467  |-25.28211  |     |      |     GSC|15.8 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|629 |    |1999-09-14T01:07:48.576Z| 30.15762  |-25.28103  |     |      |     GSC|16.3 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |        | CCD|704 |    |1999-09-14T09:09:52.704Z| 31.06879  |-24.95167  |     |      |  USNOA1|15.4 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  |        | CCD|704 |    |1999-09-14T09:27:57.024Z| 31.0985   |-24.93906  |     |      |  USNOA1|15.5 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  |        | CCD|704 |    |1999-09-14T09:46:03.936Z| 31.12838  |-24.92639  |     |      |  USNOA1|15.5 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  |        | CCD|704 |    |1999-09-14T10:04:22.944Z| 31.15854  |-24.91344  |     |      |  USNOA1|15.8 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  |        | CCD|704 |    |1999-09-14T10:22:46.272Z| 31.18904  |-24.90022  |     |      |  USNOA1|15.9 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|467 |    |1999-09-14T12:14:20.544Z| 31.46117  |-24.73844  |     |      |  USNOA2|15.2 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|467 |    |1999-09-14T12:15:04.608Z| 31.46246  |-24.73803  |     |      |  USNOA2|15.1 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|467 |    |1999-09-14T12:15:48.672Z| 31.46375  |-24.7375   |     |      |  USNOA2|15.1 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|467 |    |1999-09-14T12:16:32.736Z| 31.465    |-24.73706  |     |      |  USNOA2|15   |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |  C89272| CCD|467 |    |1999-09-14T12:28:21.216Z| 31.48592  |-24.72917  |     |      |  USNOA2|15.3 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|413 |  01|1999-09-14T14:52:39.360Z| 31.7655   |-24.63161  |     |      |     UNK|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|413 |  01|1999-09-14T14:54:05.760Z| 31.768    |-24.63061  |     |      |     UNK|15.1 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|428 |    |1999-09-14T17:12:18.432Z| 32.00183  |-24.53172  |     |      |     GSC|15.1 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|428 |    |1999-09-14T17:14:27.168Z| 32.00563  |-24.52997  |     |      |     GSC|15.2 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|428 |    |1999-09-14T17:16:35.040Z| 32.00942  |-24.52822  |     |      |     GSC|15.1 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|428 |    |1999-09-14T17:18:42.912Z| 32.01304  |-24.52661  |     |      |     GSC|15.1 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|118 |    |1999-09-15T01:19:26.688Z| 33.04517  |-24.21908  |     |      |  USNOA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|118 |    |1999-09-15T01:22:07.392Z| 33.05029  |-24.21686  |     |      |  USNOA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|118 |    |1999-09-15T01:23:38.976Z| 33.05333  |-24.21558  |     |      |  USNOA2|15.2 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |        | CCD|046 |    |1999-09-15T01:53:54.240Z| 33.11458  |-24.19047  |     |      | USNOSA2|14.6 |      |   R|        |      |      |    |      |     
