# version=2017
permID|provID|trkSub|mode|stn|obsTime|ra|dec|rmsRA|rmsDec|astCat|mag|band
4179|||UNK|260|1976-05-27T15:54:25.920Z|288.51171|-21.96817|||USNOA2||
4179|||UNK|260|1976-05-27T16:34:26.112Z|288.50842|-21.96864|||USNOA2||
4179|1989 AC||UNK|675|1988-07-12T08:16:29.856Z|299.23813|-20.48011|||UNK|16.8|B
4179|1989 AC||UNK|675|1988-07-13T05:56:44.736Z|298.91312|-20.54386|||UNK||
4179|||UNK|675|1988-07-16T08:42:59.616Z|297.72504|-20.77200|||UNK||
4179|1989 AC||UNK|675|1988-07-17T08:27:29.952Z|297.32900|-20.84664|||UNK|17|B
4179|1989 AC||UNK|675|1988-07-17T09:16:14.592Z|297.31500|-20.84894|||UNK||
4179|1989 AC||UNK|675|1989-01-03T05:11:15.360Z|49.76942|16.44083|||UNK|11.5|B
4179|1989 AC||UNK|675|1989-01-03T05:18:15.264Z|49.78004|16.44433|||UNK||
4179|1989 AC||UNK|010|1989-01-04T19:30:00.000Z|54.78071|17.81506|||UNK||
4179|1989 AC||UNK|010|1989-01-04T20:30:09.792Z|54.90446|17.84758|||UNK||
4179|1989 AC||UNK|010|1989-01-04T20:53:00.096Z|54.94862|17.85939|||UNK||
4179|1989 AC||UNK|010|1989-01-04T21:53:00.384Z|55.07133|17.89128|||UNK|12|B
4179|1989 AC||UNK|801|1989-01-06T02:13:59.520Z|58.46200|18.73628|||UNK||
4179|1989 AC||UNK|801|1989-01-06T05:47:11.904Z|58.85979|18.83050|||UNK||
4179|1989 AC||UNK|010|1989-01-06T22:03:59.616Z|60.68592|19.25189|||UNK||
4179|1989 AC||UNK|010|1989-01-06T22:18:59.904Z|60.71242|19.25750|||UNK||
4179|1989 AC||UNK|675|1989-01-07T02:42:00.000Z|61.19842|19.36728|||UNK||
4179|1989 AC||UNK|675|1989-01-07T02:51:59.616Z|61.21379|19.37042|||UNK||
4179|1989 AC||UNK|675|1989-01-07T05:39:29.664Z|61.50617|19.43736|||UNK||
4179|1989 AC||UNK|675|1989-01-07T05:49:30.144Z|61.52317|19.44097|||UNK||
4179|1989 AC||UNK|372|1989-01-08T13:36:29.664Z|64.77967|20.12472|||UNK|11|B
4179|1989 AC||UNK|372|1989-01-08T13:43:14.880Z|64.79029|20.12725|||UNK||
4179|1989 AC||UNK|010|1989-01-08T22:50:59.712Z|65.67529|20.29997|||UNK||
4179|1989 AC||UNK|010|1989-01-08T22:56:04.704Z|65.68183|20.30092|||UNK||
4179|1989 AC||UNK|588|1989-01-08T23:26:00.096Z|65.72700|20.31053|||UNK||
4179|1989 AC||UNK|372|1989-01-09T15:11:30.336Z|67.20121|20.59106|||UNK|12|B
4179|1989 AC||UNK|978|1989-01-09T20:11:30.912Z|67.66671|20.67150|||AGK3||
4179|1989 AC||UNK|978|1989-01-09T21:08:56.544Z|67.74992|20.68644|||AGK3||
4179|1989 AC||UNK|552|1989-01-09T22:09:59.904Z|67.83654|20.70486|||UNK||
