# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra          |dec          |rmsRA|rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                               
   103P|           |   0103P| PHO|260 |       |    |          |          |          |  05|1986-03-15T13:37:16.320Z|171.3605     | -7.74075    |     |      |       |   UCAC4|     |      |    |        |      |      |    |      |     |                                      
   103P|P/1986 E2  |   COMET| PHO|413 |       |    |          |          |          |  07|1986-03-15T14:14:47.904Z|171.35479    | -7.73767    |     |      |       |     UNK|17.5 |      |   B|        |      |      |    |      |     |                                      
   103P|           |   0103P| PHO|260 |       |    |          |          |          |  05|1986-03-15T14:52:16.896Z|171.34775    | -7.73403    |     |      |       |   UCAC4|     |      |    |        |      |      |    |      |     |                                      
   103P|P/1986 E2  |   COMET| PHO|413 |       |    |          |          |          |  07|1986-03-17T16:18:29.664Z|170.862      | -7.46186    |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                      
   103P|P/1986 E2  |   COMET| PHO|413 |       |    |          |          |          |  07|1986-03-20T14:33:57.024Z|170.18921    | -7.07275    |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                      
   103P|P/1986 E2  |        | UNK|801 |       |    |          |          |          |    |1986-04-04T03:03:55.008Z|167.30579    | -5.19144    |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                      
   103P|P/1986 E2  |        | UNK|801 |       |    |          |          |          |    |1986-04-05T03:50:30.048Z|167.13683    | -5.06447    |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                      
   103P|P/1986 E2  |        | UNK|675 |       |    |          |          |          |    |1986-04-05T04:56:23.712Z|167.129      | -5.05869    |     |      |       |     UNK|18   |      |   B|        |      |      |    |      |     |                                      
   103P|P/1986 E2  |        | UNK|675 |       |    |          |          |          |    |1986-04-05T05:03:23.616Z|167.12812    | -5.05797    |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                      
   103P|P/1986 E2  |        | UNK|675 |       |    |          |          |          |    |1986-04-05T05:13:12.000Z|167.12708    | -5.05722    |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                      
   103P|P/1986 E2  |        | UNK|675 |       |    |          |          |          |    |1986-04-08T03:44:11.616Z|166.67162    | -4.70636    |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                      
   103P|P/1986 E2  |        | UNK|675 |       |    |          |          |          |    |1986-04-08T03:51:47.808Z|166.67079    | -4.70569    |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                      
   103P|P/1986 E2  |        | UNK|675 |       |    |          |          |          |    |1986-04-08T04:05:59.712Z|166.66933    | -4.70456    |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                      
