# version=2017
 permID|  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |  astCat|mag  |band|notes
     1I| AK17U01| CCD|703 |       |    |          |          |          |    |2017-10-14T10:32:40.704Z| 72.30396  | -2.4965   |   Gaia1|19   |   G|     
     1I| AK17U01| CCD|703 |       |    |          |          |          |    |2017-10-17T08:58:25.824Z| 39.19046  | +1.10492  |   Gaia1|19.5 |   G|     
     1I|   0001I| CCD|F51 |       |    |          |          |          |    |2017-10-18T11:21:05.386Z| 29.989417 | +2.101117 |   Gaia2|19.6 |   G|f    
     1I| P10Ee5V| CCD|F51 |       |    |          |          |          |    |2017-10-18T11:21:05.472Z| 29.989342 | +2.101194 |   2MASS|19.8 |   w|     
     1I|   0001I| CCD|F51 |       |    |          |          |          |    |2017-10-18T11:59:51.187Z| 29.7872   | +2.122369 |   Gaia2|     |    |H    
     1I| P10Ee5V| CCD|F51 |       |    |          |          |          |    |2017-10-18T11:59:51.360Z| 29.787125 | +2.122275 |   2MASS|     |    |     
     1I| P10Ee5V| CCD|F51 |       |    |          |          |          |    |2017-10-19T09:31:53.760Z| 23.730675 | +2.750889 |   2MASS|19.9 |   w|     
     1I|   0001I| CCD|F51 |       |    |          |          |          |    |2017-10-19T09:31:53.760Z| 23.730683 | +2.750858 |   Gaia2|19.6 |   G|t    
     1I|   0001I| CCD|F51 |       |    |          |          |          |    |2017-10-19T09:48:03.168Z| 23.661504 | +2.757831 |   Gaia2|19.6 |   G|G    
     1I| P10Ee5V| CCD|F51 |       |    |          |          |          |    |2017-10-19T09:48:03.168Z| 23.661437 | +2.757844 |   2MASS|19.9 |   w|     
     1I| P10Ee5V| CCD|F51 |       |    |          |          |          |    |2017-10-19T10:04:20.352Z| 23.59145  | +2.764875 |   2MASS|20.1 |   w|     
     1I|   0001I| CCD|F51 |       |    |          |          |          |    |2017-10-19T10:04:20.784Z| 23.59165  | +2.764853 |   Gaia2|19.5 |   G|t    
     1I|   0001I| CCD|F51 |       |    |          |          |          |    |2017-10-19T10:20:43.238Z| 23.521708 | +2.7718   |   Gaia2|     |    |I    
     1I| P10Ee5V| CCD|F51 |       |    |          |          |          |    |2017-10-19T10:20:43.584Z| 23.521558 | +2.771914 |   2MASS|20.1 |   w|     
     1I| P10Ee5V| CCD|104 |       |    |          |          |          |    |2017-10-19T20:39:26.208Z| 21.03287  | +3.01875  |   Gaia1|19.6 |   R|K    
     1I|CK17U010| CCD|246 |       |    |          |          |          |    |2017-10-19T20:43:04.800Z| 21.01779  | +3.01961  |   UCAC4|     |    |F    
     1I|CK17U010| CCD|246 |       |    |          |          |          |    |2017-10-19T20:43:26.400Z| 21.01687  | +3.01975  |   UCAC4|     |    |F    
     1I|CK17U010| CCD|246 |       |    |          |          |          |    |2017-10-19T20:44:31.200Z| 21.01275  | +3.02036  |   UCAC4|     |    |F    
     1I| P10Ee5V| CCD|104 |       |    |          |          |          |    |2017-10-19T20:45:29.088Z| 21.00921  | +3.02119  |   Gaia1|19.8 |   R|K    
     1I| P10Ee5V| CCD|104 |       |    |          |          |          |    |2017-10-19T20:51:25.920Z| 20.98621  | +3.02353  |   Gaia1|20.3 |   R|K    
     1I|   0001I| CCD|J04 |       |    |          |          |          |  02|2017-10-19T22:34:56.698Z| 20.592875 | +3.06495  |   Gaia2|20.3 |   G|K    
     1I| P10Ee5V| CCD|J04 |       |    |          |          |          |    |2017-10-19T22:34:56.698Z| 20.592867 | +3.064933 |   Gaia1|20.3 |   G|K    
     1I|   0001I| CCD|J04 |       |    |          |          |          |  02|2017-10-19T22:39:13.046Z| 20.576542 | +3.06655  |   Gaia2|20.6 |   G|K    
     1I| P10Ee5V| CCD|J04 |       |    |          |          |          |    |2017-10-19T22:39:13.046Z| 20.57655  | +3.066547 |   Gaia1|20.1 |   G|K    
     1I| P10Ee5V| CCD|I52 |       |    |          |          |          |    |2017-10-20T04:08:24.000Z| 19.36446  | +3.1855   |   Gaia1|19.9 |   G|     
     1I| P10Ee5V| CCD|I52 |       |    |          |          |          |    |2017-10-20T04:09:48.672Z| 19.35925  | +3.186    |   Gaia1|20.2 |   G|     
     1I| P10Ee5V| CCD|I52 |       |    |          |          |          |    |2017-10-20T04:11:15.072Z| 19.354    | +3.18647  |   Gaia1|20.2 |   G|     
