# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |  astCat|mag  |band|notes
 612243|2001 QR322 | MB38732| CCD|807 |       |    |          |          |          |  01|2001-08-21T07:39:04.320Z|358.39587  | -1.33267  |  USNOA2|21.2 |   R|     
 612243|2001 QR322 | MB38732| CCD|807 |       |    |          |          |          |  01|2001-08-21T09:16:50.880Z|358.39446  | -1.33331  |  USNOA2|     |    |     
 612243|2001 QR322 | MB38732| CCD|695 |       |    |          |          |          |  01|2001-10-20T06:41:10.176Z|356.95229  | -1.96622  |  USNOA2|22.5 |   R|     
 612243|2001 QR322 | MB38732| CCD|695 |       |    |          |          |          |  01|2001-10-20T08:04:14.592Z|356.95096  | -1.96669  |  USNOA2|     |    |     
 612243|2001 QR322 | MB38732| CCD|695 |       |    |          |          |          |  01|2001-10-21T04:00:20.160Z|356.9335   | -1.97419  |  USNOA2|     |    |     
 612243|2001 QR322 | K01QW2R| CCD|304 |       |    |          |          |          |    |2001-11-03T01:08:23.136Z|356.69196  | -2.07725  |  USNOA2|19.7 |   R|     
 612243|2001 QR322 | K01QW2R| CCD|304 |       |    |          |          |          |    |2001-11-03T02:14:45.312Z|356.69121  | -2.07761  |  USNOA2|     |    |     
 612243|2001 QR322 |        | CCD|695 |       |    |          |          |          |    |2002-11-07T03:15:18.432Z|358.76654  | -1.23092  |  USNOA2|22.2 |   R|     
 612243|2001 QR322 |        | CCD|695 |       |    |          |          |          |    |2002-11-07T05:24:25.056Z|358.76504  | -1.23161  |     UNK|     |    |     
 612243|2001 QR322 |        | CCD|568 |       |    |          |          |          |  07|2002-12-23T04:56:28.896Z|358.54771  | -1.31511  |     UNK|22.8 |   R|     
 612243|2001 QR322 |        | CCD|568 |       |    |          |          |          |  07|2002-12-23T06:52:08.544Z|358.54829  | -1.31481  |     UNK|     |    |     
 612243|2001 QR322 | K01QW2R| CCD|688 |       |    |          |          |          |  05|2003-09-27T09:48:59.328Z|  1.81488  | +0.03736  |  USNOB1|22.2 |   R|     
 612243|2001 QR322 | K01QW2R| CCD|688 |       |    |          |          |          |  05|2003-09-27T11:19:48.576Z|  1.81321  | +0.03683  |  USNOB1|     |    |     
 612243|2001 QR322 | K01QW2R| CCD|645 |       |    |          |          |          |    |2003-09-28T07:04:01.344Z|  1.79217  | +0.02772  |     UNK|22.4 |   V|     
 612243|2001 QR322 | K01QW2R| CCD|645 |       |    |          |          |          |    |2003-09-28T07:05:12.970Z|  1.79217  | +0.02772  |     UNK|22.6 |   V|     
 612243|2001 QR322 | K01QW2R| CCD|645 |       |    |          |          |          |    |2003-09-28T07:08:47.933Z|  1.79212  | +0.02772  |     UNK|23.1 |   V|     
 612243|2001 QR322 | K01QW2R| CCD|645 |       |    |          |          |          |    |2003-11-16T03:53:36.845Z|  0.76567  | -0.41375  |     UNK|22.2 |   V|     
 612243|2001 QR322 | K01QW2R| CCD|645 |       |    |          |          |          |    |2003-11-16T03:54:48.557Z|  0.76567  | -0.41375  |     UNK|22.5 |   V|     
 612243|2001 QR322 | K01QW2R| CCD|645 |       |    |          |          |          |    |2003-11-16T03:58:23.434Z|  0.76567  | -0.41375  |     UNK|23.5 |   V|     
 612243|2001 QR322 |        | CCD|304 |       |    |          |          |          |    |2004-10-16T00:42:12.384Z|  3.47742  | +0.70697  |     UNK|     |    |     
 612243|2001 QR322 |        | CCD|304 |       |    |          |          |          |    |2004-10-16T01:45:49.536Z|  3.47637  | +0.70644  |     UNK|     |    |     
 612243|2001 QR322 |        | CCD|304 |       |    |          |          |          |    |2004-10-16T02:41:45.312Z|  3.47546  | +0.70603  |     UNK|     |    |     
 612243|2001 QR322 |        | CCD|568 |       |    |          |          |          |  05|2004-12-12T07:14:53.664Z|  2.67879  | +0.37322  |     UNK|     |    |     
 612243|2001 QR322 |        | CCD|568 |       |    |          |          |          |  05|2004-12-13T07:28:05.088Z|  2.67808  | +0.37336  |     UNK|22.7 |   R|     
 612243|2001 QR322 |        | CCD|568 |       |    |          |          |          |  05|2004-12-14T07:20:15.936Z|  2.67812  | +0.37361  |     UNK|22.7 |   R|     
 612243|2001 QR322 |        | CCD|807 |       |    |          |          |          |  01|2005-08-09T04:47:09.888Z|  7.14046  | +2.25497  |     UNK|20.9 |   R|     
 612243|2001 QR322 |        | CCD|807 |       |    |          |          |          |  01|2005-08-10T04:22:31.584Z|  7.12671  | +2.24864  |     UNK|     |    |     
 612243|2001 QR322 |        | CCD|807 |       |    |          |          |          |  01|2005-08-10T07:36:16.704Z|  7.12479  | +2.24772  |     UNK|     |    |     
 612243|2001 QR322 |        | CCD|250 |ICRF_KM| 399|5085.5488 |-4101.2168|-2346.2402|    |2008-07-21T10:35:27.456Z| 13.59838  | +4.87253  |  GSC1.0|23.2 |   R|     
 612243|2001 QR322 |        | CCD|250 |ICRF_KM| 399|6126.5381 |-309.1348 |-3249.2454|    |2008-07-21T10:44:27.456Z| 13.59838  | +4.87253  |  GSC1.0|     |    |     
 612243|2001 QR322 |        | CCD|250 |ICRF_KM| 399|4050.5305 |-5375.0073|-1700.038 |    |2008-07-21T12:07:27.552Z| 13.59825  | +4.87244  |  GSC1.0|     |    |     
 612243|2001 QR322 |        | CCD|250 |ICRF_KM| 399|5920.7764 |-2042.1621|-2993.5952|    |2008-07-21T12:16:27.552Z| 13.59825  | +4.87244  |  GSC1.0|     |    |     
 612243|2001 QR322 | K01QW2R| CCD|645 |       |    |          |          |          |    |2008-10-08T09:16:31.613Z| 12.23204  | +4.26592  |     UNK|22.2 |   V|     
 612243|2001 QR322 | K01QW2R| CCD|645 |       |    |          |          |          |    |2008-10-08T09:17:43.152Z| 12.23204  | +4.26589  |     UNK|22.1 |   V|     
 612243|2001 QR322 | K01QW2R| CCD|645 |       |    |          |          |          |    |2008-10-08T09:21:18.115Z| 12.23196  | +4.26589  |     UNK|23.3 |   V|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2010-06-19T13:42:29.088Z| 17.506312 | +6.427872 |   Gaia2|23.3 |   G|K    
 612243|2001 QR322 |  ALA0Qm| CCD|568 |       |    |          |          |          |  0J|2010-10-04T09:47:57.984Z| 16.64233  | +6.01683  |  USNOB1|23.1 |   g|     
 612243|2001 QR322 |  ALA0Qm| CCD|568 |       |    |          |          |          |  0J|2010-10-04T10:39:41.472Z| 16.64133  | +6.01642  |  USNOB1|22.4 |   i|     
 612243|2001 QR322 |  ALA0Qm| CCD|568 |       |    |          |          |          |  0J|2010-10-04T11:28:40.800Z| 16.64046  | +6.01608  |  USNOB1|23.2 |   g|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2010-10-06T10:34:29.568Z| 16.590125 | +5.994958 |   Gaia2|22.1 |   G|K    
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2010-10-13T10:40:02.208Z| 16.408892 | +5.919931 |   Gaia2|21.8 |   G|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2010-10-13T11:01:53.760Z| 16.408558 | +5.919772 |   Gaia2|22.7 |   G|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2010-10-13T11:24:00.000Z| 16.408017 | +5.919542 |   Gaia2|22.9 |   G|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2010-10-13T11:44:04.416Z| 16.407833 | +5.919314 |   Gaia2|22.7 |   G|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2012-10-08T12:18:44.064Z| 20.82935  | +7.630528 |   Gaia2|23.4 |   G|K    
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2012-10-17T09:25:47.424Z| 20.598258 | +7.537667 |   Gaia2|22.7 |   G|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2012-10-17T09:28:07.392Z| 20.59821  | +7.53772  |   2MASS|23.5 |   w|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2012-10-17T09:45:00.000Z| 20.59792  | +7.53761  |   2MASS|22.6 |   w|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2012-10-17T09:45:06.048Z| 20.597929 | +7.5376   |   Gaia2|22.7 |   G|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2012-10-17T10:23:55.392Z| 20.59715  | +7.537267 |   Gaia2|22.5 |   G|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2012-11-06T06:50:05.856Z| 20.098129 | +7.339428 |   Gaia2|22.8 |   G|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2012-11-06T07:11:32.352Z| 20.097671 | +7.339278 |   Gaia2|23.1 |   G|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2012-11-06T07:33:04.032Z| 20.097392 | +7.339131 |   Gaia2|23.7 |   G|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2012-11-06T07:54:33.984Z| 20.096975 | +7.338978 |   Gaia2|22.7 |   G|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2013-10-02T09:30:04.896Z| 23.146825 | +8.507411 |   Gaia2|22.5 |   G|K    
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2013-10-02T09:50:37.824Z| 23.14646  | +8.50733  |   2MASS|22.4 |   w|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2013-10-02T10:13:07.392Z| 23.14608  | +8.50719  |   2MASS|22.5 |   w|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2013-10-02T10:35:37.824Z| 23.14567  | +8.50697  |   2MASS|22.2 |   w|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2013-10-27T08:03:01.152Z| 22.501292 | +8.252878 |   Gaia2|23.4 |   G|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2013-10-27T08:25:19.488Z| 22.500958 | +8.252683 |   Gaia2|22.1 |   G|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2013-10-27T08:26:14.784Z| 22.50092  | +8.25272  |   2MASS|22.6 |   w|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2013-10-27T08:47:45.600Z| 22.500521 | +8.252633 |   Gaia2|23   |   G|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2013-10-27T08:48:45.216Z| 22.50046  | +8.25267  |   2MASS|22.6 |   w|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2013-10-27T09:10:13.440Z| 22.500179 | +8.252397 |   Gaia2|22.7 |   G|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2013-10-27T09:11:14.784Z| 22.50013  | +8.25242  |   2MASS|22.6 |   w|     
 612243|2001 QR322 | K01QW2R| CCD|F51 |       |    |          |          |          |    |2013-11-25T05:47:41.280Z| 21.83975  | +7.999114 |   Gaia2|22.7 |   G|     
