# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |  astCat|mag  |band
2005 TN53  |        | CCD|304 |    |2005-10-07T02:18:54.144Z|  7.38133  | +2.49408  |     UNK|23.3 |   R
2005 TN53  |        | CCD|304 |    |2005-10-07T03:12:10.944Z|  7.38025  | +2.49372  |     UNK|23.5 |   R
2005 TN53  |        | CCD|304 |    |2005-10-07T04:05:45.888Z|  7.37925  | +2.49339  |     UNK|23.4 |   R
2005 TN53  |        | CCD|304 |    |2005-10-08T06:31:18.336Z|  7.3495   | +2.48403  |     UNK|     |    
2005 TN53  |        | CCD|304 |    |2005-10-08T07:08:11.904Z|  7.34883  | +2.48372  |     UNK|     |    
2005 TN53  |        | CCD|304 |    |2005-10-25T02:48:52.128Z|  6.91479  | +2.34733  |     UNK|23.3 |   R
2005 TN53  |        | CCD|304 |    |2005-10-25T03:36:16.416Z|  6.91379  | +2.34706  |     UNK|     |    
2005 TN53  |        | CCD|304 |    |2005-11-03T01:19:06.816Z|  6.70787  | +2.28558  |     UNK|     |    
2005 TN53  |        | CCD|304 |    |2005-11-03T03:22:53.760Z|  6.706    | +2.28514  |     UNK|     |    
2005 TN53  |        | CCD|304 |    |2005-11-28T01:10:57.792Z|  6.27933  | +2.17847  |     UNK|23.5 |   R
2005 TN53  |        | CCD|304 |    |2005-11-28T02:28:58.944Z|  6.27875  | +2.17842  |     UNK|23.4 |   R
2005 TN53  |        | CCD|304 |    |2005-11-30T00:50:21.408Z|  6.25708  | +2.17497  |     UNK|     |    
2005 TN53  |        | CCD|304 |    |2005-11-30T02:16:34.176Z|  6.25629  | +2.17486  |     UNK|     |    
2005 TN53  |        | CCD|568 |  05|2005-12-24T06:53:14.208Z|  6.14579  | +2.20158  |     UNK|     |    
2005 TN53  |        | CCD|568 |  05|2005-12-25T07:38:24.576Z|  6.14792  | +2.20561  |     UNK|     |    
2005 TN53  |        | CCD|568 |  05|2005-12-26T08:23:08.160Z|  6.15063  | +2.20975  |     UNK|     |    
2005 TN53  | K05T53N| CCD|304 |    |2006-07-28T08:34:05.664Z| 10.38383  | +4.61528  |  USNOB1|     |    
2005 TN53  | K05T53N| CCD|304 |    |2006-07-28T09:55:21.216Z| 10.38333  | +4.61511  |  USNOB1|     |    
2005 TN53  |        | CCD|304 |    |2006-11-12T02:51:38.016Z|  8.0295   | +3.91892  |     UNK|23.8 |   R
2005 TN53  |        | CCD|304 |    |2006-11-13T00:44:45.312Z|  8.01192  | +3.91369  |     UNK|     |    
2005 TN53  |        | CCD|304 |    |2006-11-13T01:04:27.264Z|  8.01162  | +3.91364  |     UNK|     |    
2005 TN53  | K05T53N| CCD|675 |  08|2007-09-18T10:16:19.200Z| 10.95087  | +6.05606  |  USNOA2|     |    
2005 TN53  | K05T53N| CCD|675 |  08|2007-09-18T10:57:30.240Z| 10.95004  | +6.05586  |  USNOA2|     |    
2005 TN53  | K05T53N| CCD|695 |  01|2013-10-05T09:22:07.104Z| 20.19104  |+16.18608  |  USNOB1|23   |   R
2005 TN53  | K05T53N| CCD|695 |  01|2013-10-05T10:53:38.688Z| 20.18908  |+16.18567  |  USNOB1|     |    
2005 TN53  | K05T53N| CCD|695 |  01|2013-10-06T09:33:02.016Z| 20.16229  |+16.17864  |  USNOB1|     |    
