# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |  astCat|mag  |band
2008 LC18  | Y616364| CCD|568 |  05|2008-06-07T10:46:03.360Z|262.907371 |-20.391208 |  USNOA2|     |    
2008 LC18  | Y616364| CCD|568 |  05|2008-06-07T11:41:21.120Z|262.906346 |-20.391222 |  USNOA2|     |    
2008 LC18  | Y616364| CCD|568 |  05|2008-06-07T12:36:38.880Z|262.905237 |-20.391261 |  USNOA2|     |    
2008 LC18  | Y616364| CCD|304 |    |2008-07-03T23:59:00.384Z|262.175908 |-20.424756 |  USNOA2|     |    
2008 LC18  | Y616364| CCD|304 |    |2008-07-04T00:06:02.880Z|262.1757   |-20.424814 |  USNOA2|     |    
2008 LC18  | Y616364| CCD|807 |  0N|2008-07-09T05:28:59.808Z|262.042108 |-20.433681 |  USNOA2|     |    
2008 LC18  | Y616364| CCD|304 |    |2008-08-21T23:49:59.520Z|261.288483 |-20.543431 |  USNOA2|     |    
2008 LC18  | Y616364| CCD|304 |    |2008-08-22T00:05:17.952Z|261.288167 |-20.543547 |  USNOA2|     |    
2008 LC18  | Y616364| CCD|304 |    |2008-08-23T00:54:00.000Z|261.280883 |-20.546839 |  USNOA2|     |    
2008 LC18  | Y616364| CCD|304 |    |2009-05-23T09:23:29.184Z|265.114092 |-21.335717 |  USNOA2|     |    
2008 LC18  | Y616364| CCD|568 |  05|2009-06-22T07:34:59.808Z|264.292738 |-21.375697 |  USNOA2|     |    
2008 LC18  | Y616364| CCD|568 |  05|2009-06-22T10:55:59.520Z|264.28865  |-21.376011 |  USNOA2|     |    
2008 LC18  | K08L18C| CCD|568 |  05|2012-07-21T07:49:48.000Z|269.005321 |-24.220419 |  USNOA2|     |    
2008 LC18  | K08L18C| CCD|568 |  05|2012-07-22T08:02:03.264Z|268.980946 |-24.222522 |  USNOA2|23.2 |   r
2008 LC18  | K08L18C| CCD|304 |    |2021-07-31T01:53:22.272Z|286.653662 |-31.305111 |  Gaia3E|     |    
2008 LC18  | K08L18C| CCD|304 |    |2021-07-31T01:59:38.112Z|286.653479 |-31.305103 |  Gaia3E|     |    
2008 LC18  | K08L18C| CCD|304 |    |2021-07-31T02:05:40.992Z|286.653413 |-31.305128 |  Gaia3E|     |    
2008 LC18  | K08L18C| CCD|304 |    |2021-07-31T02:10:50.304Z|286.653308 |-31.305136 |  Gaia3E|     |    
2008 LC18  | K08L18C| CCD|304 |    |2021-07-31T02:15:39.744Z|286.653229 |-31.305144 |  Gaia3E|     |    
2008 LC18  | K08L18C| CCD|304 |    |2021-07-31T02:27:46.368Z|286.652958 |-31.305153 |  Gaia3E|     |    
2008 LC18  | K08L18C| CCD|304 |    |2021-07-31T02:32:21.120Z|286.652883 |-31.305178 |  Gaia3E|     |    
2008 LC18  | K08L18C| CCD|304 |    |2021-07-31T02:35:47.616Z|286.652854 |-31.305169 |  Gaia3E|     |    
2008 LC18  | K08L18C| CCD|304 |    |2021-07-31T02:39:14.112Z|286.652783 |-31.305169 |  Gaia3E|     |    
2008 LC18  | K08L18C| CCD|304 |    |2021-07-31T02:42:40.608Z|286.652708 |-31.305236 |  Gaia3E|     |    
2008 LC18  | K08L18C| CCD|304 |    |2021-07-31T02:46:06.240Z|286.65265  |-31.305203 |  Gaia3E|     |    
2008 LC18  | K08L18C| CCD|304 |    |2021-07-31T02:50:22.848Z|286.652554 |-31.305228 |  Gaia3E|     |    
2008 LC18  | K08L18C| CCD|304 |    |2024-03-07T09:35:51.360Z|294.588583 |-32.071319 |   Gaia2|23.3 |   r
2008 LC18  | K08L18C| CCD|304 |    |2024-03-08T09:36:18.144Z|294.615121 |-32.074269 |   Gaia2|23.3 |   r
