# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |  astCat|mag  |band
2008 TC3   | 8TA9D69| CCD|G96 |    |2008-10-06T06:39:50.688Z|349.25325  | +7.82297  |   UCAC2|18.9 |   V
2008 TC3   | 8TA9D69| CCD|G96 |    |2008-10-06T06:54:10.368Z|349.22742  | +7.82383  |   UCAC2|18.8 |   V
2008 TC3   | 8TA9D69| CCD|G96 |    |2008-10-06T07:08:41.280Z|349.2015   | +7.82433  |   UCAC2|18.8 |   V
2008 TC3   | 8TA9D69| CCD|G96 |    |2008-10-06T07:23:05.280Z|349.17642  | +7.82464  |   UCAC2|19.1 |   V
2008 TC3   | 8TA9D69| CCD|G96 |    |2008-10-06T07:43:39.936Z|349.14146  | +7.82444  |   UCAC2|18.8 |   V
2008 TC3   | 8TA9D69| CCD|G96 |    |2008-10-06T08:01:24.384Z|349.11262  | +7.82375  |   UCAC2|18.8 |   V
2008 TC3   | 8TA9D69| CCD|854 |    |2008-10-06T08:17:27.744Z|349.08738  | +7.82494  |  USNOA2|18.1 |   R
2008 TC3   | 8TA9D69| CCD|G96 |    |2008-10-06T08:19:12.288Z|349.08533  | +7.82256  |   UCAC2|18.8 |   V
2008 TC3   | 8TA9D69| CCD|854 |    |2008-10-06T08:22:20.640Z|349.08042  | +7.82422  |  USNOA2|18.5 |   R
2008 TC3   | 8TA9D69| CCD|854 |    |2008-10-06T08:27:12.672Z|349.07329  | +7.82414  |  USNOA2|19   |   R
2008 TC3   | 8TA9D69| CCD|G96 |    |2008-10-06T08:37:01.056Z|349.05992  | +7.82092  |   UCAC2|18.8 |   V
2008 TC3   | 8TA9D69| CCD|G96 |    |2008-10-06T09:00:40.608Z|349.02987  | +7.81794  |   UCAC2|19.2 |   V
2008 TC3   | 8TA9D69| CCD|G96 |    |2008-10-06T09:01:12.576Z|349.02929  | +7.81783  |   UCAC2|18.5 |   V
2008 TC3   | 8TA9D69| CCD|G96 |    |2008-10-06T09:01:43.680Z|349.02867  | +7.81778  |   UCAC2|19.1 |   V
2008 TC3   | 8TA9D69| CCD|G96 |    |2008-10-06T09:02:14.784Z|349.02808  | +7.81769  |   UCAC2|19.1 |   V
2008 TC3   | 8TA9D69| CCD|D90 |  0N|2008-10-06T14:39:12.384Z|349.77675  | +9.25556  |   UCAC2|17.8 |   R
2008 TC3   | 8TA9D69| CCD|D90 |  0N|2008-10-06T14:43:05.664Z|349.76958  | +9.26278  |   UCAC2|17.9 |   R
2008 TC3   | 8TA9D69| CCD|D90 |  0N|2008-10-06T14:47:00.672Z|349.76221  | +9.27011  |   UCAC2|17.9 |   R
2008 TC3   | 8TA9D69| CCD|E12 |    |2008-10-06T15:18:14.688Z|349.5585   | +9.26083  |   UCAC2|18.2 |   V
2008 TC3   | 8TA9D69| CCD|E12 |    |2008-10-06T15:18:45.792Z|349.55775  | +9.26178  |   UCAC2|17.4 |   V
2008 TC3   | 8TA9D69| CCD|E12 |    |2008-10-06T15:19:16.896Z|349.557    | +9.26269  |   UCAC2|18   |   V
2008 TC3   | 8TA9D69| CCD|E12 |    |2008-10-06T15:19:47.136Z|349.55638  | +9.26375  |   UCAC2|18   |   V
2008 TC3   | 8TA9D69| CCD|E12 |    |2008-10-06T15:20:18.240Z|349.55579  | +9.2645   |   UCAC2|17.6 |   V
2008 TC3   | 8TA9D69| CCD|E12 |    |2008-10-06T15:23:12.768Z|349.55129  | +9.26931  |   UCAC2|17.9 |   V
2008 TC3   | 8TA9D69| CCD|E12 |    |2008-10-06T15:23:43.872Z|349.55038  | +9.27028  |   UCAC2|17.7 |   V
2008 TC3   | 8TA9D69| CCD|E12 |    |2008-10-06T15:24:13.248Z|349.54992  | +9.27108  |   UCAC2|17.7 |   V
2008 TC3   | 8TA9D69| CCD|114 |    |2008-10-06T17:21:50.400Z|351.38508  | +7.76353  |   UCAC2|17.5 |   R
2008 TC3   | 8TA9D69| CCD|114 |    |2008-10-06T17:23:11.616Z|351.38671  | +7.76428  |   UCAC2|17.8 |   R
2008 TC3   | 8TA9D69| CCD|114 |    |2008-10-06T17:24:36.288Z|351.38858  | +7.76525  |   UCAC2|17.4 |   R
2008 TC3   | 8TA9D69| CCD|114 |    |2008-10-06T17:25:58.368Z|351.39046  | +7.76603  |   UCAC2|17.7 |   R
2008 TC3   | K08T03C| CCD|114 |    |2008-10-06T17:27:12.672Z|351.39167  | +7.76667  |   UCAC2|     |    
2008 TC3   | K08T03C| CCD|114 |    |2008-10-06T17:43:40.224Z|351.41204  | +7.77622  |   UCAC2|17.6 |   R
2008 TC3   | K08T03C| CCD|114 |    |2008-10-06T17:45:04.032Z|351.41367  | +7.77708  |   UCAC2|17.5 |   R
2008 TC3   | K08T03C| CCD|114 |    |2008-10-06T17:46:27.840Z|351.41525  | +7.77781  |   UCAC2|17.8 |   R
2008 TC3   | K08T03C| CCD|114 |    |2008-10-06T17:47:50.784Z|351.41688  | +7.77867  |   UCAC2|17.4 |   R
2008 TC3   | K08T03C| CCD|106 |    |2008-10-06T17:53:21.696Z|351.81704  | +7.68397  |   UCAC2|17.7 |   R
2008 TC3   | K08T03C| CCD|106 |    |2008-10-06T17:55:42.528Z|351.82475  | +7.68561  |   UCAC2|18.3 |   R
2008 TC3   | K08T03C| CCD|114 |    |2008-10-06T17:55:53.760Z|351.42571  | +7.78331  |   UCAC2|17.4 |   R
2008 TC3   | K08T03C| CCD|106 |    |2008-10-06T17:56:53.376Z|351.82887  | +7.68594  |   UCAC2|17.5 |   R
2008 TC3   | K08T03C| CCD|114 |    |2008-10-06T17:57:17.568Z|351.42721  | +7.784    |   UCAC2|17.4 |   R
2008 TC3   | K08T03C| CCD|114 |    |2008-10-06T17:58:42.240Z|351.42879  | +7.78475  |   UCAC2|17.3 |   R
2008 TC3   | K08T03C| CCD|114 |    |2008-10-06T18:00:04.320Z|351.43029  | +7.78556  |   UCAC2|17.5 |   R
2008 TC3   | K08T03C| CCD|114 |    |2008-10-06T18:01:18.624Z|351.43142  | +7.78619  |   UCAC2|17.4 |   R
2008 TC3   | K08T03C| CCD|143 |    |2008-10-06T18:17:33.216Z|351.96229  | +7.68208  |   UCAC2|16.9 |   R
2008 TC3   | K08T03C| CCD|143 |    |2008-10-06T18:24:57.312Z|351.99104  | +7.68669  |   UCAC2|17.1 |   R
2008 TC3   | K08T03C| CCD|143 |    |2008-10-06T18:31:51.168Z|352.01762  | +7.691    |   UCAC2|17.2 |   R
2008 TC3   | K08T03C| CCD|143 |    |2008-10-06T18:39:31.680Z|352.04692  | +7.69586  |   UCAC2|17   |   R
2008 TC3   | K08T03C| CCD|A77 |    |2008-10-06T18:46:19.488Z|352.16046  | +7.74614  | USNOSA2|16.2 |   R
2008 TC3   | K08T03C| CCD|A77 |    |2008-10-06T18:46:48.000Z|352.16229  | +7.74636  | USNOSA2|17   |   R
2008 TC3   | K08T03C| CCD|595 |    |2008-10-06T18:48:50.688Z|352.01458  | +7.71847  |  USNOA2|17   |   V
