# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|  astCat|mag  |rmsMag|band| photCat| exp|notes
2018 LA    | K18L00A| CCD|G96 |    |2018-06-02T08:14:20.688Z|242.793092 |-11.326367 |     |      |   Gaia2|     |      |    |        |    |t    
2018 LA    | ZLAF9B2| CCD|G96 |    |2018-06-02T08:14:21.120Z|242.79308  |-11.32631  |     |      |   Gaia1|     |      |    |        |    |     
2018 LA    | K18L00A| CCD|G96 |    |2018-06-02T08:21:51.091Z|242.7473   |-11.339269 |     |      |   Gaia2|18.2 |      |   G|        |    |t    
2018 LA    | K18L00A| CCD|G96 |    |2018-06-02T08:29:21.667Z|242.700642 |-11.352486 |     |      |   Gaia2|18.3 |      |   G|        |    |t    
2018 LA    | K18L00A| CCD|G96 |    |2018-06-02T08:36:52.762Z|242.652517 |-11.365917 |     |      |   Gaia2|18   |      |   G|        |    |t    
2018 LA    | K18L00A| CCD|I52 |    |2018-06-02T09:32:54.499Z|242.260746 |-11.47395  |     |      |   Gaia2|17.5 |      |   G|        |    |     
2018 LA    | K18L00A| CCD|I52 |    |2018-06-02T09:33:10.224Z|242.258842 |-11.474469 |     |      |   Gaia2|17.2 |      |   G|        |    |     
2018 LA    | K18L00A| CCD|I52 |    |2018-06-02T09:33:26.035Z|242.256742 |-11.475069 |     |      |   Gaia2|17.5 |      |   G|        |    |     
2018 LA    | K18L00A| CCD|I52 |    |2018-06-02T09:33:41.674Z|242.254808 |-11.475522 |     |      |   Gaia2|17.7 |      |   G|        |    |     
2018 LA    | K18L00A| CCD|G96 |    |2018-06-02T09:39:12.758Z|242.212625 |-11.487261 |     |      |   Gaia2|17.7 |      |   G|        |    |     
2018 LA    | K18L00A| CCD|G96 |    |2018-06-02T09:39:20.794Z|242.211575 |-11.487511 |     |      |   Gaia2|17.9 |      |   G|        |    |     
2018 LA    | K18L00A| CCD|G96 |    |2018-06-02T09:39:28.829Z|242.210708 |-11.487808 |     |      |   Gaia2|17.8 |      |   G|        |    |     
2018 LA    | K18L00A| CCD|G96 |    |2018-06-02T09:39:36.691Z|242.209479 |-11.487958 |     |      |   Gaia2|17.8 |      |   G|        |    |     
2018 LA    | K18L00A| CCD|T08 |    |2018-06-02T11:49:23.491Z|241.516213 |-11.733739 |     |      |   Gaia2|16.8 |      |   G|        |    |     
2018 LA    | K18L00A| CCD|T08 |    |2018-06-02T12:01:22.858Z|241.333171 |-11.782814 |     |      |   Gaia2|16.8 |      |   G|        |    |     
2018 LA    |        | CCD|Q55 |  03|2018-06-02T13:44:39.330Z|240.978114 |-10.425919 |0.7  |0.5   |   Gaia3|16.8 |0.1   |   g|  ATLAS2|   5|t    
2018 LA    |        | CCD|Q55 |  03|2018-06-02T13:45:08.330Z|240.964307 |-10.426097 |0.3  |0.2   |   Gaia3|16.43|0.07  |   r|  ATLAS2|   5|t    
2018 LA    |        | CCD|Q55 |  03|2018-06-02T13:45:39.830Z|240.950707 |-10.426196 |0.4  |0.2   |   Gaia3|15.83|0.11  |   i|  ATLAS2|  10|t    
