# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                            
 594913|2020 AV2   | ZTF0Ikb| CCD|I41 |       |    |          |          |          |    |2020-01-04T01:50:58.8Z  |321.20792  | -6.14494  |0.163|0.163 | 0     |   Gaia1|17.96|0.151 |   r|        |      |0.86  |    |      |     |TRCKID=15; REFDISTNEAR=7.46401; REFMAGNEAR=22.897  
 594913|2020 AV2   | ZTF0Ikb| CCD|I41 |       |    |          |          |          |    |2020-01-04T01:58:10.0Z  |321.21112  | -6.14208  |0.094|0.094 | 0     |   Gaia1|17.95|0.122 |   r|        |      |0.95  |    |      |     |TRCKID=15; REFDISTNEAR=5.70754; REFMAGNEAR=22.873  
 594913|2020 AV2   | ZTF0Ikb| CCD|I41 |       |    |          |          |          |    |2020-01-04T02:05:22.0Z  |321.21442  | -6.13917  |0.119|0.116 | 0     |   Gaia1|18.13|0.157 |   r|        |      |0.84  |    |      |     |TRCKID=15; REFDISTNEAR=9.04103; REFMAGNEAR=18.206  
 594913|2020 AV2   | ZTF0Ikb| CCD|I41 |       |    |          |          |          |    |2020-01-04T02:12:32.3Z  |321.21758  | -6.13631  |0.074|0.074 | 0     |   Gaia1|18.01|0.073 |   r|        |      |1.17  |    |      |     |TRCKID=15; REFDISTNEAR=8.86529; REFMAGNEAR=22.47   
 594913|2020 AV2   | ZTF09k5| CCD|595 |       |    |          |          |          |    |2020-01-04T16:58:09.984Z|321.6165   | -5.78378  |     |      |       |   Gaia2|18.1 |      |   G|        |      |      |    |      |K    |                                                   
 594913|2020 AV2   | ZTF09k5| CCD|595 |       |    |          |          |          |    |2020-01-04T17:03:59.904Z|321.61921  | -5.78122  |     |      |       |   Gaia2|18.1 |      |   G|        |      |      |    |      |K    |                                                   
 594913|2020 AV2   | ZTF09k5| CCD|595 |       |    |          |          |          |    |2020-01-04T17:09:48.960Z|321.62167  | -5.77925  |     |      |       |   Gaia2|18.3 |      |   G|        |      |      |    |      |K    |                                                   
 594913|2020 AV2   | ZTF09k5| CCD|595 |       |    |          |          |          |    |2020-01-04T17:15:38.016Z|321.62408  | -5.77672  |     |      |       |   Gaia2|17.9 |      |   G|        |      |      |    |      |K    |                                                   
 594913|2020 AV2   | ZTF09k5| CCD|595 |       |    |          |          |          |    |2020-01-04T17:21:27.936Z|321.62675  | -5.77444  |     |      |       |   Gaia2|17.9 |      |   G|        |      |      |    |      |K    |                                                   
 594913|2020 AV2   | ZTF09k5| CCD|595 |       |    |          |          |          |    |2020-01-04T17:27:16.992Z|321.62929  | -5.77206  |     |      |       |   Gaia2|17.6 |      |   G|        |      |      |    |      |K    |                                                   
 594913|2020 AV2   | ZTF09k5| CCD|K88 |       |    |          |          |          |    |2020-01-05T16:29:48.768Z|322.23325  | -5.22619  |     |      |       |  USNOB1|17.1 |      |   R|        |      |      |    |      |K    |                                                   
 594913|2020 AV2   | ZTF09k5| CCD|K88 |       |    |          |          |          |    |2020-01-05T16:37:46.560Z|322.23671  | -5.22297  |     |      |       |  USNOB1|17.1 |      |   R|        |      |      |    |      |K    |                                                   
 594913|2020 AV2   | ZTF09k5| CCD|K88 |       |    |          |          |          |    |2020-01-05T16:41:45.888Z|322.23838  | -5.22167  |     |      |       |  USNOB1|17.2 |      |   R|        |      |      |    |      |K    |                                                   
 594913|2020 AV2   | ZTF09k5| CCD|K38 |       |    |          |          |          |    |2020-01-05T17:13:26Z    |322.25186  | -5.20917  |0.22 |0.21  |       |   Gaia2|18.1 |0.14  |   G|   Gaia2|10    |1.07  |1200|0.13  |K    |                                                   
 594913|2020 AV2   | ZTF09k5| CCD|104 |       |    |          |          |          |    |2020-01-05T17:28:06.240Z|322.25792  | -5.20347  |     |      |       |   Gaia2|18.3 |      |   G|        |      |      |    |      |K    |                                                   
