# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|  astCat|mag   |rmsMag|band| photCat|photAp|logSNR|  exp|rmsFit|notes|remarks                          
2020 CD3   | K20C03D| CCD|703 |    |2018-05-09T07:10:02.323Z|200.266775 |+43.438089 |     |      |   Gaia2|      |      |    |        |      |      |     |      |Z    |                                 
2020 CD3   | K20C03D| CCD|703 |    |2018-05-09T07:10:32.390Z|200.207408 |+43.414158 |     |      |   Gaia2|      |      |    |        |      |      |     |      |Z    |                                 
2020 CD3   | K20C03D| CCD|703 |    |2018-05-09T07:19:17.184Z|199.163942 |+42.979678 |     |      |   Gaia2|      |      |    |        |      |      |     |      |Z    |                                 
2020 CD3   | K20C03D| CCD|703 |    |2018-05-09T07:19:47.251Z|199.104083 |+42.953764 |     |      |   Gaia2|      |      |    |        |      |      |     |      |Z    |                                 
2020 CD3   | K20C03D| CCD|703 |    |2018-05-09T07:34:39.677Z|197.290233 |+42.146603 |     |      |   Gaia2|      |      |    |        |      |      |     |      |Z    |                                 
2020 CD3   | K20C03D| CCD|W84 |  03|2019-01-17T07:28:15.283Z|142.102525 |-42.661592 |     |      |   Gaia2|      |      |    |        |      |      |     |      |H    |                                 
2020 CD3   | K20C03D| CCD|W84 |  03|2019-01-17T07:28:45.437Z|142.093337 |-42.640861 |     |      |   Gaia2|      |      |    |        |      |      |     |      |H    |                                 
2020 CD3   | K20C03D| CCD|W84 |  03|2019-01-17T07:29:15.418Z|142.084425 |-42.621444 |     |      |   Gaia2|      |      |    |        |      |      |     |      |H    |                                 
2020 CD3   | K20C03D| CCD|G96 |    |2019-01-24T05:43:24.413Z|127.511021 |+52.475533 |     |      |   Gaia2|21.1  |      |   G|        |      |      |     |      |Z    |                                 
2020 CD3   | K20C03D| CCD|G96 |    |2019-01-24T05:50:58.704Z|127.480454 |+52.499303 |     |      |   Gaia2|20.8  |      |   G|        |      |      |     |      |Z    |                                 
2020 CD3   | K20C03D| CCD|G96 |    |2019-01-24T05:58:33.427Z|127.452758 |+52.523008 |     |      |   Gaia2|20.6  |      |   G|        |      |      |     |      |Z    |                                 
