# version=2017
 permID|provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag   |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                                                                                            
 614689|2020 XL5   | K20X05L| CCD|F51 |    |2012-12-23T15:01:08.342Z|194.568479 |-16.030411 |     |      |       |   Gaia2|21.32 |      |   G|        |      |      |    |      |     |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|W84 |  03|2014-11-04T08:51:49.075Z|142.558804 | -0.647308 |     |      |       |   Gaia2|22.1  |      |   G|        |      |      |    |      |K    |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|F51 |    |2014-12-10T15:45:30.240Z|175.628604 |-11.756444 |     |      |       |   Gaia2|22.09 |      |   G|        |      |      |    |      |     |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|F51 |    |2014-12-11T15:47:26.189Z|176.824917 |-12.09155  |     |      |       |   Gaia2|22.57 |      |   G|        |      |      |    |      |     |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|F51 |    |2014-12-30T15:27:48.902Z|204.187662 |-17.842819 |     |      |       |   Gaia2|20.97 |      |   G|        |      |      |    |      |     |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|F51 |    |2014-12-30T15:32:32.554Z|204.193221 |-17.843631 |     |      |       |   Gaia2|21.43 |      |   G|        |      |      |    |      |     |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|F51 |    |2014-12-30T15:37:17.328Z|204.1986   |-17.844436 |     |      |       |   Gaia2|21.08 |      |   G|        |      |      |    |      |     |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|F51 |    |2014-12-30T15:42:00.979Z|204.2041   |-17.845214 |     |      |       |   Gaia2|21.17 |      |   G|        |      |      |    |      |     |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|F51 |    |2015-01-01T15:24:08.237Z|207.603146 |-18.290858 |     |      |       |   Gaia2|21.37 |      |   G|        |      |      |    |      |     |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|F51 |    |2015-01-01T15:30:47.491Z|207.611083 |-18.291864 |     |      |       |   Gaia2|21.03 |      |   G|        |      |      |    |      |     |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|F51 |    |2015-01-01T15:37:29.597Z|207.619012 |-18.292861 |     |      |       |   Gaia2|21.38 |      |   G|        |      |      |    |      |     |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|F51 |    |2015-01-01T15:44:10.752Z|207.627054 |-18.293867 |     |      |       |   Gaia2|21.41 |      |   G|        |      |      |    |      |     |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|G96 |    |2017-10-24T11:55:48.576Z|134.410117 | +1.987997 |     |      |       |   Gaia2|22.3  |      |   G|        |      |      |    |      |Z    |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|W84 |  0F|2018-10-07T08:30:22.493Z|122.80163  | +5.73153  |     |      |       |   Gaia2|      |      |    |        |      |      |    |      |     |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|W84 |  0F|2018-10-13T08:50:42.029Z|126.67396  | +4.51906  |     |      |       |   Gaia2|      |      |    |        |      |      |    |      |     |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|G96 |    |2019-10-27T12:11:54.355Z|135.690262 | +1.368183 |     |      |       |   Gaia2|21.5  |      |   G|        |      |      |    |      |Z    |                                                                                                                   
 614689|2020 XL5   | P11aRcq| CCD|G96 |    |2020-11-26T12:10:36.768Z|159.22804  | -7.319    |     |      |       |   Gaia2|22.4  |      |   G|        |      |      |    |      |     |                                                                                                                   
 614689|2020 XL5   | P11aRcq| CCD|G96 |    |2020-11-26T12:17:57.408Z|159.23275  | -7.3205   |     |      |       |   Gaia2|22.3  |      |   G|        |      |      |    |      |     |                                                                                                                   
 614689|2020 XL5   | P11aRcq| CCD|G96 |    |2020-11-26T12:32:36.096Z|159.24183  | -7.32367  |     |      |       |   Gaia2|20.5  |      |   G|        |      |      |    |      |     |                                                                                                                   
