# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1       |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                            
|2021 PH27|K21P27H|CCD|W84||||||03|2017-07-16T23:19:20.064Z|160.049404|3.417644||||Gaia2|19.9||G|||||||
|2021 PH27|K21P27H|CCD|W84||||||03|2017-07-16T23:20:19.162Z|160.049850|3.417275||||Gaia2|19.9||G|||||||
|2021 PH27|v13aug1|CCD|807||||||0p|2021-08-13T23:13:29.05Z|176.705036|-2.152977|0.13|0.13||Gaia2|19.32|0.15|G|Gaia2|2.1|0.87|27.0|0.054||S: 0.0384 0.0376 O: 0.1263 0.1259
|2021 PH27|v13aug1|CCD|807||||||0p|2021-08-13T23:16:22.78Z|176.706322|-2.154076|0.067|0.067||Gaia2|19.29|0.09|G|Gaia2|1.6|1.07|27.0|0.032||S: 0.0209 0.0223 O: 0.0632 0.0630
|2021 PH27|v13aug1|CCD|304|||||||2021-08-14T23:08:10.40Z|177.341962|-2.673576|0.035|0.033||Gaia2|19.213|0.051|G|Gaia2|1.2|1.33|30.0|0.049||S: 0.0179 0.0149 O: 0.0298 0.0297
|2021 PH27|v13aug1|CCD|807||||||0p|2021-08-14T23:08:48.53Z|177.342260|-2.673781|0.074|0.075||Gaia2|19.26|0.09|G|Gaia2|1.6|1.06|25.0|0.038||S: 0.0079 0.0105 O: 0.0736 0.0738
|2021 PH27|v13aug1|CCD|807||||||0p|2021-08-14T23:09:44.68Z|177.342668|-2.674117|0.054|0.054||Gaia2|19.343|0.080|G|Gaia2|1.5|1.13|30.0|0.049||S: 0.0100 0.0133 O: 0.0526 0.0527
|2021 PH27|v13aug1|CCD|304|||||||2021-08-14T23:10:25.50Z|177.342925|-2.674386|0.043|0.042||Gaia2|19.290|0.053|G|Gaia2|1.3|1.31|30.0|0.048||S: 0.0161 0.0148 O: 0.0397 0.0396
|2021 PH27|v13aug1|CCD|304|||||||2021-08-14T23:12:25.20Z|177.343824|-2.675114|0.033|0.034||Gaia2|19.212|0.043|G|Gaia2|1.3|1.40|30.0|0.050||S: 0.0143 0.0166 O: 0.0298 0.0297
|2021 PH27|v13aug1|CCD|807||||||0p|2021-08-14T23:12:39.74Z|177.343918|-2.675150|0.077|0.078||Gaia2|19.177|0.084|G|Gaia2|2.0|1.11|30.0|0.043||S: 0.0105 0.0133 O: 0.0762 0.0764
|2021 PH27|v13aug1|CCD|304|||||||2021-08-14T23:14:30.80Z|177.3447406|-2.6758679|0.030|0.028||Gaia2|19.284|0.035|G|Gaia2|1.2|1.49|30.0|0.042||S: 0.0145 0.0109 O: 0.0258 0.0257
|2021 PH27|v13aug1|CCD|807||||||0p|2021-08-14T23:15:32.41Z|177.345182|-2.676221|0.074|0.075||Gaia2|19.173|0.078|G|Gaia2|2.0|1.15|30.0|0.041||S: 0.0108 0.0122 O: 0.0736 0.0738
|2021 PH27|v13aug1|CCD|304|||||||2021-08-14T23:16:25.30Z|177.3455862|-2.6765555|0.027|0.026||Gaia2|19.231|0.032|G|Gaia2|1.2|1.53|30.0|0.049||S: 0.0151 0.0137 O: 0.0218 0.0218
|2021 PH27|v13aug1|CCD|K91|||||||2021-08-15T17:06:36.288Z|177.814683|-3.060808||||Gaia2|19.3||G||||||K|
|2021 PH27|v13aug1|CCD|807||||||0p|2021-08-15T23:09:59.49Z|177.972863|-3.190513|0.078|0.077||Gaia2|19.51|0.12|G|Gaia2|1.7|0.97|27.0|0.038||S: 0.0157 0.0125 O: 0.0765 0.0765
|2021 PH27|v13aug1|CCD|807||||||0p|2021-08-15T23:10:55.64Z|177.973256|-3.190811|0.068|0.067||Gaia2|19.52|0.10|G|Gaia2|1.7|1.02|30.0|0.043||S: 0.0152 0.0145 O: 0.0659 0.0659
|2021 PH27|v13aug1|CCD|304|||||||2021-08-15T23:11:22.30Z|177.973426|-3.191047|0.073|0.072||Gaia2|19.76|0.12|G|Gaia2|1.5|0.96|15.0|0.047||S: 0.0232 0.0207 O: 0.0694 0.0693
|2021 PH27|v13aug1|CCD|807||||||0p|2021-08-15T23:11:54.09Z|177.973667|-3.191186|0.047|0.047||Gaia2|19.424|0.081|G|Gaia2|1.6|1.13|33.0|0.042||S: 0.0154 0.0136 O: 0.0448 0.0448
|2021 PH27|v13aug1|CCD|807||||||0p|2021-08-15T23:12:55.06Z|177.974110|-3.191550|0.061|0.059||Gaia2|19.414|0.078|G|Gaia2|1.5|1.14|33.0|0.046||S: 0.0179 0.0121 O: 0.0580 0.0580
|2021 PH27|v13aug1|CCD|304|||||||2021-08-15T23:13:26.00Z|177.974338|-3.191788|0.053|0.052||Gaia2|19.614|0.066|G|Gaia2|1.4|1.22|30.0|0.052||S: 0.0187 0.0147 O: 0.0496 0.0495
|2021 PH27|v13aug1|CCD|807||||||0p|2021-08-15T23:13:56.91Z|177.974586|-3.191932|0.039|0.038||Gaia2|19.416|0.065|G|Gaia2|1.5|1.22|33.0|0.033||S: 0.0116 0.0106 O: 0.0369 0.0369
|2021 PH27|v13aug1|CCD|W85|||||||2021-08-15T23:14:57.062Z|177.974979|-3.192336||||Gaia2|19.4||G||||||K|
|2021 PH27|v13aug1|CCD|807||||||0p|2021-08-15T23:14:59.46Z|177.975011|-3.192292|0.050|0.050||Gaia2|19.471|0.069|G|Gaia2|1.5|1.19|33.0|0.044||S: 0.0145 0.0151 O: 0.0475 0.0475
|2021 PH27|v13aug1|CCD|304|||||||2021-08-15T23:15:20.10Z|177.975147|-3.192456|0.039|0.037||Gaia2|19.550|0.052|G|Gaia2|1.4|1.32|30.0|0.050||S: 0.0157 0.0114 O: 0.0357 0.0357
|2021 PH27|v13aug1|CCD|W87|||||||2021-08-15T23:15:58.579Z|177.975379|-3.192653||||Gaia2|19.7||G||||||K|
|2021 PH27|v13aug1|CCD|807||||||0p|2021-08-15T23:16:02.87Z|177.975450|-3.192674|0.041|0.042||Gaia2|19.397|0.060|G|Gaia2|1.5|1.26|33.0|0.040||S: 0.0115 0.0131 O: 0.0396 0.0396
|2021 PH27|v13aug1|CCD|W84||||||0R|2021-08-15T23:17:04.89Z|177.975909|-3.193049|0.052|0.052||Gaia2|19.427|0.060|G|Gaia2|1.5|1.26|33.0|0.045||S: 0.0136 0.0139 O: 0.0501 0.0501
|2021 PH27|v13aug1|CCD|304|||||||2021-08-15T23:17:13.90Z|177.975978|-3.193130|0.034|0.032||Gaia2|19.460|0.042|G|Gaia2|1.4|1.41|30.0|0.051||S: 0.0163 0.0132 O: 0.0298 0.0297
|2021 PH27|v13aug1|CCD|W85|||||||2021-08-15T23:21:35.971Z|177.977988|-3.194689||||Gaia2|19.7||G||||||K|
|2021 PH27|v13aug1|CCD|W87|||||||2021-08-15T23:22:35.155Z|177.978350|-3.194908||||Gaia2|18.9||G||||||K|
|2021 PH27|v13aug1|CCD|W84||||||0R|2021-08-16T23:09:21.85Z|178.593840|-3.700536|0.046|0.046||Gaia2|19.325|0.060|G|Gaia2|1.8|1.26|156.0|0.036|K|S: 0.0096 0.0080 O: 0.0447 0.0448   From a stack of one 27 sec, one 30 sec, and three 33 sec exposures.  Time corresponds to the first exposure.
|2021 PH27|v13aug1|CCD|W85|||||||2021-08-16T23:15:15.206Z|178.59658|-3.70264||||Gaia2|19.4||G|||||||
|2021 PH27|v13aug1|CCD|W85|||||||2021-08-16T23:16:42.470Z|178.59696|-3.70306||||Gaia2|19.1||G|||||||
|2021 PH27|v13aug1|CCD|W85|||||||2021-08-16T23:18:09.475Z|178.59767|-3.70361||||Gaia2|19.4||G|||||||
|2021 PH27|v13aug1|CCD|Y00|||||||2021-08-17T21:45:21.514Z|179.17075|-4.17614||||Gaia3E|||||||||K|
|2021 PH27|v13aug1|CCD|Y00|||||||2021-08-17T21:49:43.997Z|179.17263|-4.17781||||Gaia3E|20.1||G||||||K|
|2021 PH27|v13aug1|CCD|Q63|||||||2021-08-18T08:33:56.419Z|179.44463|-4.40103||||Gaia2|19.3||G|||||||
|2021 PH27|v13aug1|CCD|Q63|||||||2021-08-18T08:35:22.906Z|179.44529|-4.40147||||Gaia2|19.9||G|||||||
|2021 PH27|v13aug1|CCD|Q63|||||||2021-08-18T08:36:50.429Z|179.44583|-4.40208||||Gaia2|19.1||G|||||||
|2021 PH27|v13aug1|CCD|Q63|||||||2021-08-18T08:38:17.866Z|179.44654|-4.40258||||Gaia2|19.4||G|||||||
|2021 PH27|v13aug1|CCD|Q63|||||||2021-08-18T08:39:44.179Z|179.44708|-4.40300||||Gaia2|19.6||G|||||||
|2021 PH27|v13aug1|CCD|Q62||||||01|2021-08-18T08:42:22.464Z|179.44817|-4.40397||||Gaia2||||||||||
|2021 PH27|v13aug1|CCD|Q62||||||01|2021-08-18T08:49:27.552Z|179.45100|-4.40642||||Gaia2|18.9||G|||||||
|2021 PH27|K21P27H|CMO|L80||||||02|2021-08-30T17:32:43.325Z|186.398021|-10.159247||||Gaia2|18.9||G|||||||
|2021 PH27|K21P27H|CMO|L80||||||02|2021-08-30T17:41:13.517Z|186.401033|-10.161811||||Gaia2|19.3||G|||||||
|2021 PH27|K21P27H|CMO|L80||||||02|2021-09-08T17:48:41.242Z|190.856621|-13.824106||||Gaia2|18.5||G|||||||
|2021 PH27|K21P27H|CCD|C65||||||03|2022-02-18T05:30:19.037Z|300.434200|-9.611758||||Gaia2|19.8||G|||||||
|2021 PH27|K21P27H|CCD|C65||||||03|2022-02-22T05:26:06.058Z|299.495642|-10.949356||||Gaia2|18.6||G|||||||
|2021 PH27|K21P27H|CCD|C65||||||03|2022-02-23T05:13:09.667Z|299.412417|-11.291233||||Gaia2|18.8||G|||||||
|2021 PH27|K21P27H|CCD|G37||||||05|2022-02-25T12:39:43.17Z|299.419058|-12.093492|0.5|0.5||Gaia2|19.0||G||||||K|
|2021 PH27|K21P27H|CCD|G37||||||05|2022-02-25T12:53:32.87Z|299.419512|-12.096825|0.5|0.5||Gaia2|18.9||G||||||K|
|2021 PH27|K21P27H|CCD|G37||||||05|2022-02-25T13:00:19.30Z|299.419821|-12.098608|0.5|0.5||Gaia2|19.1||G||||||K|
|2021 PH27|K21P27H|CCD|G37||||||05|2022-03-09T12:24:01.33Z|303.116025|-16.202222|0.23|0.23||Gaia2|19.4||G||||||K|
|2021 PH27|K21P27H|CCD|G37||||||05|2022-03-09T12:30:56.05Z|303.118571|-16.203861|0.12|0.12||Gaia2|18.7||G||||||K|
|2021 PH27|K21P27H|CCD|G37||||||05|2022-03-09T12:38:45.28Z|303.121371|-16.205672|0.08|0.08||Gaia2|18.6||G||||||K|
|2021 PH27|K21P27H|CCD|G37||||||05|2022-03-09T12:46:14.56Z|303.124075|-16.207406|0.08|0.08||Gaia2|19.4||G||||||K|
|2021 PH27|K21P27H|CCD|E10||||||0H|2022-03-21T18:31:43.13Z|312.230137|-19.935819|0.07|0.05||Gaia2|19.1||G||||||K|
|2021 PH27|K21P27H|CCD|E10||||||0H|2022-03-21T18:43:43.71Z|312.238100|-19.938100|0.07|0.05||Gaia2|19.2||G||||||K|
|2021 PH27|K21P27H|CCD|E10||||||0H|2022-03-21T19:00:02.71Z|312.248921|-19.941206|0.07|0.05||Gaia2|19.1||G||||||K|
|2021 PH27|J99t1Ir|CCD|W84||||||0A|2023-03-05T08:49:12.864Z|298.35562|-24.08944||||Gaia3E|19.3||r|||||||
|2021 PH27|J99t1Ir|CCD|W84||||||0A|2023-03-05T09:00:25.056Z|298.36346|-24.09089||||Gaia3E|19.5||r|||||||
|2021 PH27|J99t1Ir|CCD|W84||||||0A|2023-03-05T09:17:15.072Z|298.37558|-24.09314||||Gaia3E|19.5||r|||||||
|2021 PH27|J9CN1Ip|CCD|W84||||||0A|2023-03-06T08:46:03.648Z|299.39592|-24.26639||||Gaia3E|19.6||g|||||||
|2021 PH27|J9CN1Ip|CCD|W84||||||0A|2023-03-06T08:47:11.040Z|299.39675|-24.26653||||Gaia3E|18.6||r|||||||
|2021 PH27|J9CN1Ip|CCD|W84||||||0A|2023-03-06T08:48:17.568Z|299.39754|-24.26672||||Gaia3E|18.9||i|||||||
