# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                        
2023 CX1   | Sar2667| CCD|K88 |    |2023-02-12T20:18:07.229Z|119.14633  |+35.51367  |     |      |       |  USNOB1|19.4 |      |   R|        |      |      |    |      |     |                                               
2023 CX1   | K23C01X| CCD|K88 |    |2023-02-12T20:25:43.766Z|119.13725  |+35.53067  |     |      |       |   Gaia2|19.6 |      |   G|        |      |      |    |      |C    |                                               
2023 CX1   | K23C01X| CCD|K88 |    |2023-02-12T20:45:13.363Z|119.11054  |+35.57386  |     |      |       |   Gaia2|19.3 |      |   G|        |      |      |    |      |C    |                                               
2023 CX1   | K23C01X| CCD|K88 |    |2023-02-12T20:48:42.624Z|119.10546  |+35.58147  |     |      |       |   Gaia2|19.5 |      |   G|        |      |      |    |      |C    |                                               
2023 CX1   | Sar2667| CCD|K88 |    |2023-02-12T20:50:38.832Z|119.10267  |+35.58603  |     |      |       |   Gaia2|19.3 |      |   R|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|L01 |    |2023-02-12T21:03:30.902Z|119.25146  |+35.68989  |     |      |       |   Gaia2|19.4 |      |   G|        |      |      |    |      |I    |                                               
2023 CX1   | Sar2667| CCD|L01 |    |2023-02-12T21:05:45.254Z|119.24804  |+35.69608  |     |      |       |   Gaia2|19.3 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|L01 |    |2023-02-12T21:07:59.779Z|119.24475  |+35.70222  |     |      |       |   Gaia2|19.3 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|L01 |    |2023-02-12T21:10:14.477Z|119.24129  |+35.70833  |     |      |       |   Gaia2|19.5 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|L01 |    |2023-02-12T21:12:29.002Z|119.23783  |+35.71444  |     |      |       |   Gaia2|19.5 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | K23C01X| CCD|K88 |    |2023-02-12T21:20:18.499Z|119.05346  |+35.65008  |     |      |       |   Gaia2|19.4 |      |   G|        |      |      |    |      |C    |                                               
2023 CX1   | K23C01X| CCD|K88 |    |2023-02-12T21:22:37.949Z|119.04925  |+35.65508  |     |      |       |   Gaia2|19.5 |      |   G|        |      |      |    |      |C    |                                               
2023 CX1   | K23C01X| CCD|K88 |    |2023-02-12T21:24:57.571Z|119.04488  |+35.66028  |     |      |       |   Gaia2|19.4 |      |   G|        |      |      |    |      |C    |                                               
2023 CX1   | K23C01X| CCD|K88 |    |2023-02-12T21:48:04.118Z|119.00025  |+35.70883  |     |      |       |   Gaia2|19.4 |      |   G|        |      |      |    |      |C    |                                               
2023 CX1   | K23C01X| CCD|K88 |    |2023-02-12T21:51:10.051Z|118.99404  |+35.71528  |     |      |       |   Gaia2|19.3 |      |   G|        |      |      |    |      |C    |                                               
2023 CX1   | K23C01X| CCD|958 |    |2023-02-12T21:51:16.4Z  |119.643061 |+35.867903 |0.6  |0.6   |       |  Gaia3E|18.8 |0.5   |   G|  Gaia3E|11.2  |      |1300|      |K    |                                               
2023 CX1   | K23C01X| CCD|K88 |    |2023-02-12T21:54:15.984Z|118.98779  |+35.72156  |     |      |       |   Gaia2|19.3 |      |   G|        |      |      |    |      |C    |                                               
2023 CX1   | Sar2667| CCD|104 |    |2023-02-12T21:58:47.971Z|119.24646  |+35.89111  |     |      |       |   Gaia2|19.2 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|K91 |  00|2023-02-12T22:03:21.34Z |118.812624 |+38.123212 |0.32 |0.35  |       |   Gaia2|19.6 |0.27  |   G|   Gaia2| 4.1  |0.71  |  24|      |K    |                                               
2023 CX1   | Sar2667| CCD|K91 |  00|2023-02-12T22:07:03.32Z |118.795651 |+38.157509 |0.66 |0.67  |       |   Gaia2|18.2 |0.14  |   G|   Gaia2| 4.1  |1.21  |  24|      |K    |                                               
2023 CX1   | Sar2667| CCD|104 |    |2023-02-12T22:07:07.968Z|119.22971  |+35.91717  |     |      |       |   Gaia2|18.4 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|K91 |  00|2023-02-12T22:13:25.46Z |118.765825 |+38.21747  |0.34 |0.37  |       |   Gaia2|19.6 |0.16  |   G|   Gaia2| 4.1  |0.96  |  49|      |K    |                                               
2023 CX1   | K23C01X| CCD|958 |    |2023-02-12T22:14:12.76Z |119.626965 |+35.959172 |0.4  |0.4   |       |  Gaia3E|18.4 |0.14  |   G|   Gaia2| 8.7  |0.94  | 140|      |K    |Replacement of trkID: 00000H7KVn               
2023 CX1   | Sar2667| CCD|104 |    |2023-02-12T22:15:27.965Z|119.21254  |+35.9435   |     |      |       |   Gaia2|19.6 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|A17 |    |2023-02-12T22:15:57.3Z  |119.30491  |+35.73907  |0.12 |0.12  |       |   Gaia2|19   |0.1   |   G|   Gaia2| 6.1  |1.35  | 0.6|0.15  |K    |                                               
2023 CX1   | Sar2667| CCD|203 |    |2023-02-12T22:21:43.891Z|119.26979  |+35.90986  |     |      |       |   Gaia2|18.8 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|A17 |    |2023-02-12T22:24:55.0Z  |119.29592  |+35.76305  |0.15 |0.14  |       |   Gaia2|18.9 |0.12  |   G|   Gaia2| 6.1  |1.14  | 0.2|0.16  |K    |                                               
2023 CX1   | K23C01X| CCD|958 |    |2023-02-12T22:28:42.91Z |119.614363 |+36.019647 |0.17 |0.18  |       |  Gaia3E|18.6 |0.09  |   G|   Gaia2| 8.7  |1.35  | 650|      |K    |Replacement of trkID: 00000H7KVn               
2023 CX1   | Sar2667| CCD|A17 |    |2023-02-12T22:29:25.9Z  |119.29127  |+35.77512  |0.17 |0.16  |       |   Gaia2|18.7 |0.12  |   G|   Gaia2| 6.1  |1.21  | 0.2|0.17  |K    |                                               
2023 CX1   | Sar2667| CCD|203 |    |2023-02-12T22:32:28.090Z|119.25067  |+35.94392  |     |      |       |   Gaia2|18.8 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|K63 |    |2023-02-12T22:33:35.5Z  |119.185159 |+36.00173  |0.3  |0.3   |       |   Gaia2|18.1 |0.1   |   G|   Gaia2| 5.6  |1.18  | 300|0.22  |K    |                                               
2023 CX1   | Sar2667| CCD|K91 |  03|2023-02-12T22:36:15.408Z|118.6524   |+38.447111 |     |      |       |   Gaia2|18.8 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | K23C01X| CCD|K88 |    |2023-02-12T22:38:20.688Z|118.89275  |+35.80958  |     |      |       |   Gaia2|18.8 |      |   G|        |      |      |    |      |C    |                                               
2023 CX1   | Sar2667| CCD|K63 |    |2023-02-12T22:39:16.1Z  |119.172387 |+36.020543 |0.28 |0.26  |       |   Gaia2|18   |0.12  |   G|   Gaia2| 5.6  |1.04  | 315|0.25  |K    |                                               
2023 CX1   | K23C01X| CCD|K88 |    |2023-02-12T22:41:26.707Z|118.88587  |+35.81561  |     |      |       |   Gaia2|18.9 |      |   G|        |      |      |    |      |C    |                                               
2023 CX1   | Sar2667| CCD|203 |    |2023-02-12T22:42:50.256Z|119.23158  |+35.97717  |     |      |       |   Gaia2|18.9 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | Sar2667| CCD|M29 |    |2023-02-12T22:44:14.496Z|119.09513  |+36.02544  |     |      |       |  Gaia3E|17.9 |      |   G|        |      |      |    |      |K    |                                               
2023 CX1   | K23C01X| CCD|K88 |    |2023-02-12T22:44:32.813Z|118.87896  |+35.82153  |     |      |       |   Gaia2|18.9 |      |   G|        |      |      |    |      |C    |                                               
2023 CX1   | Sar2667| CCD|K63 |    |2023-02-12T22:44:36.6Z  |119.160067 |+36.038007 |0.22 |0.21  |       |   Gaia2|18.3 |0.11  |   G|   Gaia2| 5.6  |1.07  | 270|0.22  |K    |                                               
2023 CX1   | Sar2667| CMO|D03 |    |2023-02-12T22:46:50.05Z |119.153999 |+36.029678 |0.39 |0.4   |       |   Gaia2|18.6 |0.19  |   G|   Gaia2| 6.9  |0.83  |  36|      |K    |                                               
2023 CX1   | Sar2667| CCD|M29 |    |2023-02-12T22:51:18.720Z|119.07779  |+36.04736  |     |      |       |  Gaia3E|18.3 |      |   G|        |      |      |    |      |K    |                                               
