# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA  |rmsDec |rmsCorr|  astCat|mag   |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                              
2024 PT5   |        | CCD|M22 |    |2024-07-31T03:03:09.376Z| 73.89577  |-63.20854  |0.49964|0.49964|       |   Gaia3|19.843|0.256 |   o|        |      |      |  30|      |Z    |Photometry measured with B612 ADAM.  
2024 PT5   |        | CCD|M22 |    |2024-07-31T03:07:18.139Z| 73.88016  |-63.22408  |0.46789|0.46789|       |   Gaia3|19.142|0.168 |   o|        |      |      |  30|      |Z    |Photometry measured with B612 ADAM.  
2024 PT5   |        | CCD|M22 |    |2024-07-31T03:15:00.517Z| 73.85249  |-63.25224  |0.50689|0.50689|       |   Gaia3|19.361|0.192 |   o|        |      |      |  30|      |Z    |Photometry measured with B612 ADAM.  
2024 PT5   |        | CCD|W68 |    |2024-08-06T07:33:03.510Z|297.73735  |-71.99319  |1.08609|1.08609|       |   Gaia3|17.93 |0.125 |   c|        |      |      |  30|      |Z    |Photometry measured with B612 ADAM.  
2024 PT5   |        | CCD|W68 |    |2024-08-06T08:54:10.932Z|296.69912  |-71.31282  |0.54449|0.54449|       |   Gaia3|18.808|0.159 |   c|        |      |      |  30|      |Z    |Photometry measured with B612 ADAM.  
2024 PT5   | A119q0V| CCD|M22 |    |2024-08-07T21:11:57.28Z |284.27071  |-55.9334   |0.257  |0.257  |       |   Gaia2|17.13 |0.06  |  Ao|        |      |1.222 |    |      |     |atlas_M22_highsig/T42760829/D70895466
2024 PT5   | A119q0V| CCD|M22 |    |2024-08-07T21:16:35.93Z |284.23358  |-55.89468  |0.238  |0.238  |       |   Gaia2|16.99 |0.055 |  Ao|        |      |1.26  |    |      |     |atlas_M22_highsig/T42760829/D70895467
2024 PT5   | A119q0V| CCD|M22 |    |2024-08-07T21:24:39.72Z |284.16963  |-55.82709  |0.258  |0.258  |       |   Gaia2|17.12 |0.061 |  Ao|        |      |1.215 |    |      |     |atlas_M22_highsig/T42760829/D70895468
2024 PT5   | A119q0V| CCD|M22 |    |2024-08-07T21:40:33.46Z |284.04452  |-55.69218  |0.203  |0.203  |       |   Gaia2|16.73 |0.046 |  Ao|        |      |1.337 |    |      |     |atlas_M22_highsig/T42760829/D70895469
2024 PT5   | A119H5T| CCD|W68 |    |2024-08-12T01:26:54.96Z |273.5202   | -9.41679  |0.405  |0.405  |       |   Gaia2|17.63 |0.104 |  Ao|        |      |0.983 |    |      |     |atlas_W68_highsig/T4658239/D59857868 
2024 PT5   | A119H5T| CCD|W68 |    |2024-08-12T01:33:38.51Z |273.49925  | -9.37343  |0.339  |0.339  |       |   Gaia2|17.36 |0.084 |  Ao|        |      |1.076 |    |      |     |atlas_W68_highsig/T4658239/D59857869 
2024 PT5   | A119H5T| CCD|W68 |    |2024-08-12T01:41:50.30Z |273.4737   | -9.32044  |0.365  |0.365  |       |   Gaia2|17.45 |0.09  |  Ao|        |      |1.046 |    |      |     |atlas_W68_highsig/T4658239/D59857870 
2024 PT5   | A119H5T| CCD|W68 |    |2024-08-12T02:31:24.61Z |273.32095  | -8.99761  |0.368  |0.368  |       |   Gaia2|17.46 |0.092 |  Ao|        |      |1.036 |    |      |     |atlas_W68_highsig/T4658239/D59857872 
2024 PT5   | A119H5Z| CCD|T08 |    |2024-08-12T07:39:22.57Z |273.10527  | -7.52016  |0.321  |0.321  |       |   Gaia2|16.86 |0.076 |  Ao|        |      |1.119 |    |      |     |atlas_T08_full/T10296606/D992704693  
