# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1       |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                            
|2024 YR4||CCD|W68|||||||2024-12-25T07:19:06.86Z|190.949838|-33.958208|1.6|0.7||Gaia3|17.3||G|Gaia3|3.7||30||tF|
|2024 YR4|K24Y04R|CCD|703||||||02|2024-12-26T10:08:08.31Z|142.630296|-7.256044|0.22|0.26||Gaia3|16.0||G|Gaia3|||14||tZ|Replacement of trkID: 00000IVUhz
|2024 YR4||CCD|703||||||02|2024-12-26T10:11:22.55Z|142.591646|-7.227686|0.26|0.25||Gaia3|15.8||G|Gaia3|||14||tZ|Replacement of trkID: 00000IVUhz
|2024 YR4|K24Y04R|CCD|703||||||02|2024-12-26T10:14:36.36Z|142.553292|-7.199506|0.22|0.26||Gaia3|16.3||G|Gaia3|||14||tZ|Replacement of trkID: 00000IVUhz
|2024 YR4||CCD|703||||||02|2024-12-26T10:17:50.78Z|142.514863|-7.171231|0.23|0.28||Gaia3|15.8||G|Gaia3|||14||tZ|Replacement of trkID: 00000IVUhz
|2024 YR4|K24Y04R|CCD|O38|||||||2024-12-26T18:17:17.664Z|138.24096|-3.67881||||Gaia2|16.2||w|||||||
|2024 YR4|K24Y04R|CCD|O38|||||||2024-12-26T18:17:22.934Z|138.24025|-3.67819||||Gaia2|16.0||w|||||||
|2024 YR4|K24Y04R|CCD|O38|||||||2024-12-26T18:17:28.118Z|138.23958|-3.67769||||Gaia2|16.1||w|||||||
|2024 YR4|K24Y04R|CCD|O38|||||||2024-12-26T18:17:33.389Z|138.23883|-3.67719||||Gaia2|16.1||w|||||||
|2024 YR4|K24Y04R|CCD|O38|||||||2024-12-26T18:17:38.659Z|138.23812|-3.67669||||Gaia2|16.0||w|||||||
|2024 YR4|K24Y04R|CCD|O38|||||||2024-12-26T18:17:43.843Z|138.23737|-3.67611||||Gaia2|16.0||w|||||||
|2024 YR4|K24Y04R|CCD|O38|||||||2024-12-26T18:17:49.114Z|138.23671|-3.67569||||Gaia2|16.1||w|||||||
