# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|logSNR|rmsFit|notes
2026 DA    | CE71JU2| CCD|I41 |  00|2026-02-14T11:27:57.906Z|176.669274 | -2.214037 |1    |1     |       |   Gaia1|19.51|      |   r|        |      |      |     
2026 DA    | CE71JU2| CCD|I41 |  00|2026-02-14T11:28:27.934Z|176.660738 | -2.206894 |1    |1     |       |   Gaia1|19.51|      |   r|        |      |      |     
2026 DA    | CE71JU2| CCD|G96 |  01|2026-02-16T07:44:12.701Z|144.044835 |+24.35604  |0.364|0.24  | 0.8182|   Gaia2|19.45|0.279 |   G|   Gaia2|0.772 |0.094 |H    
2026 DA    | CE71JU2| CCD|G96 |  01|2026-02-16T07:51:39.100Z|143.980833 |+24.393722 |     |      |       |   Gaia2|     |      |    |        |      |0.091 |H    
2026 DA    | CE71JU2| CCD|G96 |  01|2026-02-16T07:59:05.846Z|143.918625 |+24.430083 |     |      |       |   Gaia2|     |      |    |        |      |0.101 |H    
2026 DA    | CE71JU2| CCD|G96 |  01|2026-02-16T08:06:33.480Z|143.855835 |+24.4669   |0.405|0.415 | 0     |   Gaia2|19.72|0.32  |   G|   Gaia2|0.631 |0.11  |H    
2026 DA    | CE71JU2| CCD|I52 |  01|2026-02-16T08:22:52.643Z|143.71893  |+24.547    |0.307|0.304 | 0     |   Gaia2|19.49|0.632 |   G|   Gaia2|0.55  |0.087 |Km   
2026 DA    | CE71JU2| CCD|I52 |  01|2026-02-16T08:23:31.505Z|143.713545 |+24.55011  |0.217|0.217 | 0     |   Gaia2|19.51|0.499 |   G|   Gaia2|0.792 |0.069 |Km   
2026 DA    | CE71JU2| CCD|I52 |  01|2026-02-16T08:24:09.923Z|143.708085 |+24.55314  |0.242|0.243 | 0     |   Gaia2|19.69|0.587 |   G|   Gaia2|0.669 |0.074 |Km   
2026 DA    | CE71JU2| CCD|I52 |  01|2026-02-16T08:24:49.616Z|143.702835 |+24.55605  |0.253|0.255 | 0     |   Gaia2|19.32|0.544 |   G|   Gaia2|0.784 |0.077 |Km   
2026 DA    | CE71JU2| CCD|I52 |  01|2026-02-16T10:40:32.568Z|142.60743  |+25.18523  |0.276|0.264 | 0     |   Gaia2|19.5 |0.522 |   G|   Gaia2|0.589 |0.1   |Km   
2026 DA    | CE71JU2| CCD|I52 |  01|2026-02-16T10:41:10.807Z|142.60227  |+25.18803  |0.317|0.311 | 0     |   Gaia2|19.24|0.486 |   G|   Gaia2|0.719 |0.077 |Km   
2026 DA    | CE71JU2| CCD|I52 |  01|2026-02-16T10:41:49.153Z|142.59726  |+25.19081  |0.356|0.345 | 0     |   Gaia2|19.86|0.566 |   G|   Gaia2|0.472 |0.106 |Km   
2026 DA    | CE71JU2| CCD|I52 |  01|2026-02-16T10:42:27.592Z|142.592595 |+25.19342  |0.339|0.328 | 0     |   Gaia2|19.41|0.533 |   G|   Gaia2|0.587 |0.104 |Km   
2026 DA    | CE71JU2| CCD|I52 |  01|2026-02-16T11:11:40.019Z|142.367895 |+25.32146  |0.417|0.413 | 0     |   Gaia2|20.56|0.617 |   G|   Gaia2|0.379 |0.099 |Km   
2026 DA    | CE71JU2| CCD|I52 |  01|2026-02-16T11:12:15.272Z|142.36377  |+25.32373  |0.313|0.306 | 0     |   Gaia2|19.5 |0.546 |   G|   Gaia2|0.625 |0.092 |Km   
2026 DA    | CE71JU2| CCD|I52 |  01|2026-02-16T11:12:50.988Z|142.359045 |+25.32645  |0.267|0.255 | 0     |   Gaia2|19.43|0.535 |   G|   Gaia2|0.715 |0.105 |Km   
2026 DA    | CE71JU2| CCD|I52 |  01|2026-02-16T11:13:27.631Z|142.354425 |+25.32928  |0.31 |0.302 | 0     |   Gaia2|19.2 |0.563 |   G|   Gaia2|0.64  |0.097 |Km   
2026 DA    | CE71JU2| CCD|807 |  0W|2026-02-17T03:17:59.140Z|136.428458 |+29.005972 |0.27 |0.27  |       |   Gaia2|20.2 |      |   G|        |      |      |     
2026 DA    | CE71JU2| CCD|807 |  0W|2026-02-17T03:24:17.560Z|136.390833 |+29.024472 |0.29 |0.29  |       |   Gaia2|19.9 |      |   G|        |      |      |     
2026 DA    | CE71JU2| CCD|807 |  0W|2026-02-17T03:30:36.860Z|136.353292 |+29.042917 |0.3  |0.3   |       |   Gaia2|20.2 |      |   G|        |      |      |     
2026 DA    |        | CCD|H21 |    |2026-02-21T03:20:38.717Z|120.319    |+35.93139  |     |      |       |   Gaia2|22.2 |      |   G|        |      |      |     
2026 DA    |        | CCD|H21 |    |2026-02-21T03:24:39.946Z|120.31242  |+35.93342  |     |      |       |   Gaia2|22.6 |      |   G|        |      |      |     
2026 DA    |        | CCD|H21 |    |2026-02-21T03:28:07.910Z|120.30679  |+35.93517  |     |      |       |   Gaia2|22.4 |      |   G|        |      |      |     
