# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA |rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes
2026 FO12  | ST26CB5| CCD|U68 |    |2026-03-24T06:19:33.440Z|204.368297 | -2.728904 |0.5284|0.5284| 0     |   Gaia2|19.51|0.2   |   G|   Gaia2|      |0.79  |    |      |     
2026 FO12  | ST26CB5| CCD|U68 |    |2026-03-24T06:24:22.120Z|204.369039 | -2.697885 |0.5284|0.5284| 0     |   Gaia2|19.51|0.2   |   G|   Gaia2|      |0.79  |    |      |     
2026 FO12  | TF26CJ6| CCD|U74 |    |2026-03-24T06:55:40.020Z|204.371087 | -2.499138 |0.1411|0.1411| 0     |   Gaia2|19.22|0.1   |   G|   Gaia2|      |1.26  |    |      |     
2026 FO12  | TF26CJ6| CCD|U74 |    |2026-03-24T07:00:22.920Z|204.371748 | -2.469001 |0.1411|0.1411| 0     |   Gaia2|19.22|0.1   |   G|   Gaia2|      |1.26  |    |      |     
2026 FO12  | TF26CJ9| CCD|U74 |    |2026-03-24T07:05:02.430Z|204.371814 | -2.439484 |0.1744|0.1744| 0     |   Gaia2|19.6 |0.1   |   G|   Gaia2|      |1.12  |    |      |     
2026 FO12  | TF26CJ9| CCD|U74 |    |2026-03-24T07:09:42.450Z|204.372445 | -2.409907 |0.1744|0.1744| 0     |   Gaia2|19.6 |0.1   |   G|   Gaia2|      |1.12  |    |      |     
2026 FO12  | ST26CB5| CCD|H01 |    |2026-03-24T07:40:13.450Z|204.366121 | -2.214187 |0.095 |0.099 |       |   Gaia3|20.2 |0.18  |   G|   Gaia3| 3.4  |1.17  |   4|      |     
2026 FO12  | ST26CB5| CCD|H01 |    |2026-03-24T07:49:25.190Z|204.366404 | -2.15593  |0.076 |0.14  |       |   Gaia3|19.9 |0.38  |   G|   Gaia3| 3.4  |1.23  |   4|      |     
2026 FO12  | ST26CB5| CCD|H01 |    |2026-03-24T08:01:59.180Z|204.366697 | -2.076305 |0.191 |0.123 |       |   Gaia3|19.1 |0.54  |   G|   Gaia3| 3.4  |1.46  |   4|      |     
2026 FO12  | ST26CB5| CCD|H01 |    |2026-03-24T08:16:48.040Z|204.367034 | -1.982498 |0.124 |0.69  |       |   Gaia3|20.1 |0.4   |   G|   Gaia3| 3.4  |1.15  |   4|      |     
2026 FO12  | ST26CB5| CCD|I52 |  01|2026-03-24T08:35:00.266Z|204.370275 | -1.86635  |0.243 |0.242 | 0     |   Gaia2|19.96|0.497 |   G|   Gaia2|      |0.829 |    |0.082 |m    
2026 FO12  | ST26CB5| CCD|I52 |  01|2026-03-24T08:35:22.850Z|204.370215 | -1.86396  |0.285 |0.284 | 0     |   Gaia2|20.19|0.544 |   G|   Gaia2|      |0.538 |    |0.074 |m    
2026 FO12  | ST26CB5| CCD|I52 |  01|2026-03-24T08:35:44.559Z|204.370065 | -1.86154  |0.224 |0.221 | 0     |   Gaia2|19.48|0.483 |   G|   Gaia2|      |0.719 |    |0.081 |m    
2026 FO12  | ST26CB5| CCD|I52 |  01|2026-03-24T08:36:06.266Z|204.370245 | -1.85938  |0.188 |0.191 |-0.0001|   Gaia2|19.68|0.501 |   G|   Gaia2|      |0.768 |    |0.081 |m    
2026 FO12  | ST26CB5| CCD|474 |    |2026-03-24T13:09:24.800Z|204.43223  | -0.08489  |0.58  |0.58  |       |   Gaia3|19.1 |0.29  |   G|   Gaia3| 5.8  |1.03  | 150|0.28  |K    
2026 FO12  | ST26CB5| CCD|474 |    |2026-03-24T13:12:33.800Z|204.43223  | -0.06555  |0.22  |0.26  |       |   Gaia3|19.2 |0.22  |   G|   Gaia3| 5.8  |1.14  | 150|0.27  |K    
2026 FO12  | ST26CB5| CCD|474 |    |2026-03-24T13:15:42.600Z|204.43252  | -0.04594  |0.54  |0.54  |       |   Gaia3|18.5 |0.2   |   G|   Gaia3| 5.8  |1.23  | 150|0.2   |K    
2026 FO12  | ST26CB5| CCD|474 |    |2026-03-24T13:18:52.500Z|204.43238  | -0.02624  |0.28  |0.31  |       |   Gaia3|19.1 |0.24  |   G|   Gaia3| 5.8  |1.17  | 150|0.27  |K    
2026 FO12  | ST26CB5| CCD|474 |    |2026-03-24T13:22:02.000Z|204.4326   | -0.00681  |0.26  |0.3   |       |   Gaia3|19.3 |0.24  |   G|   Gaia3| 5.8  |1.12  | 150|0.25  |K    
