# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA |rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                      
2026 FQ12  | C464WC1| CCD|703 |  01|2026-03-26T07:10:24.406Z|169.907475 |+39.47251  |0.379 |0.387 | 0     |   Gaia2|16.84|0.208 |   G|   Gaia2|      |1.053 |    |0.196 |H    |                             
2026 FQ12  | C464WC1| CCD|703 |  01|2026-03-26T07:14:00.474Z|169.936335 |+39.36416  |0.379 |0.379 | 0     |   Gaia2|16.95|0.206 |   G|   Gaia2|      |1.022 |    |0.177 |H    |                             
2026 FQ12  | C464WC1| CCD|703 |  01|2026-03-27T06:50:18.770Z|177.47634  | +8.1963   |0.154 |0.162 | 0     |   Gaia2|16.5 |0.183 |   G|   Gaia2|      |1.446 |    |0.159 |     |                             
2026 FQ12  | C464WC1| CCD|703 |  01|2026-03-27T06:53:37.792Z|177.482595 | +8.14816  |0.157 |0.159 | 0     |   Gaia2|16.59|0.187 |   G|   Gaia2|      |1.345 |    |0.14  |     |                             
2026 FQ12  | C464WC1| CCD|703 |  01|2026-03-27T06:56:57.272Z|177.488835 | +8.0999   |0.15  |0.16  | 0     |   Gaia2|16.57|0.186 |   G|   Gaia2|      |1.408 |    |0.157 |     |                             
2026 FQ12  | C464WC1| CCD|703 |  01|2026-03-27T07:00:16.472Z|177.495105 | +8.05185  |      |      |       |   Gaia2|     |      |    |        |      |      |    |0.165 |     |                             
2026 FQ12  | C464WC1| CCD|I52 |  01|2026-03-27T07:37:40.476Z|177.56481  | +7.51567  |0.053 |0.054 | 0     |   Gaia2|16.46|0.457 |   G|   Gaia2|      |1.875 |    |0.07  |m    |                             
2026 FQ12  | C464WC1| CCD|I52 |  01|2026-03-27T07:37:52.195Z|177.56517  | +7.51289  |0.054 |0.048 | 0     |   Gaia2|16.49|0.472 |   G|   Gaia2|      |1.9   |    |0.067 |m    |                             
2026 FQ12  | C464WC1| CCD|I52 |  01|2026-03-27T07:38:03.866Z|177.56553  | +7.51013  |0.053 |0.051 | 0     |   Gaia2|16.44|0.502 |   G|   Gaia2|      |1.87  |    |0.068 |m    |                             
2026 FQ12  | C464WC1| CCD|I52 |  01|2026-03-27T07:38:15.580Z|177.565905 | +7.50736  |0.055 |0.049 | 0     |   Gaia2|16.48|0.502 |   G|   Gaia2|      |1.843 |    |0.069 |m    |                             
2026 FQ12  | C464WC1| CCD|I52 |  01|2026-03-27T09:00:41.283Z|177.718245 | +6.36456  |0.069 |0.061 | 0     |   Gaia2|16.48|0.618 |   G|   Gaia2|      |1.818 |    |0.088 |m    |                             
