# version=2017
 permID|  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                             
     2I|   0002I| CCD|I41 |       |    |          |          |          |    |2018-12-13T11:26:13.920Z| 68.43692  |+63.80489  |     |      |       |   Gaia2|21.2 |      |   R|        |      |      |    |      |K    |                                    
     2I|   0002I| CCD|I41 |       |    |          |          |          |    |2019-02-24T04:21:30.240Z| 62.17746  |+57.41769  |     |      |       |   Gaia2|21   |      |   R|        |      |      |    |      |K    |                                    
     2I|   0002I| CCD|I41 |       |    |          |          |          |    |2019-03-17T03:21:11.808Z| 64.86033  |+55.15197  |     |      |       |   Gaia2|20.46|      |   R|        |      |      |    |      |K    |                                    
     2I|   0002I| CCD|I41 |       |    |          |          |          |    |2019-03-17T04:22:27.264Z| 64.86821  |+55.14836  |     |      |       |   Gaia1|     |      |    |        |      |      |    |      |K    |                                    
     2I|   0002I| CCD|I41 |       |    |          |          |          |    |2019-04-09T03:44:22.848Z| 69.80129  |+52.86711  |     |      |       |   Gaia2|20.42|      |   R|        |      |      |    |      |K    |                                    
     2I|CK19Q040| CCD|I41 |       |    |          |          |          |    |2019-04-09T03:44:23.02Z | 69.801308 |+52.867117 |1    |1     | 0     |   Gaia2|20.42|0.14  |   R|        |      |      |    |      |K    |                                    
     2I|   0002I| CCD|I41 |       |    |          |          |          |    |2019-04-09T04:18:18.432Z| 69.80129  |+52.86711  |     |      |       |   Gaia2|20.4 |      |   R|        |      |      |    |      |K    |                                    
     2I|   0002I| CCD|I41 |       |    |          |          |          |    |2019-05-02T03:43:55.200Z| 76.4285   |+50.76106  |     |      |       |   Gaia1|20.4 |      |   r|        |      |      |    |      |     |                                    
     2I|   0002I| CCD|I41 |       |    |          |          |          |    |2019-05-02T03:50:22.272Z| 76.42971  |+50.76061  |     |      |       |   Gaia1|     |      |    |        |      |      |    |      |     |                                    
     2I|   0002I| CCD|I41 |       |    |          |          |          |    |2019-05-05T03:38:25.152Z| 77.39767  |+50.49247  |     |      |       |   Gaia1|20.6 |      |   r|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-08-30T01:03:19.872Z|126.65758  |+33.66464  |     |      |       |   UCAC4|17.8 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-08-30T01:21:57.024Z|126.66396  |+33.66108  |     |      |       |   UCAC4|17.8 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-08-30T01:37:19.776Z|126.66875  |+33.65842  |     |      |       |   UCAC4|17.7 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-08-31T00:53:43.584Z|127.12383  |+33.40025  |     |      |       |   UCAC4|18.4 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-08-31T00:57:19.584Z|127.12517  |+33.39936  |     |      |       |   UCAC4|18.5 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-08-31T01:39:50.976Z|127.13862  |+33.39197  |     |      |       |   UCAC4|18.4 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-08-31T01:43:13.152Z|127.14008  |+33.39108  |     |      |       |   UCAC4|18.4 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|850 |       |    |          |          |          |    |2019-08-31T09:57:23.040Z|127.30104  |+33.29933  |     |      |       |   UCAC4|17.1 |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|850 |       |    |          |          |          |    |2019-08-31T10:05:06.144Z|127.30296  |+33.29758  |     |      |       |   UCAC4|17   |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|850 |       |    |          |          |          |    |2019-08-31T10:12:36.288Z|127.30612  |+33.29683  |     |      |       |   UCAC4|17.5 |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-01T01:00:06.336Z|127.59517  |+33.12992  |     |      |       |   UCAC4|18.2 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-01T01:04:29.856Z|127.59658  |+33.12917  |     |      |       |   UCAC4|18.2 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-01T01:10:52.608Z|127.59867  |+33.12803  |     |      |       |   UCAC4|18.3 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-01T01:17:14.496Z|127.60071  |+33.12647  |     |      |       |   UCAC4|18.2 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|595 |       |    |          |          |          |    |2019-09-01T02:34:08.256Z|127.62567  |+33.11217  |     |      |       |   Gaia2|18   |      |   G|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|595 |       |    |          |          |          |    |2019-09-01T02:43:08.256Z|127.6285   |+33.11042  |     |      |       |   Gaia2|18.5 |      |   G|        |      |      |    |      |I    |                                    
     2I| gb00234| CCD|595 |       |    |          |          |          |    |2019-09-01T03:03:23.904Z|127.63496  |+33.10689  |     |      |       |   Gaia2|18   |      |   G|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|850 |       |    |          |          |          |    |2019-09-01T10:05:28.608Z|127.77279  |+33.02672  |     |      |       |   UCAC4|18.5 |      |   V|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|850 |       |    |          |          |          |    |2019-09-01T10:09:40.032Z|127.77388  |+33.02553  |     |      |       |   UCAC4|18.5 |      |   V|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|H06 |       |    |          |          |          |  0W|2019-09-01T11:19:39.072Z|127.79675  |+33.01294  |     |      |       |   Gaia2|     |      |    |        |      |      |    |      |     |                                    
     2I| gb00234| CCD|H06 |       |    |          |          |          |  0W|2019-09-01T11:26:07.872Z|127.79892  |+33.01172  |     |      |       |   Gaia2|17.9 |      |   G|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|186 |       |    |          |          |          |  01|2019-09-01T23:09:28.224Z|128.02812  |+32.87822  |     |      |       |   Gaia2|17.8 |      |   G|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|186 |       |    |          |          |          |  01|2019-09-01T23:19:19.200Z|128.0315   |+32.87614  |     |      |       |   Gaia2|18.1 |      |   G|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|186 |       |    |          |          |          |  01|2019-09-01T23:30:04.608Z|128.0345   |+32.87408  |     |      |       |   Gaia2|18   |      |   G|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-02T00:57:53.280Z|128.06375  |+32.85725  |     |      |       |   UCAC4|17.9 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-02T01:04:15.168Z|128.0655   |+32.85594  |     |      |       |   UCAC4|17.9 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-02T01:14:51.936Z|128.06896  |+32.85419  |     |      |       |   UCAC4|17.8 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-02T01:29:40.992Z|128.07396  |+32.85128  |     |      |       |   UCAC4|17.9 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L01 |       |    |          |          |          |    |2019-09-02T02:20:54.413Z|128.09042  |+32.84131  |     |      |       |   Gaia2|18.8 |      |   G|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|L01 |       |    |          |          |          |    |2019-09-02T02:24:17.712Z|128.09154  |+32.84094  |     |      |       |   Gaia2|18.9 |      |   G|        |      |      |    |      |p    |                                    
     2I| gb00234| CCD|L01 |       |    |          |          |          |    |2019-09-02T02:34:31.238Z|128.09479  |+32.83875  |     |      |       |   Gaia2|18.8 |      |   G|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|J95 |       |    |          |          |          |    |2019-09-02T02:59:02.02Z |128.10287  |+32.83401  |0.16 |0.19  |       |   Gaia2|18.9 |0.16  |   G|   Gaia2| 7.5  |1.09  | 592|0.21  |pK   |                                    
     2I| gb00234| CCD|J95 |       |    |          |          |          |    |2019-09-02T03:51:01.29Z |128.11958  |+32.8242   |0.18 |0.17  |       |   Gaia2|18.8 |0.14  |   G|   Gaia2| 7.5  |1.17  | 592|0.18  |K    |                                    
     2I| gb00234| CCD|850 |       |    |          |          |          |    |2019-09-02T09:08:04.704Z|128.22225  |+32.76464  |     |      |       |   UCAC4|18.2 |      |   V|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|850 |       |    |          |          |          |    |2019-09-02T09:26:24.576Z|128.22908  |+32.75961  |     |      |       |   UCAC4|18.7 |      |   V|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-03T01:08:14.496Z|128.53571  |+32.57894  |     |      |       |   UCAC4|18.2 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-03T01:10:21.504Z|128.53658  |+32.57825  |     |      |       |   UCAC4|18.3 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-03T01:18:48.672Z|128.53946  |+32.57669  |     |      |       |   UCAC4|18.3 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|850 |       |    |          |          |          |    |2019-09-03T09:59:51.648Z|128.70908  |+32.47581  |     |      |       |   UCAC4|17.7 |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|850 |       |    |          |          |          |    |2019-09-03T10:13:55.776Z|128.71375  |+32.47311  |     |      |       |   UCAC4|17.7 |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|H06 |       |    |          |          |          |  0W|2019-09-03T11:17:00.960Z|128.73438  |+32.46064  |     |      |       |   Gaia2|     |      |    |        |      |      |    |      |     |                                    
     2I| gb00234| CCD|H06 |       |    |          |          |          |  0W|2019-09-03T11:22:38.784Z|128.73629  |+32.45939  |     |      |       |   Gaia2|17.8 |      |   G|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-04T00:57:37.728Z|129.00162  |+32.30053  |     |      |       |   UCAC4|18   |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-04T01:25:10.560Z|129.01067  |+32.29517  |     |      |       |   UCAC4|18.1 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-04T01:29:24.576Z|129.012    |+32.29419  |     |      |       |   UCAC4|18   |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|C10 |       |    |          |          |          |    |2019-09-04T02:41:47.040Z|129.03537  |+32.27994  |     |      |       |   UCAC4|17.7 |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|C10 |       |    |          |          |          |    |2019-09-04T02:49:58.656Z|129.03817  |+32.27839  |     |      |       |   UCAC4|17.8 |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|A71 |       |    |          |          |          |    |2019-09-04T02:52:20.352Z|129.03879  |+32.27769  |     |      |       |   PPMXL|18.2 |      |   V|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|C10 |       |    |          |          |          |    |2019-09-04T02:58:11.136Z|129.04062  |+32.27689  |     |      |       |   UCAC4|17.9 |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|A71 |       |    |          |          |          |    |2019-09-04T03:01:16.032Z|129.04171  |+32.27631  |     |      |       |   PPMXL|18   |      |   V|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|G40 |       |    |          |          |          |  09|2019-09-04T05:29:39Z    |129.0904   |+32.24706  |0.15 |0.16  |       |   Gaia2|18.2 |0.12  |   G|   Gaia2| 5.7  |1.09  | 350|0.14  |K    |                                    
     2I| gb00234| CCD|G40 |       |    |          |          |          |  09|2019-09-04T05:41:48Z    |129.09415  |+32.24489  |0.42 |0.42  |       |   Gaia2|18.5 |0.14  |   G|   Gaia2| 5.7  |1.05  | 350|0.09  |K    |                                    
     2I| gb00234| CCD|850 |       |    |          |          |          |    |2019-09-04T09:54:51.840Z|129.17675  |+32.19556  |     |      |       |   UCAC4|18.7 |      |   V|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|850 |       |    |          |          |          |    |2019-09-04T10:05:23.424Z|129.18042  |+32.1935   |     |      |       |   UCAC4|18.4 |      |   V|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|850 |       |    |          |          |          |    |2019-09-04T10:15:55.008Z|129.18388  |+32.1915   |     |      |       |   UCAC4|18.2 |      |   V|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|N55 |       |    |          |          |          |    |2019-09-05T22:39:44.928Z|129.89508  |+31.75669  |     |      |       |   UCAC4|18.6 |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|N55 |       |    |          |          |          |    |2019-09-05T22:46:05.088Z|129.89696  |+31.75533  |     |      |       |   UCAC4|18.2 |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|N55 |       |    |          |          |          |    |2019-09-05T22:51:42.912Z|129.89879  |+31.75414  |     |      |       |   UCAC4|18.4 |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-06T01:08:14.496Z|129.94338  |+31.72644  |     |      |       |   UCAC4|18   |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-06T01:12:28.512Z|129.94454  |+31.72553  |     |      |       |   UCAC4|18.1 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-06T01:16:42.528Z|129.94608  |+31.72478  |     |      |       |   UCAC4|18   |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-06T01:20:55.680Z|129.94737  |+31.72389  |     |      |       |   UCAC4|18   |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-06T01:31:30.720Z|129.9505   |+31.72175  |     |      |       |   UCAC4|18.1 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-06T01:35:44.736Z|129.95204  |+31.72108  |     |      |       |   UCAC4|18   |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|850 |       |    |          |          |          |    |2019-09-06T10:01:50.880Z|130.11675  |+31.61917  |     |      |       |   UCAC4|18.3 |      |   V|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|850 |       |    |          |          |          |    |2019-09-06T10:17:36.960Z|130.12229  |+31.61628  |     |      |       |   UCAC4|18.8 |      |   V|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|N55 |       |    |          |          |          |    |2019-09-06T22:55:43.968Z|130.36925  |+31.46194  |     |      |       |   UCAC4|17.5 |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|N55 |       |    |          |          |          |    |2019-09-06T23:06:28.512Z|130.37275  |+31.45983  |     |      |       |   UCAC4|17.5 |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|N55 |       |    |          |          |          |    |2019-09-06T23:15:19.008Z|130.37571  |+31.45781  |     |      |       |   UCAC4|18.4 |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|N55 |       |    |          |          |          |    |2019-09-07T23:10:51.168Z|130.84292  |+31.16356  |     |      |       |   UCAC4|17.9 |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|N55 |       |    |          |          |          |    |2019-09-07T23:18:16.128Z|130.84533  |+31.16208  |     |      |       |   UCAC4|17.3 |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-08T01:23:54.528Z|130.88604  |+31.13614  |     |      |       |   UCAC4|18   |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-08T01:30:20.736Z|130.88817  |+31.13464  |     |      |       |   UCAC4|18.1 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-08T01:36:40.896Z|130.89029  |+31.13344  |     |      |       |   UCAC4|18   |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-08T01:43:01.920Z|130.89233  |+31.13214  |     |      |       |   UCAC4|18   |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|J95 |       |    |          |          |          |    |2019-09-08T03:01:44.28Z |130.91779  |+31.11575  |0.17 |0.17  |       |   Gaia2|18.7 |0.15  |   G|   Gaia2| 7.6  |1.25  | 400|0.21  |K    |                                    
     2I| gb00234| CCD|J95 |       |    |          |          |          |    |2019-09-08T03:09:17.66Z |130.92018  |+31.11408  |0.19 |0.2   |       |   Gaia2|18.5 |0.14  |   G|   Gaia2| 7.6  |1.24  | 400|0.24  |K    |                                    
     2I| gb00234| CCD|J95 |       |    |          |          |          |    |2019-09-08T03:16:52.96Z |130.92273  |+31.1126   |0.18 |0.19  |       |   Gaia2|18.7 |0.19  |   G|   Gaia2| 7.6  |1.12  | 400|0.22  |K    |                                    
     2I| gb00234| CCD|J95 |       |    |          |          |          |    |2019-09-08T03:24:28.86Z |130.92512  |+31.11108  |0.19 |0.18  |       |   Gaia2|18.1 |0.17  |   G|   Gaia2| 7.6  |1.48  | 400|0.24  |K    |                                    
     2I| gb00234| CCD|850 |       |    |          |          |          |    |2019-09-08T09:58:28.704Z|131.05362  |+31.02964  |     |      |       |   UCAC4|17.3 |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|850 |       |    |          |          |          |    |2019-09-08T10:07:21.792Z|131.05646  |+31.02769  |     |      |       |   UCAC4|17.1 |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|850 |       |    |          |          |          |    |2019-09-08T10:16:10.560Z|131.05933  |+31.02594  |     |      |       |   UCAC4|17.2 |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|568 |       |    |          |          |          |  0T|2019-09-08T15:08:07.469Z|131.154604 |+30.96515  |     |      |       |   Gaia2|19.4 |      |   G|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|N55 |       |    |          |          |          |    |2019-09-08T22:53:03.264Z|131.306    |+30.86797  |     |      |       |   UCAC4|18.4 |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|N55 |       |    |          |          |          |    |2019-09-08T22:54:48.672Z|131.30667  |+30.86772  |     |      |       |   UCAC4|17.6 |      |   R|        |      |      |    |      |K    |                                    
     2I| gb00234| CCD|121 |       |    |          |          |          |  03|2019-09-09T01:04:33.053Z|131.348479 |+30.840306 |     |      |       |   Gaia2|18.6 |      |   G|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-09T01:08:49.920Z|131.35     |+30.83983  |     |      |       |   UCAC4|17.8 |      |   R|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|121 |       |    |          |          |          |  03|2019-09-09T01:14:17.117Z|131.351642 |+30.838394 |     |      |       |   Gaia2|18.6 |      |   G|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|121 |       |    |          |          |          |  03|2019-09-09T01:24:57.082Z|131.355137 |+30.836094 |     |      |       |   Gaia2|19.1 |      |   G|        |      |      |    |      |     |                                    
     2I| gb00234| CCD|L51 |       |    |          |          |          |    |2019-09-09T01:28:21.504Z|131.35613  |+30.83539  |     |      |       |   UCAC4|17.9 |      |   R|        |      |      |    |      |     |                                    
