# version=2017
 permID|  trkSub|mode|stn |sys    | ctr|pos1       |pos2       |pos3       |prog|obsTime                 | ra        |dec        |rmsRA |rmsDec|rmsCorr|  astCat|mag   |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                            
     2P|        | UNK|695 |       |    |           |           |           |    |1972-08-15T06:47:30.336Z|345.875    | -4.567    |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|695 |       |    |           |           |           |    |1972-08-15T08:35:00.096Z|345.86     | -4.572    |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|801 |       |    |           |           |           |    |1972-09-05T04:56:32.352Z|340.94121  | -6.27886  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|695 |       |    |           |           |           |    |1972-09-13T05:17:59.712Z|339.01908  | -6.95094  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|695 |       |    |           |           |           |    |1972-09-13T07:00:59.904Z|339.00238  | -6.95667  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|695 |       |    |           |           |           |    |1973-09-21T05:24:19.872Z|  1.07262  | +9.86328  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|695 |       |    |           |           |           |    |1973-09-21T06:01:35.040Z|  1.063    | +9.86039  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|695 |       |    |           |           |           |    |1973-10-22T05:19:45.120Z|349.89658  | +5.67944  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|695 |       |    |           |           |           |    |1973-10-22T06:22:20.064Z|349.88283  | +5.67339  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|801 |       |    |           |           |           |    |1973-10-24T04:47:29.760Z|349.29133  | +5.4015   |      |      |       |     UNK|20.2  |      |   B|        |      |      |    |      |     |                                                   
     2P|        | UNK|474 |       |    |           |           |           |    |1974-05-30T17:15:44.064Z| 31.22321  |-12.83972  |      |      |       |     UNK| 8.8  |      |   B|        |      |      |    |      |     |                                                   
     2P|        | UNK|485 |       |    |           |           |           |    |1974-07-20T10:23:39.840Z|302.9055   |-40.73386  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|485 |       |    |           |           |           |    |1974-07-20T10:23:59.712Z|302.90558  |-40.73414  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|695 |       |    |           |           |           |    |1974-09-12T03:09:59.616Z|286.19754  |-30.08772  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|695 |       |    |           |           |           |    |1974-09-12T04:13:33.312Z|286.20179  |-30.08211  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|801 |       |    |           |           |           |    |1975-09-01T04:15:31.680Z|336.36254  | -9.67656  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|695 |       |    |           |           |           |    |1975-09-12T05:16:23.808Z|333.66771  |-10.54761  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|695 |       |    |           |           |           |    |1975-09-12T06:20:26.016Z|333.65713  |-10.55075  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|695 |       |    |           |           |           |    |1976-09-20T05:15:00.000Z|351.55929  | +2.53008  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|695 |       |    |           |           |           |    |1976-09-20T06:15:00.288Z|351.54729  | +2.52564  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|688 |       |    |           |           |           |    |1977-07-14T10:39:59.616Z| 85.088    |+29.478    |      |      |       |     UNK|13    |      |   B|        |      |      |    |      |     |                                                   
     2P|        | UNK|372 |       |    |           |           |           |    |1977-07-14T18:20:59.712Z| 85.596    |+29.477    |      |      |       |     UNK|12.5  |      |   B|        |      |      |    |      |     |                                                   
     2P|        | UNK|372 |       |    |           |           |           |    |1977-07-14T18:53:00.384Z| 85.61479  |+29.47489  |      |      |       |     UNK|13    |      |   B|        |      |      |    |      |     |                                                   
     2P|        | UNK|688 |       |    |           |           |           |    |1977-07-20T11:01:59.808Z| 94.91421  |+29.07661  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|323 |       |    |           |           |           |    |1977-08-30T10:56:00.384Z|177.28062  | -3.75928  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|323 |       |    |           |           |           |    |1977-08-30T11:10:59.808Z|177.3      | -3.77025  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|323 |       |    |           |           |           |    |1977-08-31T10:56:00.384Z|179.14375  | -4.82711  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|323 |       |    |           |           |           |    |1977-08-31T11:07:09.120Z|179.15808  | -4.83575  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
