# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1       |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                            
3I||aa|CCD|C57|ICRF_KM|399.0|-129676.05305817457|-109544.63501472757|42834.5307802831||2025-05-08T12:25:25.71Z|288.148293|-18.705931|5|1.9|0.2|Gaia2|21.575|0.299|V|||0.647|180018.0|||
3I||aa|CCD|C57|ICRF_KM|399.0|-36109.02179374323|-211212.9928971484|-157741.99003886493||2025-05-10T14:29:03.71Z|287.862892|-18.689362|5|1.9|0.2|Gaia2|21.638|0.307|V|||0.621|180017.3|||
3I||aa|CCD|C57|ICRF_KM|399.0|98704.6581644821|-159596.3159985653|-261722.58271591057||2025-05-12T16:32:40.82Z|287.549061|-18.680432|5|1.9|0.2|Gaia2|21.823|0.348|V|||0.547|180016.6|||
3I||aa|CCD|C57|ICRF_KM|399.0|203220.14114752132|-29403.14817652981|-257847.59377513322||2025-05-14T23:46:18.75Z|287.177379|-18.678503|5|1.9|0.2|Gaia2|21.388|0.257|V|||0.722|198617.5|||
3I|||CCD|I41|||||||2025-05-15T10:06:29.453Z|287.117692|-18.694300|2.14|2.41||Gaia1|19.22||r|||||||
3I||aa|CCD|C57|ICRF_KM|399.0|219938.04620327445|100272.27037255476|-155025.01162682267||2025-05-17T01:49:54.21Z|286.82096|-18.681145|5|1.9|0.2|Gaia2|20.811|0.162|V|||0.952|180015.3|||
3I||aa|CCD|C57|ICRF_KM|399.0|-113892.55968790875|-29643.310998039855|100906.96709025888||2025-05-21T08:47:03.69Z|286.046352|-18.701293|2|0.9|0.2|Gaia2|20.796|0.212|V|||0.958|122810.7|||
3I|||CCD|I41|||||||2025-05-22T08:58:16.341Z|285.832295|-18.699670|1.77|1.22||Gaia1|20.52||g|||||||
3I|||CCD|I41|||||||2025-05-22T09:31:41.303Z|285.827080|-18.699791|0.77|0.83||Gaia1|20.10||r|||||||
3I||aa|CCD|C57|ICRF_KM|399.0|-123708.74625750937|-160690.78106039026|-11081.372978483154||2025-05-22T13:43:52.93Z|285.804378|-18.698238|2|0.9|0.2|Gaia2|20.519|0.143|V|||1.069|104008.9|||
3I||aa|CCD|C57|ICRF_KM|399.0|-66326.50597095603|-213731.56128156596|-126076.84571141878||2025-05-23T18:40:41.88Z|285.547152|-18.693986|2|0.9|0.2|Gaia2|20.489|0.146|V|||1.081|104008.6|||
3I||aa|CCD|C57|ICRF_KM|399.0|9921.7480566635|-211457.34467206636|-210679.56254936935||2025-05-24T23:37:30.44Z|285.278422|-18.691015|2|0.9|0.2|Gaia2|20.501|0.143|V|||1.076|104008.2|||
3I||aa|CCD|C57|ICRF_KM|399.0|84909.14185603875|-174430.0668771098|-261332.45939962534||2025-05-26T04:34:18.63Z|284.999864|-18.689877|2|0.9|0.2|Gaia2|20.392|0.137|V|||1.12|104007.9|||
3I|||CCD|I41|||||||2025-05-27T09:03:14.285Z|284.724927|-18.709619|3.00|1.84||Gaia1|20.40||r|||||||
3I||aa|CCD|C57|ICRF_KM|399.0|149098.6778532381|-115522.68251132652|-279190.0523688451||2025-05-27T09:31:06.46Z|284.712186|-18.690688|2|0.9|0.2|Gaia2|20.135|0.106|V|||1.222|123409.0|||
3I||aa|CCD|C57|ICRF_KM|399.0|202499.34017629054|-29742.565854544056|-259432.57262986246||2025-05-28T19:49:35.30Z|284.359991|-18.694215|2|0.9|0.2|Gaia2|19.924|0.095|V|||1.307|103807.3|||
