# version=2017
 permID|  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|  astCat|mag   |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                                                 
    46P|        | UNK|695 |       |    |          |          |          |    |1974-12-20T12:18:25.056Z|201.67     | +3.383    |     |      |     UNK|21.5  |      |   B|        |      |      |    |      |     |                                                                        
    46P|        | UNK|695 |       |    |          |          |          |    |1975-02-06T10:32:09.600Z|210.855    | +3.5      |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | UNK|695 |       |    |          |          |          |    |1975-02-06T12:12:35.136Z|210.858    | +3.505    |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|WIRTANEN| PHO|474 |       |    |          |          |          |    |1985-11-13T10:26:11.904Z|318.90929  |-28.98917  |     |      |     UNK|19    |      |   B|        |      |      |    |      |     |                                                                        
    46P|WIRTANEN| PHO|474 |       |    |          |          |          |    |1985-11-13T11:37:52.032Z|318.9245   |-28.98078  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|   1985Q| PHO|474 |       |    |          |          |          |    |1985-12-09T10:26:02.400Z|328.77983  |-24.07358  |     |      |     UNK|18    |      |   B|        |      |      |    |      |     |                                                                        
    46P|   1985Q| PHO|474 |       |    |          |          |          |    |1985-12-09T11:13:12.000Z|328.79342  |-24.06556  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|   1985Q| PHO|474 |       |    |          |          |          |    |1985-12-10T10:23:32.064Z|329.23546  |-23.84819  |     |      |     UNK|18    |      |   B|        |      |      |    |      |     |                                                                        
    46P| /1986VI| PHO|056 |       |    |          |          |          |    |1986-03-17T18:11:14.784Z| 36.92725  |+13.80386  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P| /1986VI| PHO|056 |       |    |          |          |          |    |1986-03-17T18:27:00.000Z| 36.93804  |+13.80911  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | UNK|984 |       |    |          |          |          |    |1986-03-31T21:05:59.424Z| 51.25425  |+20.15103  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | UNK|984 |       |    |          |          |          |    |1986-04-01T20:51:59.616Z| 52.30754  |+20.55719  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | UNK|372 |       |    |          |          |          |    |1991-07-08T18:23:59.424Z| 48.6817   | +8.2511   |     |      |     UNK|17    |      |   B|        |      |      |    |      |     |                                                                        
    46P|        | UNK|372 |       |    |          |          |          |    |1991-07-08T18:36:00.000Z| 48.6879   | +8.2519   |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | UNK|372 |       |    |          |          |          |    |1991-07-08T18:49:59.808Z| 48.6967   | +8.2544   |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | UNK|372 |       |    |          |          |          |    |1991-07-08T18:58:30.432Z| 48.7008   | +8.255    |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | UNK|372 |       |    |          |          |          |    |1991-07-09T18:39:29.952Z| 49.55567  | +8.51417  |     |      |     UNK|17    |      |   B|        |      |      |    |      |     |                                                                        
    46P|        | UNK|372 |       |    |          |          |          |    |1991-07-09T18:47:59.712Z| 49.56175  | +8.51617  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | UNK|657 |       |    |          |          |          |    |1991-08-16T10:53:45.600Z| 87.38892  |+16.94731  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | UNK|657 |       |    |          |          |          |    |1991-08-16T10:55:55.200Z| 87.3905   |+16.94806  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | UNK|657 |       |    |          |          |          |    |1991-09-05T11:18:04.032Z|110.39162  |+18.74156  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | UNK|657 |       |    |          |          |          |    |1991-09-05T11:19:52.896Z|110.39308  |+18.74156  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | UNK|056 |       |    |          |          |          |    |1991-10-05T02:26:00.096Z|142.87729  |+16.71669  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | UNK|056 |       |    |          |          |          |    |1991-10-05T02:57:59.904Z|142.89958  |+16.71292  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | UNK|056 |       |    |          |          |          |    |1991-10-08T03:11:59.712Z|145.89175  |+16.26928  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | UNK|056 |       |    |          |          |          |    |1991-10-17T02:26:59.712Z|154.38142  |+14.80475  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | UNK|056 |       |    |          |          |          |    |1991-10-17T03:29:59.712Z|154.4215   |+14.79761  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | UNK|900 |       |    |          |          |          |    |1991-11-09T19:03:35.424Z|173.70454  |+10.57417  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | UNK|900 |       |    |          |          |          |    |1991-11-09T19:15:10.080Z|173.70629  |+10.57175  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|411 |       |    |          |          |          |    |1991-11-10T19:30:12.096Z|174.43621  |+10.39767  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|411 |       |    |          |          |          |    |1991-11-10T19:33:12.672Z|174.43604  |+10.39681  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|411 |       |    |          |          |          |    |1991-12-06T20:07:43.680Z|190.62387  | +6.58503  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1995-06-26T05:33:36.288Z|279.99725  |-27.23553  |     |      |     UNK|24.2  |      |   R|        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-03-20T09:23:55.104Z|315.36625  |-23.24389  |     |      |     UNK|23.7  |      |   R|        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-04-25T07:48:56.160Z|324.91979  |-21.85908  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-04-25T09:17:36.672Z|324.9342   |-21.8581   |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-04-25T09:31:02.784Z|324.93608  |-21.85742  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-04-25T09:40:14.880Z|324.93767  |-21.85725  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-04-25T09:51:54.720Z|324.93937  |-21.857    |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-05-11T08:39:09.792Z|328.45417  |-21.60314  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-05-11T09:01:39.360Z|328.45713  |-21.60311  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-05-11T09:28:47.136Z|328.46092  |-21.60306  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-05-11T09:49:08.832Z|328.46362  |-21.60306  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-05-12T08:17:19.104Z|328.65137  |-21.59869  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-05-12T08:45:05.760Z|328.65525  |-21.59869  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-05-12T09:12:14.400Z|328.65892  |-21.59861  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-05-12T09:42:40.896Z|328.66304  |-21.59856  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-05-13T09:04:34.752Z|328.85563  |-21.59567  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-05-13T09:34:30.144Z|328.85954  |-21.59567  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-05-13T10:01:38.784Z|328.86317  |-21.59567  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-05-13T10:22:55.776Z|328.866    |-21.59569  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|568 |       |    |          |          |          |    |1996-06-13T11:40:50.016Z|333.36179  |-22.45867  |     |      |     UNK|21.3  |      |   R|        |      |      |    |      |     |                                                                        
    46P|        | CCD|568 |       |    |          |          |          |    |1996-06-13T11:53:25.152Z|333.3625   |-22.45914  |     |      |     UNK|21.6  |      |   R|        |      |      |    |      |     |                                                                        
    46P|        | CCD|568 |       |    |          |          |          |    |1996-06-13T14:09:23.904Z|333.36979  |-22.46531  |     |      |     UNK|21    |      |   R|        |      |      |    |      |     |                                                                        
    46P|        | CCD|568 |       |    |          |          |          |    |1996-06-13T14:21:45.216Z|333.3705   |-22.46592  |     |      |     UNK|21.5  |      |   R|        |      |      |    |      |     |                                                                        
    46P|        | CCD|568 |       |    |          |          |          |    |1996-06-14T12:03:44.640Z|333.44329  |-22.52406  |     |      |     UNK|21.2  |      |   R|        |      |      |    |      |     |                                                                        
    46P|        | CCD|568 |       |    |          |          |          |    |1996-06-14T12:15:41.760Z|333.444    |-22.52464  |     |      |     UNK|21.3  |      |   R|        |      |      |    |      |     |                                                                        
    46P|   0046P| CCD|675 |       |    |          |          |          |    |1996-06-15T09:53:48.768Z|333.51196  |-22.58531  |     |      |     UNK|20.9  |      |   R|        |      |      |    |      |     |                                                                        
    46P|   0046P| CCD|675 |       |    |          |          |          |    |1996-06-15T10:15:16.992Z|333.513    |-22.58633  |     |      |     UNK|21.4  |      |   R|        |      |      |    |      |     |                                                                        
    46P|   0046P| CCD|675 |       |    |          |          |          |    |1996-06-15T10:37:29.280Z|333.51404  |-22.58742  |     |      |     UNK|21.2  |      |   R|        |      |      |    |      |     |                                                                        
    46P|   0046P| CCD|675 |       |    |          |          |          |    |1996-06-15T11:06:53.568Z|333.51542  |-22.58883  |     |      |     UNK|21    |      |   R|        |      |      |    |      |     |                                                                        
    46P|   0046P| CCD|675 |       |    |          |          |          |    |1996-06-15T11:29:22.272Z|333.5165   |-22.58994  |     |      |     UNK|21    |      |   R|        |      |      |    |      |     |                                                                        
    46P|   0046P| CCD|675 |       |    |          |          |          |    |1996-06-16T09:46:23.808Z|333.5825   |-22.65436  |     |      |     UNK|21.2  |      |   R|        |      |      |    |      |     |                                                                        
    46P|   0046P| CCD|675 |       |    |          |          |          |    |1996-06-16T10:08:28.320Z|333.58354  |-22.65547  |     |      |     UNK|21.2  |      |   R|        |      |      |    |      |     |                                                                        
    46P|   0046P| CCD|675 |       |    |          |          |          |    |1996-06-16T10:32:53.664Z|333.58458  |-22.65669  |     |      |     UNK|21.2  |      |   R|        |      |      |    |      |     |                                                                        
    46P|   0046P| CCD|675 |       |    |          |          |          |    |1996-06-17T09:55:22.080Z|333.64867  |-22.72694  |     |      |     UNK|21    |      |   R|        |      |      |    |      |     |                                                                        
    46P|   0046P| CCD|675 |       |    |          |          |          |    |1996-06-17T10:21:01.728Z|333.64971  |-22.72828  |     |      |     UNK|21.3  |      |   R|        |      |      |    |      |     |                                                                        
    46P|   0046P| CCD|675 |       |    |          |          |          |    |1996-06-17T10:46:26.688Z|333.65075  |-22.72964  |     |      |     UNK|20.9  |      |   R|        |      |      |    |      |     |                                                                        
    46P|   0046P| CCD|675 |       |    |          |          |          |    |1996-06-17T11:12:32.256Z|333.65179  |-22.73097  |     |      |     UNK|21.1  |      |   R|        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-06-18T08:08:38.112Z|333.70492  |-22.79533  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-06-18T08:42:38.880Z|333.70617  |-22.79694  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-06-18T09:25:07.680Z|333.70742  |-22.79914  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-06-19T05:27:36.864Z|333.7555   |-22.86381  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-06-19T06:03:31.680Z|333.75679  |-22.86578  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-06-19T07:00:14.112Z|333.7585   |-22.86892  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-07-09T08:00:44.640Z|333.65733  |-24.99842  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
