# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                              
    67P|P/1975 P1  |        | UNK|695 |       |    |          |          |          |    |1975-08-08T08:07:23.808Z|312.967    |-29.015    |     |      |       |     UNK|19.5 |      |   B|        |      |      |    |      |     |                                     
    67P|P/1975 P1  |        | UNK|695 |       |    |          |          |          |    |1975-09-09T05:43:49.728Z|304.95662  |-30.22522  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                     
    67P|P/1975 P1  |        | UNK|695 |       |    |          |          |          |    |1975-10-06T03:43:30.144Z|303.39429  |-29.11928  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                     
    67P|P/1975 P1  |        | UNK|695 |       |    |          |          |          |    |1975-10-06T04:16:09.696Z|303.39542  |-29.11767  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                     
    67P|P/1975 P1  |        | UNK|695 |       |    |          |          |          |    |1975-11-01T01:59:59.712Z|307.55679  |-26.77     |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                     
    67P|P/1975 P1  |        | UNK|695 |       |    |          |          |          |    |1975-11-01T02:43:24.672Z|307.56425  |-26.76683  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                     
    67P|P/1975 P1  |        | UNK|693 |       |    |          |          |          |    |1975-12-07T01:59:59.712Z|320.42738  |-21.53053  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                     
    67P|           |        | UNK|675 |       |    |          |          |          |    |1982-05-31T10:55:05.088Z|358.82579  | -8.03206  |     |      |       |     UNK|19   |      |   B|        |      |      |    |      |     |                                     
    67P|           |        | UNK|675 |       |    |          |          |          |    |1982-06-01T10:55:05.088Z|359.26604  | -7.87017  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                     
    67P|           |        | UNK|707 |       |    |          |          |          |    |1982-07-20T09:27:59.616Z| 22.15679  | +0.32147  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                     
    67P|           |        | UNK|801 |       |    |          |          |          |    |1982-07-24T07:55:05.952Z| 24.15513  | +1.00419  |     |      |       |      AC|     |      |    |        |      |      |    |      |     |                                     
    67P|           |        | UNK|801 |       |    |          |          |          |    |1982-08-26T06:35:21.120Z| 42.305    | +7.013    |     |      |       |      AC|     |      |    |        |      |      |    |      |     |                                     
    67P|           |        | UNK|801 |       |    |          |          |          |    |1982-09-15T08:14:15.072Z| 54.93433  |+11.19817  |     |      |       |      AC|     |      |    |        |      |      |    |      |     |                                     
    67P|           |        | UNK|489 |       |    |          |          |          |    |1982-09-22T00:29:59.712Z| 59.43925  |+12.74503  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                     
    67P|           |        | UNK|489 |       |    |          |          |          |    |1982-09-22T00:45:00.000Z| 59.44629  |+12.74675  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                     
    67P|           |        | UNK|707 |       |    |          |          |          |    |1982-09-22T06:26:00.384Z| 59.60887  |+12.80444  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                     
    67P|           |        | UNK|688 |       |    |          |          |          |    |1982-09-22T10:14:00.096Z| 59.715    |+12.84242  |     |      |       |     UNK|14   |      |   B|        |      |      |    |      |     |                                     
    67P|           |        | UNK|688 |       |    |          |          |          |    |1982-09-22T10:54:00.288Z| 59.73367  |+12.84967  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                     
    67P|           |        | UNK|323 |       |    |          |          |          |    |1982-09-24T20:12:59.904Z| 61.38237  |+13.43314  |     |      |       |     UNK|12   |      |   B|        |      |      |    |      |     |                                     
    67P|           |        | UNK|372 |       |    |          |          |          |    |1982-09-26T18:09:06.048Z| 62.7171   |+13.9025   |     |      |       |     UNK|13   |      |   B|        |      |      |    |      |     |                                     
    67P|           |        | UNK|372 |       |    |          |          |          |    |1982-09-26T18:23:30.048Z| 62.7242   |+13.9053   |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                     
