# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1       |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                            
96P|P/1986 J2||UNK|688|||||||1986-05-13T10:32:00.096Z|9.19787|39.47853||||UNK||||||||||
96P|P/1986 J2||UNK|688|||||||1986-05-13T10:54:59.904Z|9.16908|39.48842||||UNK||||||||||
96P|P/1986 J2||UNK|392|||||||1986-05-13T17:18:15.264Z|8.70071|39.65186||||UNK|11.0||B|||||||
96P|P/1986 J2||UNK|392|||||||1986-05-13T17:45:55.008Z|8.66508|39.66372||||UNK||||||||||
96P|P/1986 J2||UNK|372|||||||1986-05-14T17:59:00.384Z|6.83404|40.27883||||UNK|10.7||B|||||||
96P|P/1986 J2||UNK|372|||||||1986-05-14T18:37:45.408Z|6.78463|40.29561||||UNK||||||||||
96P|P/1986 J2||UNK|801|||||||1986-05-15T07:50:00.096Z|5.75117|40.62425||||UNK||||||||||
96P|P/1986 J2||UNK|657|||||||1986-05-15T10:16:35.616Z|5.55925|40.68500||||UNK||||||||||
96P|P/1986 J2||UNK|657|||||||1986-05-15T11:09:29.952Z|5.48850|40.70764||||UNK||||||||||
96P|P/1986 J2||UNK|657|||||||1986-05-16T10:17:36.096Z|3.61058|41.27486||||UNK|14||B|||||||
96P|P/1986 J2||UNK|688|||||||1986-05-16T10:29:00.384Z|3.59425|41.28142||||UNK||||||||||
96P|P/1986 J2||UNK|688|||||||1986-05-16T10:43:59.808Z|3.57079|41.28803||||UNK||||||||||
96P|P/1986 J2||UNK|688|||||||1986-05-17T10:32:59.712Z|1.55075|41.85861||||UNK||||||||||
96P|P/1986 J2||UNK|688|||||||1986-05-17T10:54:14.976Z|1.52058|41.86714||||UNK||||||||||
96P|P/1986 J2||UNK|392|||||||1986-05-17T17:13:30.144Z|0.96796|42.01694||||UNK|11.0||B|||||||
96P|P/1986 J2||UNK|392|||||||1986-05-17T17:23:00.384Z|0.95217|42.01883||||UNK||||||||||
96P|P/1986 J2||UNK|372|||||||1986-05-17T18:21:29.952Z|0.86704|42.04331||||UNK||||||||||
96P|P/1986 J2||UNK|372|||||||1986-05-17T18:27:30.240Z|0.85975|42.04506||||UNK|10.5||B|||||||
96P|P/1986 J2||UNK|372|||||||1986-05-17T18:31:59.808Z|0.85337|42.04750||||UNK||||||||||
96P|P/1986 J2||UNK|026|||||||1986-05-18T01:57:59.616Z|0.19088|42.21947||||UNK||||||||||
96P|P/1986 J2|86E|UNK|688||||||04|1986-05-18T10:12:59.616Z|359.44304|42.41086||||UNK||||||||||
96P|P/1986 J2|86E|UNK|688||||||04|1986-05-18T10:50:00.096Z|359.38625|42.42539||||UNK||||||||||
96P|P/1986 J2|86E|UNK|688||||||04|1986-05-19T10:34:00.192Z|357.16829|42.95997||||UNK||||||||||
96P|P/1986 J2||UNK|657|||||||1986-05-26T08:39:59.904Z|337.98271|45.67017||||UNK||||||||||
96P|P/1986 J2||UNK|372|||||||1986-05-26T18:14:30.048Z|336.66300|45.74431||||UNK|13||B|||||||
96P|P/1986 J2||UNK|372|||||||1986-05-26T18:20:30.336Z|336.65062|45.74603||||UNK||||||||||
96P|P/1986 J2|1986e|UNK|984|||||||1986-05-29T00:08:00.384Z|328.82804|45.82561||||SAO||||||||||
96P|P/1986 J2||UNK|372|||||||1986-05-29T17:31:30.144Z|326.16317|45.73225||||UNK|15||B|||||||
96P|P/1986 J2||UNK|372|||||||1986-05-29T17:37:59.808Z|326.14842|45.73039||||UNK||||||||||
96P|P/1986 J2||UNK|372|||||||1986-05-29T18:04:59.808Z|326.07808|45.72864||||UNK||||||||||
96P|P/1986 J2||UNK|657|||||||1986-05-30T10:06:05.760Z|323.57850|45.58003||||UNK||||||||||
96P|P/1986 J2||UNK|372|||||||1986-05-31T15:56:59.712Z|318.83025|45.14536||||UNK|15||B|||||||
96P|P/1986 J2||UNK|372|||||||1986-05-31T18:33:00.288Z|318.40800|45.09803||||UNK||||||||||
96P|P/1986 J2||UNK|657|||||||1986-06-02T09:48:05.760Z|312.05700|44.15769||||UNK||||||||||
96P|P/1986 J2||UNK|801|||||||1986-06-03T06:36:47.520Z|308.68904|43.49792||||UNK||||||||||
96P|P/1986 J2|/1986e|UNK|552|||||||1986-06-03T23:21:59.904Z|305.99700|42.88269||||UNK||||||||||
96P|P/1986 J2|/1986e|UNK|552|||||||1986-06-03T23:50:00.384Z|305.92283|42.86603||||UNK||||||||||
96P|P/1986 J2||UNK|801|||||||1986-06-04T07:25:10.560Z|304.71371|42.56578||||UNK||||||||||
96P|P/1986 J2||UNK|801|||||||1986-06-05T05:04:54.336Z|301.30550|41.62367||||UNK||||||||||
96P|P/1986 J2||UNK|691|||||||1986-06-05T07:41:57.984Z|300.89829|41.50328||||UNK||||||||||
96P|P/1986 J2||UNK|691|||||||1986-06-05T07:53:43.008Z|300.86833|41.49406||||UNK||||||||||
96P|P/1986 J2||UNK|691|||||||1986-06-05T08:04:52.608Z|300.83829|41.48569||||UNK||||||||||
96P|P/1986 J2||UNK|691|||||||1986-06-05T08:08:06.144Z|300.83046|41.48286||||UNK||||||||||
96P|P/1986 J2||UNK|707|||||||1986-06-06T07:54:59.904Z|297.19088|40.30611||||UNK||||||||||
96P|P/1986 J2||UNK|691|||||||1986-06-06T09:24:13.248Z|296.96617|40.22958||||UNK||||||||||
96P|P/1986 J2||UNK|691|||||||1986-06-06T09:27:18.144Z|296.95850|40.22722||||UNK||||||||||
96P|P/1986 J2||UNK|707|||||||1986-06-07T07:50:59.712Z|293.65300|39.00139||||UNK||||||||||
96P|P/1986 J2||UNK|372|||||||1986-06-07T18:40:30.432Z|292.09167|38.37564||||UNK|15||B|||||||
96P|P/1986 J2||UNK|801|||||||1986-06-09T06:09:22.464Z|287.22729|36.19106||||UNK||||||||||
96P|P/1986 J2||UNK|399|||||||1986-06-09T14:18:15.264Z|286.15887|35.66503||||UNK||||||||||
96P|P/1986 J2||UNK|801|||||||1986-06-10T06:32:41.280Z|284.08917|34.59414||||UNK||||||||||
96P|P/1986 J2||UNK|046|||||||1986-06-11T00:27:54.432Z|281.89871|33.38447||||UNK|13.5||B|||||||
96P|P/1986 J2||UNK|046|||||||1986-06-11T00:36:54.432Z|281.88013|33.37417||||UNK||||||||||
96P|P/1986 J2||UNK|691|||||||1986-06-11T08:50:30.624Z|280.90738|32.81261||||UNK||||||||||
96P|P/1986 J2||UNK|691|||||||1986-06-11T09:09:20.736Z|280.87000|32.79142||||UNK||||||||||
96P|P/1986 J2||UNK|691|||||||1986-06-11T09:21:48.096Z|280.84754|32.77825||||UNK||||||||||
