# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1       |pos2      |pos3      |prog|obsTime                 | ra           |dec           |rmsRA |rmsDec|rmsCorr|  astCat|mag   |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                             
    588|           |   00588| UNK|095 |       |    |           |          |          |    |1972-09-04T20:10:05.376Z|326.36471     |-10.80533     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    588|           |   00588| UNK|095 |       |    |           |          |          |    |1972-09-08T19:46:00.768Z|325.90554     |-10.90858     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    588|           |   00588| UNK|323 |       |    |           |          |          |    |1973-09-29T17:26:59.712Z|354.22729     | +7.07758     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    588|           |   00588| UNK|323 |       |    |           |          |          |    |1973-09-29T17:53:59.712Z|354.22542     | +7.07689     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    588|           |   00588| UNK|323 |       |    |           |          |          |    |1973-10-01T13:21:00.000Z|354.00038     | +6.99536     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    588|           |   00588| UNK|323 |       |    |           |          |          |    |1973-10-01T13:45:00.288Z|353.99833     | +6.99478     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    588|           |   00588| UNK|095 |       |    |           |          |          |    |1973-10-02T21:08:42.720Z|353.83804     | +6.93408     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    588|           |        | UNK|022 |       |    |           |          |          |    |1975-12-04T22:18:00.288Z| 84.444       |+34.11253     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    588|           |        | UNK|022 |       |    |           |          |          |    |1975-12-04T22:48:00.000Z| 84.44029     |+34.11233     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    588|           |        | UNK|022 |       |    |           |          |          |    |1975-12-29T21:20:30.336Z| 80.19792     |+33.48675     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    588|           |        | UNK|022 |       |    |           |          |          |    |1975-12-29T21:50:51.648Z| 80.1945      |+33.48597     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    588|           |        | UNK|022 |       |    |           |          |          |    |1977-01-13T21:17:38.400Z|134.59938     |+19.2655      |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    588|           |        | UNK|022 |       |    |           |          |          |    |1977-01-13T21:42:23.616Z|134.59713     |+19.26575     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    588|           |        | UNK|022 |       |    |           |          |          |    |1977-01-16T22:06:01.440Z|134.16225     |+19.31597     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    588|           |        | UNK|022 |       |    |           |          |          |    |1977-01-16T23:13:35.328Z|134.15992     |+19.31611     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
