# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1       |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                            
  99942|2004 MN4   | K04M04N| CCD|691 |       |    |           |          |          |    |2004-03-15T02:35:21.696Z| 61.53367  |+16.91794  |     |      |       |  USNOB1|     |      |    |        |      |      |    |      |     |                                                   
  99942|2004 MN4   | K04M04N| CCD|691 |       |    |           |          |          |    |2004-03-15T02:38:57.696Z| 61.53575  |+16.91836  |     |      |       |  USNOB1|     |      |    |        |      |      |    |      |     |                                                   
  99942|2004 MN4   | K04M04N| CCD|691 |       |    |           |          |          |    |2004-03-15T02:58:03.360Z| 61.54896  |+16.92097  |     |      |       |  USNOB1|     |      |    |        |      |      |    |      |     |                                                   
  99942|2004 MN4   | K04M04N| CCD|691 |       |    |           |          |          |    |2004-03-15T03:01:50.592Z| 61.55167  |+16.92158  |     |      |       |  USNOB1|     |      |    |        |      |      |    |      |     |                                                   
  99942|2004 MN4   | K04M04N| CCD|691 |       |    |           |          |          |    |2004-03-15T03:17:36.672Z| 61.56208  |+16.92372  |     |      |       |  USNOB1|     |      |    |        |      |      |    |      |     |                                                   
  99942|2004 MN4   | K04M04N| CCD|691 |       |    |           |          |          |    |2004-03-15T03:21:34.272Z| 61.56492  |+16.92419  |     |      |       |  USNOB1|     |      |    |        |      |      |    |      |     |                                                   
  99942|2004 MN4   |        | UNK|695 |       |    |           |          |          |    |2004-06-19T04:05:00.960Z|146.123575 |+13.314153 |     |      |       |  USNOB1|     |      |    |        |      |      |    |      |     |                                                   
  99942|           |   99942| CCD|695 |       |    |           |          |          |  0G|2004-06-19T04:05:00.960Z|146.123654 |+13.314075 |     |      |       |   2MASS|     |      |    |        |      |      |    |      |     |                                                   
  99942|           |   99942| CCD|695 |       |    |           |          |          |  0G|2004-06-19T04:11:47.990Z|146.127517 |+13.313003 |     |      |       |   2MASS|     |      |    |        |      |      |    |      |     |                                                   
  99942|           |   99942| CCD|695 |       |    |           |          |          |  0G|2004-06-19T04:18:44.006Z|146.131279 |+13.311919 |     |      |       |   2MASS|     |      |    |        |      |      |    |      |     |                                                   
  99942|           |   99942| CCD|695 |       |    |           |          |          |  0G|2004-06-20T03:49:42.010Z|146.921317 |+13.090136 |     |      |       |   2MASS|     |      |    |        |      |      |    |      |     |                                                   
  99942|           |   99942| CCD|695 |       |    |           |          |          |  0G|2004-06-20T03:56:36.989Z|146.925025 |+13.089028 |     |      |       |   2MASS|     |      |    |        |      |      |    |      |     |                                                   
  99942|           |   99942| CCD|695 |       |    |           |          |          |  0G|2004-06-20T04:03:27.043Z|146.928858 |+13.087983 |     |      |       |   2MASS|     |      |    |        |      |      |    |      |     |                                                   
