# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1       |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                            
|C/2023 A3|CK23A030|CCD|F52|||||||2022-04-09T13:52:18.887Z|229.8548372|2.4015734|0.106|0.130||Gaia2|23.04|0.27|G|||0.26|45|||
|C/2023 A3|CK23A030|CCD|F52|||||||2022-04-09T14:08:45.332Z|229.8537351|2.4020467|0.118|0.118||Gaia2|23.27|0.23|G|||0.20|45|||
|C/2023 A3|CK23A030|CCD|F52|||||||2022-04-23T13:37:37.270Z|228.4273309|2.9424585|0.150|0.165||Gaia2|22.97|0.25|G|||-0.13|||K|
|C/2023 A3|CK23A030|CCD|F52|||||||2022-05-26T10:32:51.125Z|224.6254850|3.8243978|0.107|0.115||Gaia2|22.65|0.27|G|||0.26|45|||
|C/2023 A3|CK23A030|CCD|F52|||||||2022-05-26T10:49:34.875Z|224.6241088|3.8245438|0.118|0.120||Gaia2|22.29|0.23|G|||0.21|45|||
|C/2023 A3|CK23A030|CCD|F52|||||||2022-05-26T11:06:18.985Z|224.6227630|3.8247000|0.092|0.093||Gaia2|22.25|0.15|G|||0.32|45|||
|C/2023 A3|CK23A030|CCD|F52|||||||2022-06-02T09:51:00.458Z|223.8406633|3.9104762|0.112|0.058||Gaia2|22.16|0.16|G|||0.40|45|||
|C/2023 A3|CK23A030|CCD|F52|||||||2022-06-02T10:07:33.385Z|223.8394734|3.9105502|0.139|0.112||Gaia2|22.24|0.19|G|||0.29|45|||
|C/2023 A3|CK23A030|CCD|F52|||||||2022-06-02T10:24:04.769Z|223.8381418|3.9107139|0.104|0.099||Gaia2|22.69|0.18|G|||0.34|45|||
|C/2023 A3|CK23A030|CCD|F52|||||||2022-06-02T10:40:29.697Z|223.8368300|3.9107825|0.085|0.084||Gaia2|22.11|0.21|G|||0.48|45|||
|C/2023 A3|CK23A030|CCD|W84||||||0F|2022-06-08T05:13:02.669Z|223.21583|3.95114||||Gaia3|22.8||g|||||||
|C/2023 A3|CK23A030|CCD|W84||||||0F|2022-06-08T05:22:09.926Z|223.21513|3.95117||||Gaia3|21.8||i|||||||
|C/2023 A3|CK23A030|CCD|W84||||||0F|2022-06-09T06:16:28.762Z|223.10692|3.95533||||Gaia3|22.4||g|||||||
|C/2023 A3|CK23A030|CCD|W84||||||0F|2022-06-09T06:23:48.192Z|223.10633|3.95542||||Gaia3|21.7||r|||||||
|C/2023 A3|CK23A030|CCD|F52|||||||2022-06-27T08:06:19.768Z|221.4277189|3.8831605|0.059|0.054||Gaia2|22.44|0.14|G|||0.63|45|||
|C/2023 A3|CK23A030|CCD|I41|||||||2022-09-22T02:42:04.320Z|220.76175|0.82131||||Gaia3E|20.0||G||||||Z|
|C/2023 A3|CK23A030|CCD|I41|||||||2022-09-22T02:56:05.856Z|220.76250|0.82083||||Gaia3E|20.3||G||||||Z|
|C/2023 A3|CK23A030|CCD|I41|||||||2022-12-15T13:32:17.376Z|227.95021|-2.16525||||Gaia3E|18.8||G||||||Z|
|C/2023 A3|CK23A030|CCD|I41|||||||2022-12-15T13:40:48.864Z|227.95021|-2.16525||||Gaia3E|18.4||G||||||Z|
|C/2023 A3|CK23A030|CCD|I41|||||||2022-12-17T13:33:57.600Z|228.11925|-2.19364||||Gaia3E|19.5||G||||||Z|
|C/2023 A3|CK23A030|CCD|I41|||||||2022-12-17T13:42:34.272Z|228.11975|-2.19364||||Gaia3E|19.7||G||||||Z|
|C/2023 A3|A10SVYR|CCD|I41|||||||2022-12-22T13:14:38.976Z|228.52808|-2.25206||||UNK|19.4||r|||||||
|C/2023 A3|A10SVYR|CCD|I41|||||||2022-12-22T13:18:14.976Z|228.52825|-2.25206||||UNK|19.6||r|||||||
|C/2023 A3|A10SVYR|CCD|I41|||||||2022-12-22T13:21:50.112Z|228.52846|-2.25206||||UNK|19.4||r|||||||
|C/2023 A3|A10SVYR|CCD|I41|||||||2022-12-22T13:25:26.112Z|228.52862|-2.25206||||UNK|19.2||r|||||||
|C/2023 A3|A10SVYR|CCD|I41|||||||2022-12-22T13:29:02.112Z|228.52892|-2.25214||||UNK|19.3||r|||||||
|C/2023 A3|CK23A030|CCD|I41|||||||2022-12-24T13:18:08.064Z|228.68621|-2.27044||||Gaia3E|19.4||G||||||Z|
|C/2023 A3|CK23A030|CCD|I41|||||||2022-12-24T13:25:20.928Z|228.68654|-2.27058||||Gaia3E|19.3||G||||||Z|
|C/2023 A3|CK23A030|CCD|I41|||||||2022-12-24T13:30:44.928Z|228.68692|-2.27056||||Gaia3E|19.5||G||||||Z|
|C/2023 A3|X80918|CCD|D29|||||||2023-01-09T21:31:51.082Z|229.81517|-2.30817||||Gaia2|18.7||R|||||||
|C/2023 A3|X80918|CCD|D29|||||||2023-01-09T21:45:32.918Z|229.81600|-2.30808||||Gaia2|19.0||R|||||||
|C/2023 A3|X80918|CCD|D29|||||||2023-01-09T21:59:14.755Z|229.81646|-2.30817||||Gaia2|19.0||R|||||||
|C/2023 A3|A10SVYR|CCD|M22|||||||2023-02-22T02:00:22.18Z|230.659160|-1.372800|0.300|0.300||Gaia2|18.03|0.066|Ao|||1.180||||atlas_M22/T1832124/D101776286
|C/2023 A3|A10SVYR|CCD|M22|||||||2023-02-22T02:04:55.58Z|230.659050|-1.372670|0.319|0.319||Gaia2|18.17|0.073|Ao|||1.137||||atlas_M22/T1832124/D101779177
|C/2023 A3|A10SVYR|CCD|M22|||||||2023-02-22T02:13:22.98Z|230.658810|-1.372450|0.415|0.415||Gaia2|18.06|0.102|Ao|||0.991||||atlas_M22/T1832124/D101784829
|C/2023 A3|A10SVYR|CCD|M22|||||||2023-02-22T02:27:53.95Z|230.658620|-1.371970|0.360|0.360||Gaia2|18.11|0.086|Ao|||1.066||||atlas_M22/T1832124/D101816199
|C/2023 A3|A10SVYR|CCD|M28|||||||2023-02-23T00:40:50.304Z|230.63108|-1.33550||||Gaia2|18.2||G|||||||
|C/2023 A3|A10SVYR|CCD|M28|||||||2023-02-23T00:43:57.792Z|230.63104|-1.33539||||Gaia2|18.2||G|||||||
|C/2023 A3|A10SVYR|CCD|M28|||||||2023-02-23T00:47:04.416Z|230.63096|-1.33528||||Gaia2|18.2||G|||||||
