# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra          |dec          |rmsRA |rmsDec|rmsCorr|  astCat|mag    |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                             
   2060|           |        | UNK|675 |       |    |          |          |          |  06|1972-10-11T10:17:30.048Z| 13.40825    | +7.66114    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
   2060|           |        | UNK|675 |       |    |          |          |          |  06|1972-10-13T03:52:30.144Z| 13.33617    | +7.62878    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
   2060|           |        | UNK|675 |       |    |          |          |          |  06|1972-11-10T03:57:15.264Z| 12.27487    | +7.13206    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
   2060|           |        | UNK|675 |       |    |          |          |          |  06|1972-11-10T05:42:30.240Z| 12.2725     | +7.13081    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
   2060|           |        | UNK|675 |       |    |          |          |          |  06|1973-09-25T10:14:59.712Z| 17.68746    | +8.96375    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
   2060|           |        | UNK|675 |       |    |          |          |          |  06|1973-09-29T10:09:59.904Z| 17.52508    | +8.89422    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
   2060|           |        | UNK|675 |       |    |          |          |          |  06|1975-10-28T03:45:59.616Z| 23.76329    |+10.34639    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
   2060|           |        | UNK|675 |       |    |          |          |          |  06|1975-10-30T03:29:00.096Z| 23.67821    |+10.31089    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
   2060|           |        | UNK|381 |       |    |          |          |          |    |1976-10-22T11:39:12.384Z| 27.85238    |+11.38778    |      |      |       |     UNK|18.5   |      |   B|        |      |      |    |      |     |                                                    
   2060|           |        | UNK|381 |       |    |          |          |          |    |1976-10-22T13:11:09.024Z| 27.84942    |+11.38647    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
