# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA |rmsDec|rmsCorr|  astCat|mag    |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                            
  65803|1996 GT    |   65803| CCD|691 |       |    |          |          |          |    |1996-04-11T06:42:03.744Z|194.14117  | -0.488    |      |      |       |  GSC1.1|20.9   |      |   V|        |      |      |    |      |     |                                                   
  65803|1996 GT    |   65803| CCD|691 |       |    |          |          |          |    |1996-04-11T07:12:52.704Z|194.13371  | -0.48547  |      |      |       |  GSC1.1|20.2   |      |   V|        |      |      |    |      |     |                                                   
  65803|1996 GT    |   65803| CCD|691 |       |    |          |          |          |    |1996-04-11T07:43:48.576Z|194.12604  | -0.48281  |      |      |       |  GSC1.1|20.4   |      |   V|        |      |      |    |      |     |                                                   
  65803|1996 GT    |   65803| CCD|691 |       |    |          |          |          |    |1996-04-12T05:33:00.864Z|193.81546  | -0.37611  |      |      |       |  GSC1.1|21.3   |      |   V|        |      |      |    |      |     |                                                   
  65803|1996 GT    |   65803| CCD|691 |       |    |          |          |          |    |1996-04-12T05:42:18.144Z|193.81329  | -0.37544  |      |      |       |  GSC1.1|21     |      |   V|        |      |      |    |      |     |                                                   
  65803|1996 GT    |   65803| CCD|691 |       |    |          |          |          |    |1996-04-12T05:51:31.968Z|193.81092  | -0.37456  |      |      |       |  GSC1.1|21.4   |      |   V|        |      |      |    |      |     |                                                   
  65803|1996 GT    |   65803| CCD|691 |       |    |          |          |          |    |1996-04-13T05:32:09.024Z|193.47675  | -0.26094  |      |      |       |  GSC1.1|21.9   |      |   V|        |      |      |    |      |     |                                                   
  65803|1996 GT    |   65803| CCD|691 |       |    |          |          |          |    |1996-04-14T07:45:18.432Z|193.10967  | -0.13764  |      |      |       |  GSC1.1|21.9   |      |   V|        |      |      |    |      |     |                                                   
  65803|1996 GT    |   65803| CCD|691 |       |    |          |          |          |    |1996-04-14T07:54:14.976Z|193.10754  | -0.13686  |      |      |       |  GSC1.1|21.8   |      |   V|        |      |      |    |      |     |                                                   
  65803|1996 GT    |   65803| CCD|691 |       |    |          |          |          |    |1996-04-14T08:03:10.656Z|193.10554  | -0.13625  |      |      |       |  GSC1.1|21.9   |      |   V|        |      |      |    |      |     |                                                   
  65803|1996 GT    |   65803| CCD|691 |       |    |          |          |          |    |1996-04-15T05:38:55.104Z|192.80854  | -0.03731  |      |      |       |  GSC1.1|21.5   |      |   V|        |      |      |    |      |     |                                                   
  65803|1996 GT    |   65803| CCD|691 |       |    |          |          |          |    |1996-04-15T05:46:54.624Z|192.80675  | -0.03672  |      |      |       |  GSC1.1|21.4   |      |   V|        |      |      |    |      |     |                                                   
  65803|1996 GT    |   65803| CCD|691 |       |    |          |          |          |    |1996-04-15T05:55:39.072Z|192.80471  | -0.03589  |      |      |       |  GSC1.1|21.5   |      |   V|        |      |      |    |      |     |                                                   
