# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1       |pos2      |pos3      |prog|obsTime                 | ra          |dec           |rmsRA |rmsDec|rmsCorr|  astCat|mag   |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                             
    433|           |        | UNK|020 |       |    |           |          |          |    |1972-07-08T00:10:37.632Z|344.19837    | -2.89964     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    433|           |        | UNK|020 |       |    |           |          |          |    |1972-07-13T02:09:35.136Z|344.0905     | -2.07536     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    433|           |        | UNK|020 |       |    |           |          |          |    |1972-07-13T02:35:30.336Z|344.08929    | -2.07294     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    433|           |   00433| UNK|805 |       |    |           |          |          |    |1972-07-13T08:14:49.632Z|344.07696    | -2.03222     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    433|           |   00433| UNK|805 |       |    |           |          |          |    |1972-07-13T08:39:48.672Z|344.07592    | -2.02947     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    433|           |   00433| UNK|805 |       |    |           |          |          |    |1972-07-13T09:07:18.912Z|344.07513    | -2.02692     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    433|           |        | UNK|020 |       |    |           |          |          |    |1972-07-18T01:14:06.144Z|343.71504    | -1.31811     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    433|           |        | UNK|020 |       |    |           |          |          |    |1972-07-18T01:36:02.016Z|343.71325    | -1.31597     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    433|           |        | UNK|020 |       |    |           |          |          |    |1972-07-20T01:06:09.216Z|343.48483    | -1.02883     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    433|           |        | UNK|020 |       |    |           |          |          |    |1972-07-20T01:21:06.912Z|343.48367    | -1.02747     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
    433|           |        | UNK|073 |       |    |           |          |          |    |1972-07-22T23:01:05.376Z|343.06438    | -0.62286     |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                    
