# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|logSNR| exp|rmsFit|remarks                                             
  84100|2002 RP8   | K02R08P| CCD|691 |       |    |          |          |          |    |1995-03-01T07:48:06.048Z|143.14638  |+13.71475  |     |      |       |     UNK|     |      |    |        |      |    |      |                                                    
  84100|2002 RP8   | K02R08P| CCD|691 |       |    |          |          |          |    |1995-03-01T08:19:48.576Z|143.14221  |+13.71675  |     |      |       |     UNK|19.7 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | K02R08P| CCD|691 |       |    |          |          |          |    |1995-03-01T08:51:31.968Z|143.13796  |+13.71839  |     |      |       |     UNK|     |      |    |        |      |    |      |                                                    
  84100|2002 RP8   | K02R08P| CCD|691 |       |    |          |          |          |    |1995-03-07T03:40:45.120Z|142.13033  |+14.197    |     |      |       |     UNK|     |      |    |        |      |    |      |                                                    
  84100|2002 RP8   | K02R08P| CCD|691 |       |    |          |          |          |    |1995-03-07T04:12:31.968Z|142.12629  |+14.19886  |     |      |       |     UNK|20   |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | K02R08P| CCD|691 |       |    |          |          |          |    |1995-03-07T04:44:15.360Z|142.12258  |+14.20044  |     |      |       |     UNK|     |      |    |        |      |    |      |                                                    
  84100|2002 RP8   | K02R08P| CCD|691 |       |    |          |          |          |    |1996-05-15T03:31:39.072Z|205.343    | -2.79894  |     |      |       |     UNK|     |      |    |        |      |    |      |                                                    
  84100|2002 RP8   | K02R08P| CCD|691 |       |    |          |          |          |    |1996-05-15T04:02:02.112Z|205.33958  | -2.79786  |     |      |       |     UNK|21.5 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | K02R08P| CCD|691 |       |    |          |          |          |    |1996-05-15T04:32:10.464Z|205.33629  | -2.79686  |     |      |       |     UNK|     |      |    |        |      |    |      |                                                    
  84100|2002 RP8   | K02R08P| CCD|691 |       |    |          |          |          |    |1997-10-05T02:39:05.472Z|306.96037  |-18.62569  |     |      |       |     UNK|19.4 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | K02R08P| CCD|691 |       |    |          |          |          |    |1997-10-05T03:11:39.840Z|306.96413  |-18.62581  |     |      |       |     UNK|19.3 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | K02R08P| CCD|691 |       |    |          |          |          |    |1997-10-05T03:38:28.608Z|306.96729  |-18.62617  |     |      |       |     UNK|19.4 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | K02R08P| CCD|704 |       |    |          |          |          |    |2001-05-25T07:36:48.672Z|248.68029  |-12.91064  |     |      |       |     UNK|18.8 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | K02R08P| CCD|704 |       |    |          |          |          |    |2001-05-25T08:08:49.344Z|248.67496  |-12.91006  |     |      |       |     UNK|18.8 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | K02R08P| CCD|704 |       |    |          |          |          |    |2001-05-25T08:24:47.520Z|248.67225  |-12.90928  |     |      |       |     UNK|19.1 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | K02R08P| CCD|704 |       |    |          |          |          |    |2001-05-25T08:40:46.560Z|248.66967  |-12.90892  |     |      |       |     UNK|19.1 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | K02R08P| CCD|704 |       |    |          |          |          |    |2002-08-11T09:18:15.552Z| 35.96204  | +9.60308  |     |      |       |     UNK|19.1 |      |   c|        |      |    |      |                                                    
  84100|2002 RP8   | K02R08P| CCD|704 |       |    |          |          |          |    |2002-08-11T10:01:37.920Z| 35.96946  | +9.6035   |     |      |       |     UNK|19.3 |      |   c|        |      |    |      |                                                    
  84100|2002 RP8   | K02R08P| CCD|704 |       |    |          |          |          |    |2002-08-11T10:23:20.832Z| 35.97312  | +9.60428  |     |      |       |     UNK|19.5 |      |   c|        |      |    |      |                                                    
  84100|2002 RP8   |        | CCD|599 |       |    |          |          |          |    |2002-09-03T23:44:46.752Z| 40.49204  | +9.41558  |     |      |       |  USNOA2|19.3 |      |   R|        |      |    |      |                                                    
  84100|2002 RP8   |        | CCD|599 |       |    |          |          |          |    |2002-09-04T00:03:50.688Z| 40.49342  | +9.41506  |     |      |       |  USNOA2|19.1 |      |   R|        |      |    |      |                                                    
  84100|2002 RP8   |        | CCD|599 |       |    |          |          |          |    |2002-09-04T00:21:44.640Z| 40.49483  | +9.41456  |     |      |       |  USNOA2|18.8 |      |   R|        |      |    |      |                                                    
  84100|2002 RP8   |        | CCD|599 |       |    |          |          |          |    |2002-09-04T00:39:38.592Z| 40.49621  | +9.41406  |     |      |       |  USNOA2|18.6 |      |   R|        |      |    |      |                                                    
  84100|2002 RP8   | AB47694| CCD|704 |       |    |          |          |          |    |2002-09-05T08:24:10.368Z| 40.64313  | +9.36042  |     |      |       |  USNOA2|18.9 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AB47694| CCD|704 |       |    |          |          |          |    |2002-09-05T08:47:44.736Z| 40.64487  | +9.35994  |     |      |       |  USNOA2|18.8 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AB47694| CCD|704 |       |    |          |          |          |    |2002-09-05T09:08:24.576Z| 40.64654  | +9.35925  |     |      |       |  USNOA2|19.3 |      |   V|        |      |    |      |                                                    
