# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1       |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag    |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                             
   3666|1979 HP    |        | UNK|807 |       |    |           |          |          |  0A|1979-04-19T02:41:16.800Z|220.70025  |-12.03683  |     |      |       |     UNK|17.5   |      |   B|        |      |      |    |      |     |                                                    
   3666|1979 HP    |        | UNK|095 |       |    |           |          |          |    |1979-04-24T22:14:25.152Z|219.60521  |-11.67947  |     |      |       |     UNK|16.5   |      |   B|        |      |      |    |      |     |                                                    
   3666|1979 HP    |        | UNK|807 |       |    |           |          |          |  0A|1979-04-26T05:31:15.456Z|219.35267  |-11.59728  |     |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
   3666|1979 HP    |        | UNK|807 |       |    |           |          |          |  0A|1979-04-26T07:21:59.616Z|219.33738  |-11.59219  |     |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
   3666|1982 VH1   |        | UNK|688 |       |    |           |          |          |    |1982-11-15T07:27:00.288Z| 71.97796  |+19.64503  |     |      |       |     UNK|17.2   |      |   B|        |      |      |    |      |     |                                                    
   3666|1982 VH1   |        | UNK|688 |       |    |           |          |          |    |1982-11-15T08:10:59.808Z| 71.97208  |+19.64425  |     |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
   3666|1979 HP    |    79HP| PHO|688 |       |    |           |          |          |  04|1984-02-06T08:51:59.616Z|171.12092  | +6.11694  |     |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
   3666|1984 CB1   |    B853| UNK|688 |       |    |           |          |          |  06|1984-02-08T06:35:00.384Z|170.91775  | +6.24261  |     |      |       |     UNK|17.2   |      |   B|        |      |      |    |      |     |                                                    
   3666|1984 CB1   |    B853| UNK|688 |       |    |           |          |          |  06|1984-02-08T07:30:00.000Z|170.91321  | +6.24533  |     |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
   3666|1984 CB1   |   84CB1| UNK|688 |       |    |           |          |          |  06|1984-03-01T06:09:00.000Z|167.48146  | +8.08008  |     |      |       |     UNK|16.2   |      |   B|        |      |      |    |      |     |                                                    
