# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra          |dec           |rmsRA |rmsDec|rmsCorr|  astCat|mag    |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                           
     10|           |        | UNK|073 |       |    |          |          |          |    |1972-04-07T22:01:59.520Z|218.80321    |-20.88967     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1972-04-07T22:13:57.504Z|218.802      |-20.88931     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1972-04-10T21:55:09.120Z|218.32767    |-20.76981     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1972-04-10T22:07:07.104Z|218.32625    |-20.76797     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|990 |       |    |          |          |          |    |1972-04-12T22:30:59.616Z|217.98596    |-20.67753     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|990 |       |    |          |          |          |    |1972-04-12T23:01:00.192Z|217.98371    |-20.67697     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|990 |       |    |          |          |          |    |1972-04-13T22:23:00.096Z|217.81413    |-20.6295      |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|990 |       |    |          |          |          |    |1972-04-13T22:52:59.808Z|217.811      |-20.62872     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|990 |       |    |          |          |          |    |1972-04-14T22:32:59.712Z|217.63587    |-20.57856     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|990 |       |    |          |          |          |    |1972-04-14T23:03:00.288Z|217.63183    |-20.57731     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|786 |       |    |          |          |          |    |1972-04-18T05:44:59.712Z|217.0305     |-20.39847     |      |      |       |     SAO|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|786 |       |    |          |          |          |    |1972-04-18T06:08:00.384Z|217.02733    |-20.39747     |      |      |       |     SAO|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|076 |       |    |          |          |          |    |1972-05-05T19:07:59.808Z|213.61396    |-19.16486     |      |      |       |     UNK|10     |      |   B|        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|006 |       |    |          |          |          |    |1972-05-06T21:58:07.968Z|213.40125    |-19.07783     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1972-05-08T20:53:31.200Z|213.03792    |-18.92211     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1972-05-08T21:08:28.896Z|213.03587    |-18.92136     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1972-05-09T20:59:02.976Z|212.85546    |-18.84206     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1972-05-09T21:14:30.912Z|212.85342    |-18.84114     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|020 |       |    |          |          |          |    |1972-05-09T21:59:16.224Z|212.84833    |-18.83878     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|020 |       |    |          |          |          |    |1972-05-09T22:15:02.304Z|212.84596    |-18.83822     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|990 |       |    |          |          |          |    |1972-05-10T21:49:59.808Z|212.66983    |-18.75911     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|990 |       |    |          |          |          |    |1972-05-10T22:20:00.384Z|212.66629    |-18.7575      |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|786 |       |    |          |          |          |    |1972-05-12T03:42:59.904Z|212.45112    |-18.65978     |      |      |       |     SAO|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|786 |       |    |          |          |          |    |1972-05-12T04:09:00.288Z|212.44779    |-18.65828     |      |      |       |     SAO|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|990 |       |    |          |          |          |    |1972-05-12T21:04:59.808Z|212.32738    |-18.60217     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|990 |       |    |          |          |          |    |1972-05-12T21:35:00.384Z|212.32321    |-18.60053     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1972-05-15T20:39:21.024Z|211.83167    |-18.36622     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1972-05-15T20:49:19.776Z|211.83058    |-18.36572     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1972-05-16T20:24:25.920Z|211.67462    |-18.28831     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1972-05-16T20:34:24.672Z|211.67358    |-18.28775     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1972-05-24T19:20:01.248Z|210.57462    |-17.69253     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1972-05-24T19:30:00.000Z|210.57371    |-17.69211     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|006 |       |    |          |          |          |    |1973-07-10T00:10:03.936Z|326.77508    |-10.53961     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|786 |       |    |          |          |          |    |1973-07-30T04:18:59.904Z|323.75996    |-11.05517     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|786 |       |    |          |          |          |    |1973-07-30T04:43:59.808Z|323.75667    |-11.05575     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|990 |       |    |          |          |          |    |1973-08-01T22:32:00.096Z|323.24429    |-11.16714     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|990 |       |    |          |          |          |    |1973-08-01T22:52:00.192Z|323.24125    |-11.16744     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1973-08-02T21:09:36.288Z|323.06775    |-11.20639     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1973-08-02T21:26:34.080Z|323.06629    |-11.20678     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|990 |       |    |          |          |          |    |1973-08-03T22:52:59.808Z|322.85829    |-11.25278     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|990 |       |    |          |          |          |    |1973-08-03T23:12:59.904Z|322.85571    |-11.25358     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|095 |       |    |          |          |          |    |1973-08-29T20:35:43.296Z|317.98562    |-12.46072     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|990 |       |    |          |          |          |    |1973-08-30T21:04:59.808Z|317.82362    |-12.50558     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|990 |       |    |          |          |          |    |1973-08-30T21:24:59.904Z|317.82129    |-12.50589     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|990 |       |    |          |          |          |    |1973-08-31T20:08:59.712Z|317.67379    |-12.54583     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|990 |       |    |          |          |          |    |1973-08-31T20:28:59.808Z|317.67121    |-12.54661     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1973-09-01T19:30:57.888Z|317.5255     |-12.58633     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1973-09-01T19:41:56.256Z|317.52429    |-12.58661     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|095 |       |    |          |          |          |    |1973-09-02T20:14:07.296Z|317.37292    |-12.62797     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|990 |       |    |          |          |          |    |1973-09-03T20:55:00.192Z|317.22558    |-12.669       |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|006 |       |    |          |          |          |    |1973-09-03T21:13:24.384Z|317.22354    |-12.66922     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |   00010| UNK|990 |       |    |          |          |          |    |1973-09-03T21:15:00.288Z|317.22317    |-12.66933     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|020 |       |    |          |          |          |    |1973-09-03T21:54:12.096Z|317.21979    |-12.67069     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|020 |       |    |          |          |          |    |1973-09-03T21:56:41.568Z|317.21929    |-12.67061     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1973-09-05T18:56:30.336Z|316.96392    |-12.74225     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1973-09-05T19:09:27.936Z|316.96296    |-12.7425      |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|020 |       |    |          |          |          |    |1973-09-05T22:04:51.456Z|316.94492    |-12.74753     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|020 |       |    |          |          |          |    |1973-09-05T22:09:50.400Z|316.94454    |-12.74733     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1973-09-08T18:31:35.616Z|316.58713    |-12.84969     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1973-09-08T18:43:33.600Z|316.58646    |-12.84994     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1973-09-21T18:58:33.024Z|315.47654    |-13.19908     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1973-09-21T19:11:30.624Z|315.476      |-13.19925     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|095 |       |    |          |          |          |    |1973-09-22T19:38:39.264Z|315.42746    |-13.21758     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|095 |       |    |          |          |          |    |1973-09-23T19:02:34.080Z|315.38654    |-13.23369     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|073 |       |    |          |          |          |    |1973-09-24T17:30:06.336Z|315.35267    |-13.24808     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|095 |       |    |          |          |          |    |1973-09-24T18:31:39.072Z|315.35079    |-13.24894     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|095 |       |    |          |          |          |    |1973-09-26T18:19:13.440Z|315.29458    |-13.27542     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|095 |       |    |          |          |          |    |1973-09-28T18:34:43.968Z|315.26029    |-13.29675     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
     10|           |        | UNK|095 |       |    |          |          |          |    |1973-09-30T18:01:03.072Z|315.24883    |-13.31211     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                  
