# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra           |dec          |rmsRA |rmsDec|rmsCorr|  astCat|mag    |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                              
      7|           |        | UNK|073 |       |    |          |          |          |    |1972-05-16T22:28:34.464Z|275.96904     |-23.05997    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                     
      7|           |        | UNK|073 |       |    |          |          |          |    |1972-05-16T22:40:32.448Z|275.96825     |-23.05981    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                     
      7|           |        | UNK|073 |       |    |          |          |          |    |1972-05-24T22:08:04.128Z|274.79104     |-22.86625    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                     
      7|           |        | UNK|073 |       |    |          |          |          |    |1972-05-24T22:18:02.016Z|274.78992     |-22.86617    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                     
      7|           |        | UNK|073 |       |    |          |          |          |    |1972-05-31T21:53:28.032Z|273.43508     |-22.68508    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                     
      7|           |        | UNK|073 |       |    |          |          |          |    |1972-05-31T22:05:26.016Z|273.43254     |-22.68475    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                     
      7|           |   00007| UNK|990 |       |    |          |          |          |    |1972-06-06T22:36:00.288Z|272.05746     |-22.51658    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                     
      7|           |   00007| UNK|990 |       |    |          |          |          |    |1972-06-06T23:06:00.000Z|272.05387     |-22.51531    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                     
      7|           |   00007| UNK|990 |       |    |          |          |          |    |1972-06-07T23:08:59.712Z|271.80858     |-22.48647    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                     
      7|           |   00007| UNK|990 |       |    |          |          |          |    |1972-06-07T23:28:59.808Z|271.80583     |-22.48592    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                     
      7|           |   00007| UNK|786 |       |    |          |          |          |    |1972-06-08T05:51:00.000Z|271.73967     |-22.47906    |      |      |       |     SAO|       |      |    |        |      |      |    |      |     |                                     
      7|           |   00007| UNK|786 |       |    |          |          |          |    |1972-06-08T06:18:59.616Z|271.73479     |-22.47853    |      |      |       |     SAO|       |      |    |        |      |      |    |      |     |                                     
      7|           |        | UNK|420 |       |    |          |          |          |    |1972-06-08T14:53:56.256Z|271.64658     |-22.46653    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                     
      7|           |   00007| UNK|006 |       |    |          |          |          |    |1972-06-08T21:59:48.192Z|271.57379     |-22.45864    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                     
      7|           |   00007| UNK|990 |       |    |          |          |          |    |1972-06-08T23:23:00.384Z|271.55975     |-22.45722    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                     
      7|           |   00007| UNK|990 |       |    |          |          |          |    |1972-06-08T23:42:59.616Z|271.55588     |-22.45681    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                     
      7|           |        | UNK|073 |       |    |          |          |          |    |1972-06-09T22:16:23.520Z|271.31925     |-22.42911    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                     
      7|           |   00007| UNK|095 |       |    |          |          |          |    |1972-06-09T22:18:00.288Z|271.31871     |-22.429      |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                     
