# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                             
     21|           |   00021| UNK|006 |       |    |          |          |          |    |1972-03-04T23:41:24.576Z|168.59312  |+10.03242  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|323 |       |    |          |          |          |    |1972-03-09T16:36:59.904Z|167.50037  |+10.49625  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|323 |       |    |          |          |          |    |1972-03-09T17:01:00.192Z|167.49629  |+10.49786  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|786 |       |    |          |          |          |    |1972-03-20T04:07:30.432Z|165.14046  |+11.41306  |     |      |       |     SAO|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|786 |       |    |          |          |          |    |1972-03-20T04:27:29.664Z|165.13737  |+11.41433  |     |      |       |     SAO|     |      |    |        |      |      |    |      |     |                                                    
     21|           |        | UNK|073 |       |    |          |          |          |    |1972-04-10T18:17:44.448Z|161.54208  |+12.51044  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |        | UNK|073 |       |    |          |          |          |    |1972-04-10T18:33:41.760Z|161.54108  |+12.51069  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |        | UNK|020 |       |    |          |          |          |    |1972-04-13T20:25:20.352Z|161.23329  |+12.56464  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |        | UNK|020 |       |    |          |          |          |    |1972-04-13T20:35:49.344Z|161.23262  |+12.56483  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |        | UNK|020 |       |    |          |          |          |    |1972-04-14T21:37:09.120Z|161.14225  |+12.57758  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |        | UNK|020 |       |    |          |          |          |    |1972-04-14T21:48:07.488Z|161.1415   |+12.57769  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|786 |       |    |          |          |          |    |1973-07-01T05:14:00.384Z|289.25075  |-24.52214  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|786 |       |    |          |          |          |    |1973-07-01T05:35:00.096Z|289.24683  |-24.52292  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|076 |       |    |          |          |          |    |1973-07-04T21:15:00.288Z|288.37192  |-24.75256  |     |      |       |     UNK|10.3 |      |   B|        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|990 |       |    |          |          |          |    |1973-07-04T23:10:00.192Z|288.353    |-24.75983  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|990 |       |    |          |          |          |    |1973-07-04T23:30:00.288Z|288.34942  |-24.76103  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|006 |       |    |          |          |          |    |1973-07-05T21:27:42.336Z|288.12575  |-24.81767  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|990 |       |    |          |          |          |    |1973-07-06T22:56:00.384Z|287.86342  |-24.88278  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|990 |       |    |          |          |          |    |1973-07-06T23:15:59.616Z|287.85946  |-24.88356  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |        | UNK|073 |       |    |          |          |          |    |1973-07-19T19:48:57.888Z|284.72542  |-25.58053  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |        | UNK|073 |       |    |          |          |          |    |1973-07-19T20:00:55.872Z|284.72325  |-25.58092  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |        | UNK|073 |       |    |          |          |          |    |1973-07-21T19:37:02.496Z|284.27621  |-25.66944  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |        | UNK|073 |       |    |          |          |          |    |1973-07-21T19:49:00.480Z|284.27425  |-25.66972  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|806 |       |    |          |          |          |    |1973-07-31T04:10:37.920Z|282.45117  |-26.006    |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|806 |       |    |          |          |          |    |1973-07-31T04:23:35.520Z|282.44958  |-26.00625  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|806 |       |    |          |          |          |    |1973-07-31T04:34:33.888Z|282.44829  |-26.0065   |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|806 |       |    |          |          |          |    |1973-08-01T05:34:26.400Z|282.28129  |-26.03608  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|806 |       |    |          |          |          |    |1973-08-01T05:42:25.056Z|282.28037  |-26.03622  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|806 |       |    |          |          |          |    |1973-08-01T05:49:54.336Z|282.2795   |-26.03639  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|806 |       |    |          |          |          |    |1973-08-02T05:30:31.392Z|282.12946  |-26.06281  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|806 |       |    |          |          |          |    |1973-08-02T05:39:29.664Z|282.12842  |-26.06297  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|806 |       |    |          |          |          |    |1973-08-02T05:47:28.320Z|282.12767  |-26.06311  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|806 |       |    |          |          |          |    |1973-08-03T05:37:03.648Z|281.98475  |-26.08828  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|806 |       |    |          |          |          |    |1973-08-03T05:44:01.824Z|281.98392  |-26.08836  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|806 |       |    |          |          |          |    |1973-08-03T05:50:01.248Z|281.98346  |-26.08844  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|806 |       |    |          |          |          |    |1973-08-04T05:35:07.872Z|281.84913  |-26.11208  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|806 |       |    |          |          |          |    |1973-08-04T05:41:06.432Z|281.84867  |-26.11236  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|806 |       |    |          |          |          |    |1973-08-04T05:47:05.856Z|281.84854  |-26.11236  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|806 |       |    |          |          |          |    |1973-08-05T04:34:20.928Z|281.72704  |-26.13403  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|806 |       |    |          |          |          |    |1973-08-05T04:40:19.488Z|281.72633  |-26.13417  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |   00021| UNK|806 |       |    |          |          |          |    |1973-08-05T04:46:18.912Z|281.72604  |-26.13417  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |        | UNK|020 |       |    |          |          |          |    |1973-08-06T20:43:51.456Z|281.53304  |-26.17089  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |        | UNK|020 |       |    |          |          |          |    |1973-08-06T20:46:20.928Z|281.53292  |-26.17092  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |        | UNK|020 |       |    |          |          |          |    |1973-08-07T20:39:55.584Z|281.4285   |-26.18958  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |        | UNK|020 |       |    |          |          |          |    |1973-08-07T20:42:25.056Z|281.42842  |-26.18981  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |        | UNK|020 |       |    |          |          |          |    |1973-09-03T20:32:50.496Z|282.05392  |-26.24381  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |        | UNK|020 |       |    |          |          |          |    |1973-09-03T20:35:50.208Z|282.054    |-26.24386  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |        | UNK|020 |       |    |          |          |          |    |1973-09-05T20:22:53.472Z|282.35967  |-26.21658  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |        | UNK|020 |       |    |          |          |          |    |1973-09-05T20:26:22.560Z|282.36012  |-26.21633  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |        | UNK|020 |       |    |          |          |          |    |1974-11-09T02:44:23.424Z|102.11896  |+23.07342  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |        | UNK|020 |       |    |          |          |          |    |1974-11-09T02:47:42.144Z|102.11896  |+23.07339  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
     21|           |        | UNK|330 |       |    |          |          |          |    |1974-11-18T16:53:42.144Z|101.46475  |+23.30594  |     |      |       |     UNK|     |      |    |        |      |      |    |      |     |                                                    
