# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra           |dec          |rmsRA |rmsDec|rmsCorr|  astCat|mag    |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                               
      2|           |   00002| UNK|804 |       |    |          |          |          |    |1972-01-06T02:20:35.232Z| 58.64867     |-29.24314    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                      
      2|           |   00002| UNK|804 |       |    |          |          |          |    |1972-01-06T02:35:32.064Z| 58.64804     |-29.24125    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                      
      2|           |   00002| UNK|804 |       |    |          |          |          |    |1972-01-06T02:50:29.760Z| 58.64762     |-29.23933    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                      
      2|           |        | UNK|020 |       |    |          |          |          |    |1972-01-07T17:57:10.656Z| 58.59471     |-28.93567    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                      
      2|           |        | UNK|020 |       |    |          |          |          |    |1972-01-07T17:59:40.992Z| 58.59433     |-28.935      |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                      
      2|           |        | UNK|020 |       |    |          |          |          |    |1972-01-07T18:02:10.464Z| 58.59425     |-28.93478    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                      
      2|           |   00002| UNK|804 |       |    |          |          |          |    |1972-01-18T02:22:15.456Z| 58.73142     |-26.72797    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                      
      2|           |   00002| UNK|804 |       |    |          |          |          |    |1972-01-18T02:32:13.344Z| 58.73179     |-26.72642    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                      
      2|           |   00002| UNK|804 |       |    |          |          |          |    |1972-01-18T02:42:11.232Z| 58.73221     |-26.72472    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                      
      2|           |        | UNK|020 |       |    |          |          |          |    |1972-01-19T18:08:21.120Z| 58.83154     |-26.33983    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                      
      2|           |        | UNK|020 |       |    |          |          |          |    |1972-01-19T18:09:50.976Z| 58.83175     |-26.33969    |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                      
