# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA   |rmsDec  |rmsCorr|  astCat|mag  |rmsMag  |band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                             
   5303|1976 GA8   |        | UNK|095 |       |    |          |          |          |    |1976-04-01T21:38:39.840Z|200.89504  | -6.26594  |        |        |       |     UNK|17   |        |   B|        |      |      |    |      |     |                                                    
   5303|1976 GA8   |        | UNK|095 |       |    |          |          |          |    |1976-04-04T21:44:40.128Z|200.29167  | -6.06031  |        |        |       |     UNK|17   |        |   B|        |      |      |    |      |     |                                                    
   5303|1978 TT2   |        | UNK|095 |       |    |          |          |          |    |1978-09-27T23:08:00.096Z| 29.35308  | +9.86528  |        |        |       |     UNK|17.2 |        |   B|        |      |      |    |      |     |                                                    
   5303|1978 TT2   |        | UNK|095 |       |    |          |          |          |    |1978-10-03T23:26:42.432Z| 28.32612  | +9.53497  |        |        |       |     UNK|17.8 |        |   B|        |      |      |    |      |     |                                                    
   5303|1978 TT2   |        | UNK|095 |       |    |          |          |          |    |1978-10-07T23:29:49.056Z| 27.5725   | +9.29339  |        |        |       |     UNK|17.8 |        |   B|        |      |      |    |      |     |                                                    
   5303|1978 TT2   |        | UNK|801 |       |    |          |          |          |    |1983-11-08T02:18:46.368Z| 33.65438  |+12.54783  |        |        |       |     GSC|18.5 |        |   B|        |      |      |    |      |     |                                                    
   5303|1986 LL1   |    XXE1| PHO|809 |       |    |          |          |          |  04|1986-06-02T01:09:28.800Z|217.70129  |-14.80483  |        |        |       |     UNK|17   |        |   B|        |      |      |    |      |     |                                                    
   5303|1986 LL1   |    XXE1| PHO|809 |       |    |          |          |          |  04|1986-06-02T01:39:30.240Z|217.69821  |-14.80425  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     |                                                    
   5303|1986 LL1   |    XXE1| PHO|809 |       |    |          |          |          |  04|1986-06-03T00:05:30.048Z|217.57442  |-14.779    |        |        |       |     UNK|     |        |    |        |      |      |    |      |     |                                                    
   5303|1986 LL1   |    XXE1| PHO|809 |       |    |          |          |          |  04|1986-06-03T00:33:00.288Z|217.57208  |-14.77847  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     |                                                    
   5303|1986 LL1   |    XXE1| PHO|809 |       |    |          |          |          |  04|1986-06-04T00:38:00.096Z|217.44408  |-14.75308  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     |                                                    
   5303|1986 LL1   |    XXE1| PHO|809 |       |    |          |          |          |  04|1986-06-04T00:58:59.808Z|217.44229  |-14.75278  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     |                                                    
   5303|1986 LL1   |    XXE1| PHO|809 |       |    |          |          |          |  04|1986-06-07T00:57:29.952Z|217.09287  |-14.68569  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     |                                                    
   5303|1986 LL1   |    XXE1| PHO|809 |       |    |          |          |          |  04|1986-06-07T01:14:59.712Z|217.09146  |-14.68561  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     |                                                    
   5303|1978 TT2   |        | UNK|033 |       |    |          |          |          |    |1989-01-09T17:41:00.384Z| 39.85092  |+16.09492  |        |        |       |     SAO|18.2 |        |   B|        |      |      |    |      |     |                                                    
   5303|1978 TT2   |        | UNK|033 |       |    |          |          |          |    |1989-01-09T19:26:30.048Z| 39.85517  |+16.09689  |        |        |       |     SAO|     |        |    |        |      |      |    |      |     |                                                    
   5303|1978 TT2   |        | UNK|801 |       |    |          |          |          |    |1991-05-13T05:04:11.136Z|235.22425  |-19.93194  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     |                                                    
   5303|1978 TT2   |        | UNK|801 |       |    |          |          |          |    |1991-05-13T05:23:39.264Z|235.22121  |-19.93153  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     |                                                    
   5303|1978 TT2   |        | UNK|801 |       |    |          |          |          |    |1991-05-14T05:13:25.824Z|235.00204  |-19.89939  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     |                                                    
   5303|1978 TT2   |        | UNK|801 |       |    |          |          |          |    |1991-05-14T06:21:22.176Z|234.99125  |-19.89781  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     |                                                    
   5303|1978 TT2   |        | CCD|801 |       |    |          |          |          |    |1992-07-30T06:04:58.944Z|338.59467  |-13.3905   |        |        |       |     GSC|     |        |    |        |      |      |    |      |     |                                                    
   5303|1978 TT2   |        | CCD|801 |       |    |          |          |          |    |1992-07-30T06:55:10.848Z|338.58971  |-13.39281  |        |        |       |     GSC|     |        |    |        |      |      |    |      |     |                                                    
   5303|           |        | UNK|675 |       |    |          |          |          |  03|1992-08-03T08:52:15.168Z|337.98442  |-13.67447  |        |        |       |     UNK|17.8 |        |   B|        |      |      |    |      |     |                                                    
   5303|           |        | UNK|675 |       |    |          |          |          |  03|1992-08-03T09:44:45.312Z|337.97871  |-13.67692  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     |                                                    
   5303|           |        | UNK|675 |       |    |          |          |          |  03|1992-08-06T10:17:15.360Z|337.4845   |-13.89586  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     |                                                    
   5303|           |        | UNK|675 |       |    |          |          |          |  03|1992-08-06T11:22:14.592Z|337.47667  |-13.89903  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     |                                                    
   5303|           |   05303| UNK|675 |       |    |          |          |          |  03|1992-08-24T06:40:30.432Z|334.05138  |-15.23775  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     |                                                    
   5303|1978 TT2   |        | CCD|801 |       |    |          |          |          |    |1992-08-25T05:43:18.624Z|333.85367  |-15.30717  |        |        |       |     GSC|     |        |    |        |      |      |    |      |     |                                                    
   5303|1978 TT2   |        | CCD|801 |       |    |          |          |          |    |1992-08-30T04:37:18.912Z|332.84308  |-15.64825  |        |        |       |     GSC|     |        |    |        |      |      |    |      |     |                                                    
   5303|1978 TT2   |        | CCD|801 |       |    |          |          |          |    |1992-08-30T05:01:06.240Z|332.83958  |-15.64933  |        |        |       |     GSC|     |        |    |        |      |      |    |      |     |                                                    
   5303|           |        | UNK|046 |       |    |          |          |          |    |1995-03-01T22:34:59.808Z|153.86283  |+15.23503  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     |                                                    
   5303|           |        | UNK|046 |       |    |          |          |          |    |1995-03-01T22:59:59.712Z|153.85796  |+15.23644  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     |                                                    
   5303|           |        | UNK|033 |       |    |          |          |          |    |1995-03-04T21:32:30.048Z|153.25637  |+15.42911  |        |        |       |  GSCACT|17.4 |        |   B|        |      |      |    |      |     |                                                    
   5303|           |        | UNK|033 |       |    |          |          |          |    |1995-03-04T22:24:29.952Z|153.24867  |+15.43147  |        |        |       |  GSCACT|     |        |    |        |      |      |    |      |     |                                                    
   5303|           |  B12380| CCD|327 |       |    |          |          |          |    |1998-09-20T20:22:42.240Z| 75.04817  |+23.02864  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     |                                                    
   5303|           |  B12380| CCD|327 |       |    |          |          |          |    |1998-09-20T20:32:21.984Z| 75.04904  |+23.02881  |        |        |       |     UNK|18.2 |        |   R|        |      |      |    |      |     |                                                    
   5303|           |  B12380| CCD|327 |       |    |          |          |          |    |1998-09-20T20:42:16.416Z| 75.05004  |+23.02894  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     |                                                    
   5303|           |  B12380| CCD|327 |       |    |          |          |          |    |1998-09-21T20:34:46.272Z| 75.18529  |+23.05414  |        |        |       |     UNK|18.3 |        |   R|        |      |      |    |      |     |                                                    
   5303|           |  B12380| CCD|327 |       |    |          |          |          |    |1998-09-21T20:42:25.920Z| 75.18596  |+23.05428  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     |                                                    
   5303|           |  B12380| CCD|327 |       |    |          |          |          |    |1998-09-21T20:50:09.888Z| 75.18671  |+23.05442  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     |                                                    
   5303|           |   05303| CCD|704 |       |    |          |          |          |    |1998-11-10T10:42:12.672Z| 74.22754  |+23.72164  |        |        |       |  USNOA1|17.5 |        |   V|        |      |      |    |      |     |                                                    
   5303|           |   05303| CCD|704 |       |    |          |          |          |    |1998-11-10T11:09:42.048Z| 74.22392  |+23.72167  |        |        |       |  USNOA1|17.9 |        |   V|        |      |      |    |      |     |                                                    
   5303|           |   05303| CCD|704 |       |    |          |          |          |    |1998-11-10T11:37:14.880Z| 74.22071  |+23.72172  |        |        |       |  USNOA1|17.4 |        |   V|        |      |      |    |      |     |                                                    
   5303|           |   05303| CCD|704 |       |    |          |          |          |    |1998-11-10T12:04:44.256Z| 74.21658  |+23.72178  |        |        |       |  USNOA1|17.4 |        |   V|        |      |      |    |      |     |                                                    
   5303|           |        | CCD|610 |       |    |          |          |          |    |1998-12-09T18:49:01.920Z| 67.67425  |+23.37556  |        |        |       |     GSC|16.5 |        |   V|        |      |      |    |      |     |                                                    
   5303|           |        | CCD|610 |       |    |          |          |          |    |1998-12-09T19:08:02.400Z| 67.67117  |+23.37539  |        |        |       |     GSC|     |        |    |        |      |      |    |      |     |                                                    
   5303|           |        | CCD|610 |       |    |          |          |          |    |1998-12-09T19:26:49.920Z| 67.66808  |+23.37525  |        |        |       |     GSC|     |        |    |        |      |      |    |      |     |                                                    
   5303|           |        | CCD|610 |       |    |          |          |          |    |1998-12-09T19:48:03.456Z| 67.66463  |+23.37508  |        |        |       |     GSC|     |        |    |        |      |      |    |      |     |                                                    
   5303|           |        | CCD|610 |       |    |          |          |          |    |1998-12-09T20:09:03.168Z| 67.66121  |+23.37492  |        |        |       |     GSC|     |        |    |        |      |      |    |      |     |                                                    
   5303|           |  B56863| CCD|704 |       |    |          |          |          |    |1998-12-14T05:20:34.368Z| 66.65321  |+23.28028  |        |        |       |  USNOA1|17.3 |        |   V|        |      |      |    |      |     |                                                    
   5303|           |  B56863| CCD|704 |       |    |          |          |          |    |1998-12-14T05:52:09.120Z| 66.64821  |+23.27983  |        |        |       |  USNOA1|17.6 |        |   V|        |      |      |    |      |     |                                                    
