# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1       |pos2      |pos3      |prog|obsTime                 | ra          |dec           |rmsRA |rmsDec|rmsCorr|  astCat|mag    |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                             
    617|           |   00617| UNK|095 |       |    |           |          |          |    |1972-05-11T20:11:13.632Z|205.56213    | -2.90325     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |   00617| UNK|095 |       |    |           |          |          |    |1972-05-16T20:14:03.840Z|205.012      | -2.90358     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |   00617| UNK|076 |       |    |           |          |          |    |1974-05-24T21:54:00.000Z|266.36617    |-40.55294     |      |      |       |     UNK|15.8   |      |   B|        |      |      |    |      |     |                                                    
    617|           |   00617| UNK|323 |       |    |           |          |          |    |1974-06-12T16:50:59.712Z|263.2105     |-41.35747     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |   00617| UNK|323 |       |    |           |          |          |    |1974-06-12T17:15:00.000Z|263.2075     |-41.35781     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |        | UNK|413 |       |    |           |          |          |  05|1976-11-16T10:08:19.680Z|355.45817    |-21.54522     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |        | UNK|413 |       |    |           |          |          |  05|1976-11-16T11:08:19.968Z|355.45733    |-21.54203     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |        | UNK|330 |       |    |           |          |          |    |1977-10-10T16:07:08.832Z| 37.04758    | +8.69808     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |        | UNK|022 |       |    |           |          |          |    |1977-10-12T22:47:00.384Z| 36.72167    | +8.68831     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |        | UNK|022 |       |    |           |          |          |    |1977-10-12T23:10:00.192Z| 36.71921    | +8.68825     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |        | UNK|330 |       |    |           |          |          |    |1977-10-21T20:35:38.976Z| 35.37267    | +8.64842     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |        | UNK|330 |       |    |           |          |          |    |1977-11-03T15:25:08.544Z| 33.35229    | +8.61472     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |        | UNK|049 |       |    |           |          |          |    |1977-11-09T20:09:42.048Z| 32.39783    | +8.62289     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |        | UNK|049 |       |    |           |          |          |    |1977-11-09T22:43:17.472Z| 32.38162    | +8.62303     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |        | UNK|049 |       |    |           |          |          |    |1977-11-09T22:57:17.280Z| 32.38008    | +8.62311     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |        | UNK|330 |       |    |           |          |          |    |1977-11-12T13:46:02.496Z| 31.99263    | +8.63408     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |        | UNK|022 |       |    |           |          |          |    |1977-11-27T17:53:14.784Z| 30.02013    | +8.80056     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |        | UNK|022 |       |    |           |          |          |    |1977-11-27T18:15:00.288Z| 30.01846    | +8.80075     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |        | UNK|095 |       |    |           |          |          |    |1978-12-22T19:32:38.976Z| 63.92367    |+34.69053     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |        | UNK|095 |       |    |           |          |          |    |1978-12-27T16:00:18.432Z| 63.2345     |+34.64775     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |        | UNK|095 |       |    |           |          |          |    |1978-12-28T16:25:43.392Z| 63.09879    |+34.63683     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |        | UNK|095 |       |    |           |          |          |    |1978-12-31T16:14:02.688Z| 62.71963    |+34.60189     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |        | UNK|704 |       |    |           |          |          |    |1980-01-13T04:11:13.344Z|105.81692    |+46.03808     |      |      |       |     GSC|       |      |    |        |      |      |    |      |     |                                                    
    617|           |        | UNK|095 |       |    |           |          |          |    |1983-03-13T23:03:41.760Z|193.24108    |+13.22361     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |     617| PHO|809 |       |    |           |          |          |  0G|1983-04-09T04:45:55.584Z|189.94808    |+14.03006     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |     617| PHO|809 |       |    |           |          |          |  0G|1983-04-09T04:55:55.200Z|189.94725    |+14.03022     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |     617| PHO|809 |       |    |           |          |          |  0G|1983-04-09T05:05:53.088Z|189.94629    |+14.03039     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |        | UNK|095 |       |    |           |          |          |    |1983-04-10T20:49:37.920Z|189.73829    |+14.05517     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |     617| PHO|809 |       |    |           |          |          |  0G|1983-04-11T03:00:50.112Z|189.70579    |+14.05892     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |     617| PHO|809 |       |    |           |          |          |  0G|1983-04-11T03:10:48.864Z|189.70483    |+14.05906     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |     617| PHO|809 |       |    |           |          |          |  0G|1983-04-11T03:20:46.752Z|189.70396    |+14.05906     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |        | UNK|095 |       |    |           |          |          |    |1983-04-12T21:25:06.816Z|189.48558    |+14.08067     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |     617| PHO|809 |       |    |           |          |          |  0G|1983-04-16T02:27:12.672Z|189.09392    |+14.11        |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |     617| PHO|809 |       |    |           |          |          |  0G|1983-04-16T02:37:11.424Z|189.09312    |+14.11008     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
    617|           |     617| PHO|809 |       |    |           |          |          |  0G|1983-04-19T03:59:07.584Z|188.73046    |+14.12406     |      |      |       |     UNK|       |      |    |        |      |      |    |      |     |                                                    
