# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1       |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                            
3200|1983 TB||UNK|500|||||||1983-10-11T01:38:54.816Z|261.888|59.468||||UNK|15.5||B|||||||
3200|1983 TB||UNK|500|||||||1983-10-11T03:21:59.328Z|262.323|59.460||||UNK||||||||||
3200|1983 TB||UNK|500|||||||1983-10-11T06:48:05.760Z|263.127|59.430||||UNK||||||||||
3200|1983 TB||UNK|500|||||||1983-10-11T10:14:14.784Z|263.960|59.398||||UNK||||||||||
3200|1983 TB||UNK|500|||||||1983-10-11T13:40:23.808Z|264.750|59.353||||UNK||||||||||
3200|1983 TB||UNK|688||||||06|1983-10-12T02:19:00.192Z|267.72792|59.17583||||UNK||||||||||
3200|1983 TB||UNK|688||||||06|1983-10-12T02:44:59.712Z|267.83083|59.16914||||UNK||||||||||
3200|1983 TB||UNK|675||||||0A|1983-10-12T05:37:59.808Z|268.48808|59.11533||||UNK|16.0||B|||||||
3200|1983 TB||UNK|675||||||0A|1983-10-12T05:57:59.904Z|268.56350|59.10869||||UNK|16.0||B|||||||
3200|1983 TB||UNK|675||||||0A|1983-10-13T03:07:59.520Z|273.30517|58.63978||||UNK|16.0||B|||||||
3200|1983 TB||UNK|688||||||06|1983-10-14T02:56:59.424Z|278.33392|57.93042||||UNK||||||||||
3200|1983 TB||UNK|688||||||06|1983-10-14T03:17:00.384Z|278.40146|57.91858||||UNK||||||||||
3200|1983 TB||UNK|675||||||01|1983-10-16T03:06:46.944Z|287.39908|56.05225||||UNK||||||||||
3200|1983 TB||UNK|675||||||01|1983-10-18T03:30:16.992Z|295.02017|53.77517||||UNK||||||||||
3200|1983 TB||UNK|675||||||01|1983-10-18T08:24:17.280Z|295.70975|53.52725||||UNK||||||||||
3200|1983 TB||UNK|688||||||06|1983-10-27T02:19:00.192Z|316.00962|43.04217||||UNK|16.2||B|||||||
3200|1983 TB||UNK|688||||||06|1983-10-27T02:51:00.000Z|316.04325|43.01911||||UNK||||||||||
3200|1983 TB||UNK|675||||||01|1983-10-27T03:03:01.440Z|316.05638|43.00944||||UNK||||||||||
3200|1983 TB||UNK|688||||||06|1983-10-27T03:20:59.712Z|316.07387|42.99547||||UNK||||||||||
3200|1983 TB||UNK|675||||||01|1983-10-27T05:22:01.632Z|316.20429|42.90319||||UNK||||||||||
3200|1983 TB||UNK|675||||||01|1983-10-29T04:30:31.104Z|319.05654|40.83044||||UNK||||||||||
3200|1983 TB||UNK|801|||||||1983-11-01T00:07:03.360Z|322.54492|38.10797||||AC||||||||||
3200|1983 TB||UNK|675||||||03|1983-11-06T03:40:59.808Z|327.63525|33.86819||||UNK||||||||||
3200|1983 TB||UNK|675||||||03|1983-11-07T04:40:59.232Z|328.51737|33.11669||||UNK||||||||||
3200|1983 TB||UNK|381|||||||1983-11-07T13:40:42.816Z|328.82429|32.85414||||UNK||||||||||
3200|1983 TB||UNK|381|||||||1983-11-07T14:00:27.360Z|328.83596|32.84375||||UNK||||||||||
