# version=2017
 permID|provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|  astCat|mag  |rmsMag|band|logSNR| exp|notes
  20000|2000 WR106 |        | UNK|261 |  01|1990-10-23T11:53:59.712Z| 88.35529  |+20.32294  |     |      |     UNK|     |      |    |      |    |     
  20000|2000 WR106 | K00WA6R| PHO|261 |  01|1996-01-14T05:32:00.384Z| 93.60204  |+22.28964  |     |      |  USNOA2|     |      |    |      |    |     
  20000|2000 WR106 | K00WA6R| PHO|261 |  01|1996-02-15T03:45:00.000Z| 93.06604  |+22.34317  |     |      |  USNOA2|     |      |    |      |    |     
  20000|2000 WR106 |        | UNK|261 |  01|1996-10-10T11:30:00.288Z| 96.49758  |+22.49658  |     |      |     UNK|     |      |    |      |    |     
  20000|2000 WR106 | K00WA6R| PHO|261 |  01|1997-01-10T05:13:30.144Z| 95.03929  |+22.63383  |     |      |  USNOA2|     |      |    |      |    |     
  20000|2000 WR106 |   ss932| CCD|691 |    |2000-11-28T09:51:38.304Z|101.46358  |+23.79575  |     |      |  USNOA1|20.1 |      |   V|      |    |H    
  20000|2000 WR106 |   ss932| CCD|691 |    |2000-11-28T10:26:49.056Z|101.46304  |+23.79564  |     |      |  USNOA1|19.8 |      |   V|      |    |H    
  20000|2000 WR106 |   ss932| CCD|691 |    |2000-11-28T11:00:55.008Z|101.46279  |+23.79569  |     |      |  USNOA1|20.2 |      |   V|      |    |H    
  20000|2000 WR106 |   ss932| CCD|691 |    |2000-11-30T08:41:11.616Z|101.4285   |+23.80056  |     |      |  USNOA1|20   |      |   V|      |    |H    
  20000|2000 WR106 |   ss932| CCD|691 |    |2000-11-30T09:08:49.632Z|101.42808  |+23.80039  |     |      |  USNOA1|19.6 |      |   V|      |    |H    
  20000|2000 WR106 |   ss932| CCD|691 |    |2000-11-30T09:53:50.496Z|101.4275   |+23.80047  |     |      |  USNOA1|19.8 |      |   V|      |    |H    
